cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_1,12,4,3,2,53,2,2,2,-,2,2,2,2,2,0,2
cell_2,-,4,3,2,53,2,2,-,-,2,2,0,2,2,0,2
cell_3,12,4,3,-,53,2,2,2,12,2,2,3,-,2,3,2
cell_4,12,4,-,2,53,2,2,-,12,2,2,3,-,2,3,2
cell_5,12,-,3,2,53,-,2,-,12,2,2,2,2,2,5,2
cell_6,-,4,3,2,53,2,2,-,12,2,2,0,2,2,5,2
cell_7,-,4,3,-,53,2,2,2,12,2,2,0,2,2,-,2
cell_8,12,4,3,-,53,-,-,2,12,2,2,0,-,2,0,2
cell_9,12,-,3,-,53,0,-,-,12,2,2,-,2,2,2,2
cell_10,12,4,3,2,53,0,2,2,12,2,2,12,-,2,2,-
cell_11,12,4,-,2,53,0,2,2,12,2,2,-,2,2,2,2
cell_12,-,-,3,2,53,0,2,2,12,2,2,12,2,2,2,2
cell_13,-,4,-,2,53,0,2,2,12,2,2,0,2,2,-,2
cell_14,-,4,-,2,53,8,2,2,12,-,2,0,2,2,2,2
cell_15,12,4,3,2,53,0,2,-,12,-,2,-,2,2,4,-
cell_16,12,4,3,2,-,2,2,2,12,2,-,0,-,2,4,-
cell_17,12,4,-,2,53,0,2,2,12,2,2,3,2,2,0,2
cell_18,12,4,3,-,53,3,2,2,12,-,2,3,2,2,-,2
cell_19,12,4,-,2,53,0,2,2,12,2,2,3,2,-,0,2
cell_20,12,4,3,2,53,0,2,2,12,2,-,3,2,2,0,2
cell_21,12,4,3,2,53,0,2,2,12,2,2,-,2,2,12,-
cell_22,12,-,3,2,53,0,2,2,-,2,-,3,2,2,0,2
cell_23,12,4,3,2,53,0,2,-,-,2,2,3,2,-,0,2
cell_24,12,4,3,2,53,-,2,-,-,2,2,3,-,2,-,2
cell_25,12,4,3,-,53,-,2,2,12,2,2,2,2,-,-,-
cell_26,-,4,3,2,-,-,2,2,12,2,2,2,2,2,0,2
cell_27,12,4,3,2,53,0,2,2,-,-,-,2,2,2,2,2
cell_28,12,-,3,2,-,0,2,2,12,-,2,2,2,2,0,2
cell_29,12,-,3,2,-,5,-,2,12,2,2,2,-,2,0,2
cell_30,12,4,3,2,-,-,2,2,12,2,2,2,2,2,0,2
cell_31,12,4,3,-,53,5,2,2,12,-,2,2,2,-,0,-
cell_32,12,-,-,2,53,5,2,2,12,2,-,-,-,2,0,2
cell_33,3,4,-,2,53,5,-,0,12,4,2,37,2,2,0,2
cell_34,3,4,3,-,53,5,-,0,12,4,2,37,-,-,0,2
cell_35,3,-,3,-,53,-,2,0,12,0,-,37,-,2,0,-
cell_36,3,4,-,2,-,2,2,0,-,0,2,37,2,2,0,2
cell_37,3,4,3,2,53,0,-,5,12,0,2,37,2,2,2,2
cell_38,3,4,3,2,53,-,2,5,-,0,-,-,2,-,2,2
cell_39,3,4,3,2,53,2,2,5,12,8,2,37,-,2,0,2
cell_40,3,4,3,2,53,-,2,5,12,0,2,37,2,2,0,2
cell_41,3,4,3,2,53,2,2,6,12,2,2,37,-,-,0,2
cell_42,3,4,3,2,53,2,2,6,12,2,-,37,-,2,0,2
cell_43,3,4,-,-,53,2,2,6,-,2,2,37,2,-,2,2
cell_44,-,-,3,-,53,2,2,6,12,2,2,37,2,-,-,2
cell_45,-,4,3,2,53,-,2,6,-,2,-,37,2,2,-,2
cell_46,3,4,3,2,-,2,2,6,12,2,2,37,2,2,3,2
cell_47,-,4,3,2,53,2,-,6,12,2,2,37,2,2,3,2
cell_48,3,4,3,2,53,2,2,6,12,-,2,37,2,2,3,2
cell_49,3,4,3,2,53,19,2,-,12,0,-,37,2,2,2,2
cell_50,3,4,3,2,53,19,-,5,12,0,2,37,-,2,2,-
cell_51,3,4,3,2,-,19,-,0,12,-,2,37,2,2,2,2
cell_52,3,4,3,-,53,19,2,0,12,0,2,37,2,-,2,-
cell_53,3,4,3,2,53,19,2,3,12,0,2,-,2,2,4,2
cell_54,3,4,3,2,53,19,2,3,12,0,2,37,2,2,4,2
cell_55,3,4,3,-,53,19,-,3,-,2,2,37,2,2,4,-
cell_56,3,4,-,2,-,19,2,-,12,0,2,37,2,2,4,2
cell_57,3,4,3,2,53,19,2,2,12,3,-,-,-,-,-,2
cell_58,3,4,-,-,53,19,2,2,12,-,2,37,-,-,0,2
cell_59,3,4,-,2,53,19,-,2,12,3,2,37,-,2,0,-
cell_60,3,4,3,2,53,19,2,2,12,3,2,37,-,2,0,2
cell_61,3,4,3,2,53,19,2,2,12,-,2,37,2,2,0,2
cell_62,3,4,3,2,-,19,2,2,12,-,2,37,2,2,0,2
cell_63,-,4,3,2,53,19,2,2,12,3,2,-,2,2,0,-
cell_64,-,4,-,2,53,19,2,2,12,3,2,37,-,2,0,2
cell_65,3,-,10,2,53,3,2,2,-,2,2,-,2,2,0,2
cell_66,3,4,10,2,-,3,2,-,-,2,2,3,2,2,3,2
cell_67,3,4,10,2,-,3,-,-,12,2,2,0,2,2,-,-
cell_68,3,-,10,2,53,3,2,2,12,2,-,3,2,2,2,-
cell_69,3,4,10,-,53,3,2,2,12,2,2,2,2,-,2,2
cell_70,3,4,10,2,53,-,-,2,12,2,2,2,2,2,2,-
cell_71,-,4,10,2,53,3,2,-,12,2,2,2,2,2,-,2
cell_72,3,4,10,2,53,3,-,2,-,-,2,2,-,2,2,2
cell_73,-,4,10,2,53,3,2,-,-,2,2,-,-,2,0,2
cell_74,3,4,10,2,-,3,2,2,12,2,2,-,2,2,2,2
