n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,beta_setting,beta1_state,beta2_barcode,beta_runner
1024,0.404024867143956,0.644926092523083,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_0_beta2_5_barcode_only,0,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_0_beta2_5_barcode_only.R
1024,0.414491931656994,0.631062119870482,0.899118511263467,1836,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_0_beta2_5_barcode_only,0,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_0_beta2_5_barcode_only.R
1024,0.452432689279841,0.568023341589616,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.466566243905743,0.556751189278761,0.860920666013712,1758,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.468078731963479,0.545923223486258,0.853085210577865,1742,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.468213217358836,0.538328195214854,0.870714985308521,1778,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.433645415780549,0.598007312769231,0.889324191968658,1816,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.450175338882629,0.58139770849412,0.866797257590597,1770,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.417276653473673,0.578565770110575,0.903036238981391,1844,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.418283225670906,0.627063566168517,0.893241919686582,1824,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.416005785487028,0.663209257312139,0.883447600391773,1804,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.426514151133947,0.645739526856532,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.400571860631427,0.65657864732012,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.410529458063217,0.631257901129505,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_0_state_only,5,0,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_0_state_only.R
1024,0.451776850006957,0.563072595150821,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.460720681536013,0.592534574520398,0.860920666013712,1758,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.460714874089329,0.562477083430059,0.855044074436827,1746,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.452797723555109,0.60446270752025,0.870714985308521,1778,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.428543391931074,0.622385934576744,0.89128305582762,1820,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.445203409166867,0.588619909847857,0.86973555337904,1776,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.407173708429224,0.617006080410821,0.903036238981391,1844,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.406844969434591,0.661227096156919,0.895200783545544,1828,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.402202573137384,0.70220125462429,0.882468168462292,1802,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.420260384344181,0.665800137171712,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.398649329537178,0.653855250853839,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.407674956879976,0.649689669407063,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_5_default,5,5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_5_default.R
1024,0.445479348930529,0.582074746008454,0.882468168462292,1802,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
1024,0.457879154602022,0.593545041469567,0.860920666013712,1758,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
1024,0.463834379913152,0.562112793585583,0.854064642507346,1744,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
1024,0.447617742373713,0.619265533702196,0.872673849167483,1782,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
1024,0.424901059033609,0.635640896462405,0.89128305582762,1820,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
1024,0.446592190128166,0.592629191852929,0.867776689520078,1772,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
1024,0.410464889099573,0.616433899525824,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
1024,0.397144730795595,0.687752676399074,0.896180215475024,1830,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
1024,0.402475467062204,0.698602995191542,0.884427032321254,1806,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
1024,0.426589048363144,0.64220458551191,0.881488736532811,1800,FateScape,imputed_in_pipeline,0.9,0.1,100,10,beta1_5_beta2_10_barcode_dominant,5,10,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_BetaSensitivity/_patched_runners/run_fatescape_beta1_5_beta2_10_barcode_dominant.R
