n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,eval_error,omega_setting,omega,omega_runner
1024,0.375128730526301,0.712159320180327,0.904995102840353,1848,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_0p50_weak_conflict,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_0p50_weak_conflict.R
1024,0.383583316695255,0.699365454307305,0.907933398628795,1854,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_0p50_weak_conflict,0.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_0p50_weak_conflict.R
1024,0.442735233145751,0.586567844211975,0.881488736532811,1800,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.456284459622519,0.600316095276311,0.862879529872674,1762,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.461611477090744,0.564719092911642,0.854064642507346,1744,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.459152729126252,0.580344233272426,0.871694417238002,1780,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.425638055609419,0.619109771659383,0.890303623898139,1818,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.448953700358999,0.577927110428087,0.867776689520078,1772,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.403941162892676,0.628525735774774,0.904015670910872,1846,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.405729205947379,0.660560664155254,0.896180215475024,1830,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.401947526569347,0.69241676505974,0.884427032321254,1806,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.412313493599937,0.687528800486978,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.390744987523512,0.665251223399853,0.904995102840353,1848,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.40540926892229,0.654523408394773,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p00_hamming_like,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p00_hamming_like.R
1024,0.460101501559761,0.544974040420965,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
1024,0.469247849611751,0.559186852548449,0.862879529872674,1762,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
1024,0.468800493388667,0.547522623041087,0.856023506366308,1748,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
1024,0.449798296609772,0.608314838093258,0.872673849167483,1782,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
1024,0.427176434647727,0.629614278891951,0.889324191968658,1816,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,omega_1p50_default,1.5,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_OmegaSensitivity/_patched_runners/run_fatescape_omega_1p50_default.R
