n_tips,Nye,TreeDistance,RF_normalized,RF_raw,eval_error,method,barcode_source,lambda_barcode,lambda_state,max_iter
1024,0.388010730558427,0.581104270378041,0.938295788442703,1916,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
1024,0.405216456220563,0.60145279082369,0.911851126346719,1862,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
1024,0.377097525756797,0.61989753796518,0.939275220372184,1918,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
1024,0.381277642438877,0.603642840296204,0.943192948090108,1926,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
1024,0.367986616050791,0.627353304768382,0.952007835455436,1944,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
1024,0.384293483677806,0.605900414130894,0.927522037218413,1894,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
1024,0.330985299606041,0.697551847559203,0.953966699314398,1948,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
1024,0.35598370320816,0.663116541132007,0.947110675808031,1934,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
1024,0.369867478566659,0.663945214543524,0.938295788442703,1916,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
1024,0.381200865609242,0.664455404963675,0.922624877571009,1884,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
1024,0.340732593230375,0.704938572090787,0.941234084231146,1922,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
1024,0.328286412130463,0.703905812103216,0.961802154750245,1964,,FateScape-ImputationFree,observed_no_imputation,0.9,0.1,100
