n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,alpha_setting,alpha1_state,alpha2_barcode,alpha_runner
1024,0.427933059730363,0.616549287548547,0.890303623898139,1818,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.447130741322641,0.584290586195854,0.867776689520078,1772,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.41312803200621,0.589913511929473,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.401669212687807,0.674763104719655,0.895200783545544,1828,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.3956254557246,0.71680880784249,0.887365328109696,1812,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.421053383838756,0.659595408073008,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.384643513027273,0.689010962675295,0.903036238981391,1844,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.409895241838423,0.633026470408858,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.448790309926039,0.572263256260577,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
1024,0.452018187161897,0.614753331974058,0.864838393731636,1766,FateScape,imputed_in_pipeline,0.9,0.1,100,10,alpha1_0p10_alpha2_0p90_default,0.1,0.9,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p10_alpha2_0p90_default.R
