n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,eval_error,weight_setting,weight_label,hamming_weight_mode,hamming_weight_gamma,hamming_weight_offset,hamming_weight_tau,hamming_weight_runner
1024,0.423899046989004,0.637290746828359,0.878550440744368,1794,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_k_strict,w(k)=1/k; w(0)=1,inverse_k,1,0,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_k_strict.R
1024,0.437552101195339,0.623809762831442,0.875612144955926,1788,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_k_strict,w(k)=1/k; w(0)=1,inverse_k,1,0,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_k_strict.R
1024,0.400799531174289,0.656449351495498,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_k_strict,w(k)=1/k; w(0)=1,inverse_k,1,0,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_k_strict.R
1024,0.411236516976339,0.631714668312009,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_k_strict,w(k)=1/k; w(0)=1,inverse_k,1,0,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_k_strict.R
1024,0.453245141485273,0.562146210267152,0.878550440744368,1794,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.46952507829835,0.544229068772254,0.859941234084231,1756,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.469202955300465,0.534461278609536,0.853085210577865,1742,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.469551129386771,0.551245537977019,0.868756121449559,1774,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.432975841760117,0.608236724729647,0.889324191968658,1816,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.453006861085074,0.571306767906381,0.865817825661117,1768,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.411876411304432,0.605963808765911,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.419034677538255,0.635782674031204,0.893241919686582,1824,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.41865659241525,0.643302645881853,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.434674536169189,0.622962733844305,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.406375970300648,0.635280073518317,0.900097943192948,1838,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.412970631510181,0.63906787602885,0.900097943192948,1838,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_sqrt_kplus1,w(k)=1/sqrt(k+1),inverse_power,0.5,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_sqrt_kplus1.R
1024,0.457218938107165,0.532050068634522,0.878550440744368,1794,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.469089929609763,0.548421569137226,0.859941234084231,1756,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.467720173895856,0.542149768315922,0.853085210577865,1742,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.465771680126861,0.559998961357671,0.868756121449559,1774,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.42973380096832,0.616562695376116,0.89128305582762,1820,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.450776352427503,0.573179771991718,0.867776689520078,1772,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.411055247482612,0.609523948772118,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.401218051564288,0.672971742296875,0.896180215475024,1830,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.412430356320899,0.670067670317776,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.420378263924505,0.662025971455078,0.879529872673849,1796,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.40595791570014,0.633938734292307,0.901077375122429,1840,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.406088650017611,0.654385003348421,0.90205680705191,1842,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_kplus1_default,"w(k)=1/(k+1), default",inverse_kplus1,1,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_kplus1_default.R
1024,0.446823307702537,0.579215019610671,0.881488736532811,1800,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
1024,0.460859575391003,0.590294406902688,0.859941234084231,1756,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
1024,0.465904438139876,0.549042000524767,0.853085210577865,1742,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
1024,0.459175225364221,0.562929953544659,0.872673849167483,1782,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
1024,0.426023566585644,0.625278580323455,0.890303623898139,1818,FateScape,imputed_in_pipeline,0.9,0.1,100,10,,weight_inverse_square_kplus1,w(k)=1/(k+1)^2,inverse_power,2,1,,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_HammingWeightSensitivity/_patched_runners/run_fatescape_weight_inverse_square_kplus1.R
