cell_id,state_label,state_type,state_depth,ted_parent_state,ted_cluster,ted_depth,ted_cellID
cell_1,1,terminal,6,9,1,6,1
cell_2,1,terminal,6,9,1,6,2
cell_3,1,terminal,6,9,1,6,3
cell_4,1,terminal,6,9,1,6,4
cell_5,9,internal_or_root,5,8,9,4,5
cell_6,1,terminal,6,9,1,5,6
cell_7,1,terminal,6,9,1,6,7
cell_8,1,terminal,6,9,1,6,8
cell_9,8,internal_or_root,4,7,8,3,9
cell_10,8,internal_or_root,4,7,8,3,10
cell_11,2,terminal,6,10,2,6,11
cell_12,2,terminal,6,10,2,6,12
cell_13,1,terminal,6,9,1,6,13
cell_14,1,terminal,6,9,1,6,14
cell_15,1,terminal,6,9,1,6,15
cell_16,1,terminal,6,9,1,6,16
cell_17,10,internal_or_root,5,8,10,4,17
cell_18,10,internal_or_root,5,8,10,4,18
cell_19,2,terminal,6,10,2,6,19
cell_20,2,terminal,6,10,2,6,20
cell_21,10,internal_or_root,5,8,10,4,21
cell_22,2,terminal,6,10,2,5,22
cell_23,2,terminal,6,10,2,6,23
cell_24,2,terminal,6,10,2,6,24
cell_25,2,terminal,6,10,2,6,25
cell_26,2,terminal,6,10,2,6,26
cell_27,2,terminal,6,10,2,6,27
cell_28,2,terminal,6,10,2,5,28
cell_29,2,terminal,6,10,2,6,29
cell_30,2,terminal,6,10,2,6,30
cell_31,2,terminal,6,10,2,6,31
cell_32,2,terminal,6,10,2,6,32
cell_33,3,terminal,6,13,3,5,33
cell_34,12,internal_or_root,4,11,12,3,34
cell_35,13,internal_or_root,5,12,13,4,35
cell_36,6,internal_or_root,2,5,6,1,36
cell_37,2,terminal,6,10,2,6,37
cell_38,10,internal_or_root,5,8,10,4,38
cell_39,2,terminal,6,10,2,5,39
cell_40,2,terminal,6,10,2,6,40
cell_41,6,internal_or_root,2,5,6,1,41
cell_42,7,internal_or_root,3,6,7,2,42
cell_43,6,internal_or_root,2,5,6,1,43
cell_44,13,internal_or_root,5,12,13,4,44
cell_45,2,terminal,6,10,2,6,45
cell_46,2,terminal,6,10,2,6,46
cell_47,10,internal_or_root,5,8,10,4,47
cell_48,10,internal_or_root,5,8,10,4,48
cell_49,6,internal_or_root,2,5,6,1,49
cell_50,5,internal_or_root,1,4,5,0,50
cell_51,6,internal_or_root,2,5,6,1,51
cell_52,6,internal_or_root,2,5,6,1,52
cell_53,13,internal_or_root,5,12,13,4,53
cell_54,11,internal_or_root,3,6,11,2,54
cell_55,3,terminal,6,13,3,5,55
cell_56,3,terminal,6,13,3,6,56
cell_57,12,internal_or_root,4,11,12,3,57
cell_58,3,terminal,6,13,3,6,58
cell_59,3,terminal,6,13,3,5,59
cell_60,3,terminal,6,13,3,6,60
cell_61,12,internal_or_root,4,11,12,3,61
cell_62,12,internal_or_root,4,11,12,3,62
cell_63,13,internal_or_root,5,12,13,4,63
cell_64,13,internal_or_root,5,12,13,4,64
cell_65,1,terminal,6,9,1,5,65
cell_66,1,terminal,6,9,1,5,66
cell_67,1,terminal,6,9,1,6,67
cell_68,1,terminal,6,9,1,6,68
cell_69,1,terminal,6,9,1,6,69
cell_70,1,terminal,6,9,1,6,70
cell_71,1,terminal,6,9,1,6,71
cell_72,1,terminal,6,9,1,6,72
cell_73,9,internal_or_root,5,8,9,4,73
cell_74,1,terminal,6,9,1,6,74
cell_75,1,terminal,6,9,1,6,75
cell_76,1,terminal,6,9,1,6,76
cell_77,9,internal_or_root,5,8,9,4,77
cell_78,1,terminal,6,9,1,6,78
cell_79,1,terminal,6,9,1,6,79
cell_80,1,terminal,6,9,1,6,80
cell_81,1,terminal,6,9,1,6,81
cell_82,1,terminal,6,9,1,6,82
cell_83,1,terminal,6,9,1,6,83
cell_84,1,terminal,6,9,1,6,84
cell_85,1,terminal,6,9,1,5,85
cell_86,1,terminal,6,9,1,5,86
cell_87,1,terminal,6,9,1,6,87
cell_88,1,terminal,6,9,1,6,88
cell_89,1,terminal,6,9,1,5,89
cell_90,1,terminal,6,9,1,6,90
cell_91,8,internal_or_root,4,7,8,3,91
cell_92,1,terminal,6,9,1,5,92
cell_93,1,terminal,6,9,1,6,93
cell_94,1,terminal,6,9,1,6,94
cell_95,10,internal_or_root,5,8,10,4,95
cell_96,8,internal_or_root,4,7,8,3,96
cell_97,5,internal_or_root,1,4,5,0,97
cell_98,11,internal_or_root,3,6,11,2,98
cell_99,6,internal_or_root,2,5,6,1,99
cell_100,8,internal_or_root,4,7,8,3,100
cell_101,3,terminal,6,13,3,6,101
cell_102,3,terminal,6,13,3,5,102
cell_103,12,internal_or_root,4,11,12,3,103
cell_104,12,internal_or_root,4,11,12,3,104
cell_105,12,internal_or_root,4,11,12,3,105
cell_106,12,internal_or_root,4,11,12,3,106
cell_107,12,internal_or_root,4,11,12,3,107
cell_108,3,terminal,6,13,3,5,108
cell_109,11,internal_or_root,3,6,11,2,109
cell_110,13,internal_or_root,5,12,13,4,110
cell_111,12,internal_or_root,4,11,12,3,111
cell_112,12,internal_or_root,4,11,12,3,112
cell_113,3,terminal,6,13,3,5,113
