,S1,S2,S3,S4,S5,S6,S7,S8
cell_141,13,0,2,6,2,0,NA,3
cell_142,13,0,NA,6,2,0,2,3
cell_143,13,0,2,6,2,0,2,3
cell_144,NA,0,NA,6,NA,0,NA,3
cell_145,13,2,NA,NA,2,2,2,2
cell_146,13,0,2,6,2,NA,2,2
cell_147,13,15,2,NA,2,2,2,2
cell_148,13,15,2,6,2,2,2,2
cell_149,13,0,NA,6,2,2,2,2
cell_150,NA,0,2,6,NA,2,2,2
cell_151,13,NA,2,6,2,2,2,2
cell_152,NA,4,NA,NA,2,2,2,2
cell_153,13,4,NA,6,2,2,2,2
cell_154,13,4,2,6,NA,0,NA,2
cell_155,13,4,2,NA,NA,0,2,2
cell_156,13,4,NA,NA,NA,10,2,NA
cell_157,13,NA,2,6,NA,NA,2,2
cell_158,NA,2,2,NA,2,4,NA,NA
cell_159,13,2,2,6,2,4,2,2
cell_160,13,2,2,6,2,4,2,2
cell_161,13,4,NA,NA,2,0,2,37
cell_162,13,4,2,2,2,0,2,37
cell_163,13,0,2,NA,2,0,2,37
cell_164,13,0,2,0,2,NA,2,37
cell_165,13,0,2,0,2,0,NA,37
cell_166,13,NA,2,0,NA,0,2,37
cell_167,NA,NA,2,0,NA,0,2,37
cell_168,13,2,2,0,2,0,2,NA
cell_169,13,0,2,2,2,0,NA,37
cell_170,13,NA,NA,NA,NA,0,2,37
cell_171,NA,0,2,NA,2,0,2,37
cell_172,13,NA,2,2,2,0,2,37
cell_173,13,NA,2,NA,2,13,2,NA
cell_174,13,0,2,2,NA,13,NA,37
cell_175,13,0,2,2,2,NA,2,37
cell_176,13,0,2,2,2,13,2,37
cell_177,NA,0,2,0,2,5,NA,37
cell_178,13,NA,2,0,2,0,NA,NA
cell_179,13,0,2,0,2,0,NA,37
cell_180,13,0,NA,0,2,0,2,37
cell_181,13,2,2,18,2,NA,NA,NA
cell_182,13,NA,2,42,2,NA,2,37
cell_183,13,0,2,NA,NA,NA,2,37
cell_184,NA,93,2,2,NA,0,2,37
cell_185,13,2,NA,0,NA,21,NA,37
cell_186,13,2,2,0,2,21,2,37
cell_187,13,2,2,0,NA,21,2,37
cell_188,13,2,2,3,NA,21,2,37
cell_189,13,NA,2,0,2,0,2,NA
cell_190,13,2,2,NA,NA,0,2,37
cell_191,13,0,NA,0,NA,2,2,37
cell_192,13,0,NA,0,2,2,2,37
cell_193,13,9,NA,NA,NA,NA,NA,NA
cell_194,13,0,NA,NA,NA,NA,NA,NA
cell_195,13,5,NA,NA,NA,NA,NA,NA
cell_196,13,0,2,NA,NA,NA,NA,NA
cell_197,13,NA,2,NA,NA,NA,NA,NA
cell_198,13,5,2,NA,NA,NA,NA,NA
cell_199,13,3,NA,NA,NA,NA,NA,NA
cell_200,13,3,2,NA,NA,NA,NA,NA
cell_201,NA,2,NA,NA,NA,NA,NA,NA
cell_202,13,2,NA,NA,NA,NA,NA,NA
cell_203,13,2,2,NA,NA,NA,NA,NA
cell_204,13,2,2,NA,NA,NA,NA,NA
cell_205,13,2,NA,NA,NA,NA,NA,NA
cell_206,13,2,2,NA,NA,NA,NA,NA
cell_207,13,2,NA,NA,NA,NA,NA,NA
cell_208,13,2,NA,NA,NA,NA,NA,NA
cell_209,13,NA,2,NA,NA,NA,NA,NA
cell_210,13,0,2,NA,NA,NA,NA,NA
cell_211,NA,0,2,NA,NA,NA,NA,NA
cell_212,13,0,NA,NA,NA,NA,NA,NA
cell_213,13,NA,2,NA,NA,NA,NA,NA
cell_214,13,2,2,NA,NA,NA,NA,NA
cell_215,13,0,NA,NA,NA,NA,NA,NA
cell_216,13,0,2,NA,NA,NA,NA,NA
cell_217,13,NA,2,NA,NA,NA,NA,NA
cell_218,NA,0,2,NA,NA,NA,NA,NA
cell_219,NA,NA,2,NA,NA,NA,NA,NA
cell_220,13,0,2,NA,NA,NA,NA,NA
cell_221,NA,8,2,NA,NA,NA,NA,NA
cell_222,13,2,NA,NA,NA,NA,NA,NA
cell_223,13,2,2,NA,NA,NA,NA,NA
cell_224,NA,2,NA,NA,NA,NA,NA,NA
cell_225,13,19,2,NA,NA,NA,NA,NA
cell_226,NA,19,2,NA,NA,NA,NA,NA
cell_227,13,19,2,NA,NA,NA,NA,NA
cell_228,13,NA,2,NA,NA,NA,NA,NA
cell_229,13,NA,2,NA,NA,NA,NA,NA
cell_230,13,5,2,NA,NA,NA,NA,NA
cell_231,13,NA,2,NA,NA,NA,NA,NA
cell_232,13,5,NA,NA,NA,NA,NA,NA
cell_233,13,5,2,NA,NA,NA,NA,NA
cell_234,NA,NA,NA,NA,NA,NA,NA,NA
cell_235,13,5,2,NA,NA,NA,NA,NA
cell_236,13,NA,2,NA,NA,NA,NA,NA
cell_237,NA,5,2,NA,NA,NA,NA,NA
cell_238,13,5,2,NA,NA,NA,NA,NA
cell_239,13,NA,2,NA,NA,NA,NA,NA
cell_240,13,5,2,NA,NA,NA,NA,NA
