,S1,S2,S3,S4,S5,S6,S7,S8
cell_596,0,0,NA,2,NA,2,2,0
cell_597,0,0,0,2,2,NA,2,9
cell_598,5,3,0,NA,2,2,2,0
cell_599,0,NA,0,2,2,NA,NA,2
cell_600,2,NA,0,NA,2,2,2,NA
cell_601,5,NA,0,NA,2,2,2,NA
cell_602,0,0,NA,2,2,2,2,3
cell_603,NA,NA,5,2,2,NA,2,0
cell_604,2,11,NA,2,2,2,2,0
cell_605,0,NA,0,2,2,2,NA,3
cell_606,0,9,0,2,2,2,2,3
cell_607,0,NA,0,2,2,2,NA,NA
cell_608,0,NA,0,2,2,NA,2,0
cell_609,2,0,NA,2,2,2,NA,4
cell_610,2,2,2,2,NA,NA,2,4
cell_611,2,2,2,NA,2,2,2,4
cell_612,2,2,2,NA,NA,2,NA,4
cell_613,2,0,2,2,2,2,NA,NA
cell_614,2,5,2,NA,NA,2,2,0
cell_615,2,5,2,2,NA,2,2,NA
cell_616,2,4,2,2,2,NA,2,0
cell_617,NA,0,2,NA,NA,2,2,5
cell_618,2,0,NA,2,NA,NA,2,5
cell_619,2,0,2,2,2,2,2,5
cell_620,2,0,2,2,2,NA,2,5
cell_621,2,4,2,2,2,NA,2,0
cell_622,2,0,NA,2,2,2,2,0
cell_623,2,0,2,2,2,2,2,0
cell_624,2,0,2,NA,2,2,NA,0
cell_625,2,2,2,NA,2,NA,NA,2
cell_626,NA,2,NA,2,NA,2,2,NA
cell_627,2,2,2,NA,2,NA,2,2
cell_628,2,2,2,2,2,2,2,2
cell_629,2,2,2,2,NA,2,2,5
cell_630,2,2,2,2,2,NA,2,5
cell_631,2,2,2,2,2,2,2,NA
cell_632,2,2,2,2,2,2,2,5
cell_633,2,2,NA,NA,2,2,2,12
cell_634,2,NA,2,2,NA,NA,2,12
cell_635,NA,2,NA,2,NA,2,2,12
cell_636,2,NA,0,2,2,NA,2,12
cell_637,NA,2,0,2,2,2,2,12
cell_638,2,2,0,2,NA,2,2,12
cell_639,2,NA,4,2,2,2,2,12
cell_640,2,2,4,2,2,NA,2,12
cell_641,0,3,2,3,NA,2,2,5
cell_642,NA,3,NA,3,5,2,NA,5
cell_643,0,3,2,3,5,2,2,5
cell_644,0,3,2,3,NA,NA,2,5
cell_645,2,3,NA,3,5,2,2,5
cell_646,NA,3,2,3,NA,2,2,5
cell_647,2,3,2,3,NA,2,2,5
cell_648,0,NA,2,3,5,2,2,5
cell_649,NA,NA,NA,3,0,NA,2,NA
cell_650,0,NA,2,3,NA,2,2,5
cell_651,0,3,2,NA,0,2,NA,5
cell_652,0,3,2,3,0,2,2,5
cell_653,2,NA,2,3,NA,2,2,5
cell_654,2,3,2,3,0,2,2,5
cell_655,2,3,2,3,0,2,2,5
cell_656,2,3,2,3,2,2,NA,5
cell_657,0,0,2,NA,2,2,2,5
cell_658,NA,NA,2,3,2,NA,NA,NA
cell_659,2,0,2,3,2,2,2,5
cell_660,3,0,2,NA,2,2,NA,NA
cell_661,0,0,2,3,2,NA,NA,5
cell_662,0,0,2,3,NA,2,NA,5
cell_663,0,0,NA,3,NA,2,NA,NA
cell_664,NA,0,NA,3,NA,2,2,5
cell_665,2,11,2,3,NA,2,2,5
cell_666,2,11,2,3,NA,2,2,NA
cell_667,NA,5,2,NA,2,2,2,5
cell_668,0,5,NA,3,2,2,2,5
cell_669,NA,2,2,3,2,2,2,5
cell_670,0,0,2,3,2,2,2,5
cell_671,NA,NA,2,3,NA,2,2,5
cell_672,0,2,2,3,2,2,2,5
cell_673,2,2,2,0,2,2,2,5
cell_674,2,NA,2,0,2,NA,2,5
cell_675,2,2,2,0,2,2,2,5
cell_676,2,2,NA,NA,2,2,2,5
cell_677,2,2,2,0,2,2,2,5
cell_678,2,2,2,0,2,2,NA,5
cell_679,2,2,2,NA,NA,2,2,5
cell_680,2,2,2,2,2,2,2,5
cell_681,NA,2,NA,NA,2,2,2,NA
cell_682,NA,2,2,0,2,NA,2,5
cell_683,2,2,2,0,2,2,2,NA
cell_684,NA,NA,NA,0,NA,2,2,5
cell_685,2,2,2,NA,NA,2,NA,5
cell_686,2,2,2,0,2,NA,2,NA
cell_687,NA,2,2,0,2,2,2,5
cell_688,2,NA,2,NA,2,NA,2,5
cell_689,2,2,2,0,2,2,2,5
cell_690,2,2,2,NA,NA,2,NA,5
cell_691,NA,0,2,NA,2,2,2,5
cell_692,NA,0,2,2,NA,NA,2,5
cell_693,NA,3,2,7,2,2,2,5
cell_694,2,3,2,7,2,NA,NA,5
cell_695,2,3,2,7,2,2,2,5
cell_696,NA,3,2,7,NA,NA,2,5
cell_697,2,2,2,0,NA,2,2,5
cell_698,2,2,NA,0,NA,2,NA,NA
cell_699,2,2,2,0,2,2,NA,5
cell_700,2,2,2,0,NA,NA,2,5
cell_701,2,2,NA,NA,2,NA,2,5
cell_702,NA,2,2,2,2,2,2,5
cell_703,2,2,2,2,NA,NA,2,5
cell_704,NA,NA,NA,2,2,2,2,5
cell_705,2,0,0,9,2,2,2,5
cell_706,2,0,0,0,2,2,2,5
cell_707,2,0,0,49,2,2,2,5
cell_708,2,NA,0,NA,2,2,NA,NA
cell_709,NA,0,0,0,NA,2,2,5
cell_710,2,0,0,2,5,2,2,5
cell_711,NA,NA,5,5,2,2,2,NA
cell_712,2,0,5,5,2,NA,NA,5
cell_713,0,2,0,0,0,2,2,5
cell_714,0,2,NA,0,2,2,2,5
cell_715,0,NA,0,0,0,2,2,NA
cell_716,NA,2,0,4,0,2,2,NA
cell_717,0,2,NA,2,0,2,NA,5
cell_718,0,2,2,0,0,2,2,5
cell_719,2,2,0,0,2,2,2,5
cell_720,NA,2,0,0,2,2,2,NA
cell_721,NA,0,NA,NA,2,2,NA,5
cell_722,NA,5,2,12,0,2,2,5
cell_723,NA,0,NA,12,0,2,NA,5
cell_724,17,0,NA,12,NA,2,2,5
cell_725,0,2,0,NA,5,2,2,5
cell_726,11,NA,0,0,5,2,2,5
cell_727,NA,2,NA,0,2,NA,2,5
cell_728,0,2,0,NA,2,2,NA,5
cell_729,12,8,0,0,15,2,NA,NA
cell_730,0,8,NA,NA,NA,2,2,5
cell_731,2,NA,0,NA,NA,2,2,5
cell_732,0,NA,0,0,15,2,2,5
cell_733,0,0,0,0,15,2,2,5
cell_734,0,2,12,0,15,NA,2,NA
cell_735,5,NA,0,2,15,NA,NA,NA
cell_736,NA,0,0,2,15,2,2,NA
cell_737,NA,2,NA,5,0,2,NA,5
cell_738,2,2,NA,5,0,2,2,NA
cell_739,2,2,2,5,2,2,2,5
cell_740,2,2,NA,NA,NA,2,NA,5
cell_741,2,2,2,5,2,2,2,NA
cell_742,2,2,2,5,5,2,2,5
cell_743,2,2,NA,5,65,NA,2,5
cell_744,2,2,NA,NA,65,2,2,5
cell_745,2,2,2,5,5,2,NA,5
cell_746,NA,2,2,5,5,2,2,5
cell_747,2,0,2,5,NA,2,2,5
cell_748,2,0,2,5,5,2,2,5
cell_749,NA,3,2,5,2,2,2,NA
cell_750,2,0,NA,5,2,2,2,5
cell_751,NA,10,2,5,2,2,2,5
cell_752,2,0,NA,5,2,2,2,5
cell_753,2,0,NA,5,2,2,NA,5
cell_754,NA,0,NA,5,NA,NA,2,5
cell_755,NA,NA,0,5,NA,2,2,5
cell_756,2,2,0,5,2,2,2,5
cell_757,2,2,0,NA,2,NA,2,5
cell_758,2,2,NA,5,2,2,2,5
cell_759,2,0,2,NA,2,2,NA,5
cell_760,2,2,2,5,2,2,2,5
cell_761,2,2,3,5,0,2,2,5
cell_762,2,2,NA,NA,0,NA,NA,5
cell_763,2,2,0,5,NA,2,2,5
cell_764,2,2,0,5,0,NA,2,5
cell_765,NA,2,2,NA,2,2,2,NA
cell_766,2,NA,2,5,2,NA,2,5
cell_767,2,2,2,5,NA,2,2,5
cell_768,2,2,2,5,2,2,2,NA
cell_769,16,2,NA,2,NA,2,2,2
cell_770,16,2,12,NA,0,2,2,NA
cell_771,16,NA,12,NA,0,2,2,NA
cell_772,NA,2,12,2,2,2,2,2
cell_773,16,2,12,2,NA,2,2,NA
cell_774,16,2,12,2,0,2,NA,2
cell_775,16,2,12,2,0,NA,2,2
cell_776,16,2,NA,2,0,NA,NA,NA
cell_777,16,2,12,5,NA,2,2,2
cell_778,16,2,NA,NA,2,NA,NA,2
cell_779,16,NA,12,5,NA,2,2,2
cell_780,16,2,12,5,2,NA,2,2
cell_781,16,2,12,5,NA,2,NA,2
cell_782,16,NA,12,5,2,NA,2,2
cell_783,16,2,12,5,2,2,2,NA
cell_784,16,2,NA,5,2,2,2,2
cell_785,16,2,NA,8,2,2,2,2
cell_786,16,2,12,8,2,2,2,2
cell_787,16,2,12,8,2,2,2,2
cell_788,NA,NA,NA,8,2,2,2,2
cell_789,16,NA,12,8,NA,2,2,2
cell_790,NA,2,NA,8,NA,NA,2,2
cell_791,16,NA,12,8,2,2,NA,2
cell_792,16,2,12,8,2,2,NA,2
cell_793,16,2,12,0,2,2,2,2
cell_794,16,2,12,0,2,2,2,NA
cell_795,NA,2,12,NA,2,2,2,2
cell_796,16,2,12,0,2,NA,NA,2
cell_797,NA,2,NA,NA,2,2,2,NA
cell_798,16,2,12,2,2,2,2,2
cell_799,NA,2,12,0,NA,2,2,2
cell_800,16,2,12,0,NA,2,NA,2
cell_801,16,2,12,0,7,5,2,2
cell_802,16,2,12,3,7,5,2,2
cell_803,16,2,12,0,NA,0,NA,NA
cell_804,16,2,12,0,7,0,2,2
cell_805,16,2,12,0,7,0,2,2
cell_806,16,2,12,0,7,0,2,2
cell_807,16,2,12,2,NA,0,2,2
cell_808,16,2,NA,2,NA,8,2,2
cell_809,16,2,NA,0,5,0,2,NA
cell_810,16,NA,NA,0,NA,0,NA,2
cell_811,16,2,12,2,0,2,2,2
cell_812,16,2,NA,NA,NA,NA,NA,NA
cell_813,16,NA,NA,0,5,0,2,2
cell_814,16,2,12,2,5,0,2,2
cell_815,16,2,NA,0,5,2,2,NA
cell_816,NA,2,12,0,5,NA,2,NA
cell_817,16,2,12,2,0,2,NA,2
cell_818,16,NA,12,NA,0,NA,2,2
cell_819,NA,2,12,NA,0,NA,2,NA
cell_820,16,2,12,0,NA,2,2,NA
cell_821,16,2,12,2,2,NA,2,2
cell_822,16,2,12,2,2,2,2,2
cell_823,16,2,12,3,2,NA,2,2
cell_824,16,2,12,3,2,2,NA,2
cell_825,16,2,12,2,5,NA,NA,2
cell_826,16,2,12,NA,5,0,NA,2
cell_827,16,2,12,NA,5,2,2,NA
cell_828,16,2,12,2,NA,NA,2,2
cell_829,16,2,12,6,0,0,2,2
cell_830,16,2,12,0,0,0,2,2
cell_831,16,2,12,NA,0,2,2,NA
cell_832,16,2,12,0,0,2,NA,2
cell_833,16,2,NA,2,5,8,NA,0
cell_834,NA,2,12,2,5,8,2,NA
cell_835,16,NA,12,0,5,8,2,5
cell_836,NA,2,12,0,5,NA,2,5
cell_837,16,2,12,0,5,NA,2,0
cell_838,NA,2,NA,NA,5,8,2,0
cell_839,16,2,12,2,5,8,2,NA
cell_840,NA,NA,NA,2,5,8,2,0
cell_841,16,2,12,4,5,8,2,3
cell_842,16,NA,12,4,5,8,2,3
cell_843,16,2,12,4,5,8,2,NA
cell_844,NA,2,12,4,NA,8,2,3
cell_845,16,2,12,4,5,8,2,NA
cell_846,16,2,12,4,5,8,2,NA
cell_847,16,2,12,4,NA,8,NA,3
cell_848,16,2,12,4,5,8,2,NA
cell_849,16,NA,12,5,5,8,NA,NA
cell_850,16,2,NA,5,5,8,2,NA
cell_851,16,2,12,5,5,NA,2,0
cell_852,16,NA,NA,NA,NA,8,2,NA
cell_853,16,2,NA,5,5,8,2,0
cell_854,16,2,12,5,5,8,2,0
cell_855,NA,NA,NA,5,5,8,2,NA
cell_856,16,NA,12,5,5,8,2,16
cell_857,16,2,12,5,5,8,2,0
cell_858,16,2,NA,5,5,8,2,NA
cell_859,16,2,12,5,NA,8,2,0
cell_860,16,2,12,5,NA,8,NA,0
cell_861,16,2,12,NA,5,NA,2,0
cell_862,NA,2,12,5,5,8,2,NA
cell_863,16,2,12,5,5,8,2,NA
cell_864,16,2,12,5,5,8,2,0
cell_865,16,NA,12,0,2,8,NA,28
cell_866,NA,2,12,0,NA,8,2,28
cell_867,16,2,12,NA,0,8,2,28
cell_868,16,2,NA,0,0,8,2,28
cell_869,16,2,12,3,0,8,NA,28
cell_870,16,2,12,3,0,8,2,28
cell_871,16,2,NA,3,0,NA,2,28
cell_872,16,2,12,3,3,8,2,28
cell_873,16,2,12,0,NA,8,NA,0
cell_874,16,2,12,NA,0,8,2,0
cell_875,16,2,NA,0,0,NA,2,0
cell_876,16,2,12,0,0,8,2,0
cell_877,16,2,12,2,5,8,2,0
cell_878,NA,NA,12,2,5,8,2,NA
cell_879,16,2,12,0,0,NA,2,NA
cell_880,16,2,NA,0,0,8,2,0
cell_881,16,NA,12,3,NA,8,2,0
cell_882,16,2,NA,3,0,NA,2,0
cell_883,NA,2,NA,3,0,8,2,0
cell_884,16,2,12,3,NA,8,2,0
cell_885,16,2,12,3,NA,8,NA,NA
cell_886,16,NA,12,3,0,NA,2,0
cell_887,16,2,NA,3,0,8,2,0
cell_888,16,2,12,3,0,8,2,0
cell_889,NA,2,12,3,0,8,2,0
cell_890,NA,2,NA,NA,0,8,2,3
cell_891,16,2,NA,3,0,8,2,0
cell_892,16,NA,12,3,4,NA,2,NA
cell_893,NA,2,12,3,3,8,2,3
cell_894,16,NA,12,3,NA,8,2,NA
cell_895,16,2,12,3,0,8,NA,0
cell_896,16,NA,12,3,2,8,2,0
cell_897,16,0,12,2,0,NA,2,NA
cell_898,16,0,NA,2,0,2,2,0
cell_899,16,2,NA,2,0,2,2,0
cell_900,16,3,12,2,0,NA,2,0
cell_901,16,4,12,2,2,NA,2,0
cell_902,16,4,12,2,2,2,2,0
cell_903,16,4,12,2,2,2,NA,0
cell_904,NA,4,NA,NA,2,2,2,0
cell_905,NA,2,12,2,2,2,2,2
cell_906,NA,0,12,2,2,2,2,2
cell_907,16,0,12,2,NA,2,2,2
cell_908,16,0,12,2,2,2,2,2
cell_909,16,0,12,NA,NA,2,NA,NA
cell_910,16,0,12,2,2,2,NA,NA
cell_911,16,NA,NA,2,2,2,NA,0
cell_912,16,2,NA,NA,2,2,2,NA
cell_913,16,0,NA,NA,26,2,2,2
cell_914,16,0,NA,2,0,NA,2,2
cell_915,NA,0,12,2,0,2,2,2
cell_916,NA,0,12,2,0,2,2,2
cell_917,16,0,12,2,NA,NA,2,2
cell_918,16,NA,12,2,0,2,2,2
cell_919,16,0,12,2,8,2,2,NA
cell_920,NA,NA,12,2,8,NA,2,2
cell_921,16,0,NA,NA,2,2,2,NA
cell_922,16,0,12,2,2,2,2,2
cell_923,NA,NA,12,2,2,2,NA,5
cell_924,16,NA,12,2,2,2,2,5
cell_925,16,0,12,2,2,2,2,6
cell_926,16,0,12,2,2,2,NA,0
cell_927,16,0,12,2,2,2,2,NA
cell_928,16,0,12,NA,NA,2,2,0
cell_929,NA,NA,NA,NA,NA,NA,NA,NA
cell_930,16,NA,NA,NA,NA,NA,NA,NA
cell_931,16,NA,NA,NA,NA,NA,NA,NA
cell_932,NA,NA,NA,NA,NA,NA,NA,NA
cell_933,16,NA,NA,NA,NA,NA,NA,NA
cell_934,NA,NA,NA,NA,NA,NA,NA,NA
cell_935,16,NA,NA,NA,NA,NA,NA,NA
cell_936,16,NA,NA,NA,NA,NA,NA,NA
cell_937,16,NA,NA,NA,NA,NA,NA,NA
cell_938,16,NA,NA,NA,NA,NA,NA,NA
cell_939,NA,NA,NA,NA,NA,NA,NA,NA
cell_940,16,NA,NA,NA,NA,NA,NA,NA
cell_941,16,NA,NA,NA,NA,NA,NA,NA
cell_942,NA,NA,NA,NA,NA,NA,NA,NA
cell_943,16,NA,NA,NA,NA,NA,NA,NA
cell_944,16,NA,NA,NA,NA,NA,NA,NA
cell_945,16,3,12,2,12,2,2,2
cell_946,16,3,12,2,12,2,2,NA
cell_947,16,3,NA,2,12,NA,2,2
cell_948,NA,3,NA,2,12,2,2,2
cell_949,16,3,12,2,12,2,2,NA
cell_950,NA,3,NA,2,NA,2,NA,2
cell_951,16,3,12,2,12,NA,2,2
cell_952,16,3,12,2,12,2,NA,2
cell_953,16,2,12,2,12,2,2,NA
cell_954,16,2,NA,2,NA,2,2,0
cell_955,NA,3,12,2,NA,2,2,3
cell_956,16,3,12,2,12,NA,2,3
cell_957,16,NA,12,2,NA,2,2,2
cell_958,16,0,12,NA,NA,NA,2,2
cell_959,NA,2,12,2,12,2,2,NA
cell_960,16,2,12,2,12,NA,2,NA
cell_961,NA,0,12,NA,NA,2,NA,0
cell_962,16,0,12,2,0,NA,2,0
cell_963,16,2,NA,NA,2,2,2,NA
cell_964,NA,2,12,2,2,NA,NA,0
cell_965,16,0,NA,2,0,2,2,NA
cell_966,NA,NA,12,2,3,2,2,2
cell_967,16,NA,NA,2,0,2,2,0
cell_968,NA,2,NA,NA,0,2,2,NA
cell_969,16,0,NA,2,2,2,2,NA
cell_970,NA,0,12,2,2,2,NA,0
cell_971,16,NA,12,2,NA,2,2,NA
cell_972,NA,NA,12,2,2,NA,2,2
cell_973,16,2,12,NA,0,NA,2,NA
cell_974,16,NA,12,NA,0,2,2,NA
cell_975,NA,0,12,2,0,2,2,0
cell_976,NA,0,NA,2,0,2,2,0
cell_977,16,NA,12,2,2,NA,2,0
cell_978,16,3,12,2,2,2,NA,NA
cell_979,16,3,NA,2,2,2,2,2
cell_980,16,NA,12,2,2,2,2,0
cell_981,16,3,12,2,2,2,2,NA
cell_982,16,3,12,2,NA,2,2,0
cell_983,16,NA,12,2,NA,2,2,NA
cell_984,16,3,12,2,2,2,2,2
cell_985,16,3,12,2,0,NA,2,0
cell_986,NA,3,NA,2,0,2,2,0
cell_987,16,3,12,2,0,NA,2,0
cell_988,16,NA,12,2,NA,2,2,0
cell_989,16,3,12,2,4,2,NA,11
cell_990,16,3,12,2,4,2,2,11
cell_991,NA,NA,12,2,4,2,2,11
cell_992,16,3,12,NA,4,NA,NA,11
cell_993,16,6,12,3,0,NA,2,2
cell_994,16,6,NA,NA,NA,2,NA,NA
cell_995,16,6,NA,3,11,2,2,2
cell_996,NA,NA,12,0,NA,2,2,2
cell_997,16,6,12,3,0,2,2,NA
cell_998,16,6,12,NA,0,2,2,2
cell_999,16,6,12,0,3,2,NA,2
cell_1000,16,6,12,NA,3,2,2,2
cell_1001,16,6,12,5,0,2,NA,2
cell_1002,16,NA,12,5,0,NA,2,2
cell_1003,16,NA,12,5,0,NA,2,2
cell_1004,NA,6,NA,5,0,2,NA,NA
cell_1005,NA,6,12,2,0,2,2,2
cell_1006,16,NA,12,2,0,2,NA,2
cell_1007,16,6,NA,2,NA,2,2,2
cell_1008,16,6,12,NA,4,2,2,NA
cell_1009,16,6,12,27,0,2,2,2
cell_1010,NA,6,12,27,0,2,2,NA
cell_1011,16,6,NA,NA,0,2,2,2
cell_1012,NA,6,12,27,NA,2,2,NA
cell_1013,16,6,NA,2,NA,2,2,2
cell_1014,16,6,12,NA,0,NA,2,2
cell_1015,16,6,NA,0,3,2,NA,2
cell_1016,16,6,12,0,2,2,2,2
cell_1017,16,6,12,4,2,2,2,2
cell_1018,16,6,12,NA,2,2,2,NA
cell_1019,16,NA,12,2,2,2,2,2
cell_1020,16,6,12,2,2,2,2,2
cell_1021,NA,6,12,0,2,NA,NA,2
cell_1022,NA,NA,12,0,2,2,2,2
cell_1023,16,6,12,0,2,2,2,2
cell_1024,NA,6,NA,3,2,2,NA,2
