,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_97,NA,NA,2,NA,NA,3,2,8,3,3,NA,0
cell_98,5,NA,NA,2,2,NA,2,8,3,3,2,0
cell_99,NA,NA,NA,2,2,3,2,8,NA,3,NA,NA
cell_100,5,10,NA,2,2,3,2,8,3,NA,NA,0
cell_101,5,10,2,2,2,NA,2,2,NA,3,2,NA
cell_102,NA,10,2,2,2,3,2,0,3,NA,NA,8
cell_103,5,10,NA,2,2,3,2,NA,3,NA,NA,8
cell_104,5,10,NA,NA,2,3,2,0,3,NA,NA,8
cell_105,5,10,2,2,2,3,NA,NA,NA,NA,2,2
cell_106,5,10,2,2,NA,NA,NA,NA,NA,3,2,2
cell_107,5,10,NA,2,2,3,NA,0,3,NA,NA,NA
cell_108,5,10,NA,2,2,NA,NA,0,3,NA,2,2
cell_109,5,NA,2,2,NA,3,2,0,NA,3,2,2
cell_110,NA,10,2,2,2,3,2,0,3,3,2,2
cell_111,NA,10,2,2,2,NA,2,NA,3,3,2,NA
cell_112,5,NA,2,NA,2,3,NA,5,3,3,NA,2
cell_113,NA,NA,NA,2,2,3,NA,NA,NA,3,2,NA
cell_114,5,NA,2,2,2,3,NA,5,3,3,2,3
cell_115,5,10,0,2,2,3,0,NA,NA,3,NA,3
cell_116,5,10,NA,2,NA,3,0,5,NA,3,2,3
cell_117,5,NA,NA,2,2,3,0,2,3,3,NA,NA
cell_118,NA,10,5,2,2,3,0,0,NA,3,2,3
cell_119,5,10,NA,2,NA,3,2,2,NA,NA,2,3
cell_120,5,10,0,NA,2,NA,2,NA,3,NA,2,3
cell_121,5,10,3,2,2,NA,0,0,3,3,NA,3
cell_122,5,10,0,2,NA,NA,0,2,3,3,2,3
cell_123,5,10,2,2,2,3,0,NA,3,3,2,3
cell_124,5,10,2,2,2,3,0,2,3,3,2,3
cell_125,NA,10,0,NA,2,3,0,NA,3,3,2,3
cell_126,NA,10,NA,NA,2,3,NA,2,3,NA,NA,3
cell_127,5,NA,NA,2,2,3,0,2,3,3,2,3
cell_128,5,10,0,2,2,NA,0,2,3,NA,NA,3
cell_129,2,2,NA,2,NA,NA,2,0,3,NA,2,2
cell_130,2,0,NA,2,8,5,2,NA,3,NA,NA,2
cell_131,2,2,0,2,NA,5,2,0,3,5,NA,2
cell_132,2,0,NA,2,NA,NA,NA,NA,NA,5,2,2
cell_133,2,2,2,2,0,4,NA,2,3,5,2,NA
cell_134,2,NA,2,2,NA,0,NA,NA,3,NA,NA,2
cell_135,NA,NA,2,2,2,5,NA,0,3,NA,NA,NA
cell_136,2,0,2,NA,2,5,2,0,3,5,NA,2
cell_137,2,4,NA,NA,0,NA,2,0,NA,5,2,2
cell_138,2,NA,NA,NA,0,2,NA,0,NA,5,2,2
cell_139,NA,2,5,2,2,2,2,0,3,5,2,2
cell_140,NA,2,5,2,0,2,2,0,NA,NA,2,NA
cell_141,2,2,NA,NA,0,2,NA,0,3,5,2,NA
cell_142,2,2,2,2,0,2,NA,3,3,5,2,2
cell_143,2,0,2,2,7,2,2,0,3,5,2,NA
cell_144,2,0,2,2,NA,NA,2,0,3,5,NA,2
cell_145,2,0,2,NA,5,2,NA,0,NA,2,2,NA
cell_146,NA,NA,NA,2,NA,NA,2,0,3,2,2,NA
cell_147,2,2,5,NA,NA,2,2,2,3,NA,NA,NA
cell_148,NA,NA,3,2,5,2,2,2,3,0,NA,NA
cell_149,2,0,0,2,2,NA,2,5,3,0,2,NA
cell_150,2,0,NA,NA,0,2,NA,5,3,0,2,2
cell_151,2,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA
cell_152,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2
cell_153,2,0,0,2,NA,NA,NA,2,3,0,2,2
cell_154,NA,0,NA,2,2,NA,2,2,3,NA,NA,2
cell_155,NA,0,NA,2,2,2,NA,NA,3,2,NA,2
cell_156,2,0,0,2,2,NA,2,2,3,NA,2,2
cell_157,2,0,0,2,2,2,2,2,3,2,NA,NA
cell_158,2,4,5,2,2,2,NA,0,3,2,2,2
cell_159,2,0,NA,NA,2,2,2,2,3,2,NA,NA
cell_160,2,0,0,2,2,2,2,3,NA,2,2,2
cell_161,2,5,NA,2,NA,2,2,0,3,0,2,NA
cell_162,2,NA,NA,2,NA,2,NA,2,NA,0,2,2
cell_163,NA,5,2,2,NA,2,2,2,NA,2,NA,NA
cell_164,2,5,2,2,2,2,NA,3,NA,2,NA,2
cell_165,2,NA,NA,2,NA,2,NA,NA,3,2,2,2
cell_166,2,5,NA,2,2,2,2,NA,NA,2,2,2
cell_167,NA,5,NA,2,2,2,NA,0,3,2,2,2
