,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_1,10,2,2,2,2,2,2,2,NA,2,2,0,2,2,3,5
cell_2,10,2,2,2,2,2,2,2,NA,2,2,0,2,NA,3,5
cell_3,10,NA,2,2,2,2,NA,2,0,2,NA,NA,2,2,NA,5
cell_4,10,2,2,2,2,2,2,2,NA,2,2,NA,2,2,3,5
cell_5,10,2,2,2,2,2,2,2,NA,2,NA,NA,2,2,3,NA
cell_6,10,2,2,2,2,2,2,NA,NA,2,2,NA,2,NA,3,5
cell_7,10,2,2,2,2,2,2,2,0,2,2,NA,2,2,3,NA
cell_8,10,2,2,2,2,NA,NA,2,0,2,2,5,2,2,3,5
cell_9,10,NA,2,2,2,NA,2,2,0,2,2,4,NA,2,NA,5
cell_10,10,NA,2,2,2,2,2,NA,0,NA,2,4,3,2,3,NA
cell_11,NA,2,2,2,2,2,NA,2,21,2,NA,4,3,NA,3,5
cell_12,NA,NA,2,NA,2,NA,2,2,0,2,2,NA,3,2,3,NA
cell_13,NA,2,2,2,2,2,2,2,2,2,NA,2,0,2,3,5
cell_14,10,2,2,2,2,NA,2,2,2,2,2,2,2,2,NA,NA
cell_15,10,2,NA,2,2,2,NA,2,2,NA,NA,NA,NA,2,3,5
cell_16,10,2,NA,NA,2,2,NA,2,2,2,NA,0,0,NA,3,5
cell_17,NA,2,NA,2,2,NA,2,2,2,2,NA,4,NA,2,2,5
cell_18,10,2,NA,2,NA,NA,2,2,2,2,2,NA,0,2,NA,5
cell_19,10,2,2,2,2,NA,2,2,2,2,2,0,0,2,2,5
cell_20,NA,2,2,2,2,2,2,2,NA,2,2,0,0,2,2,5
cell_21,10,2,2,2,2,2,2,2,0,2,2,NA,0,5,2,5
cell_22,10,2,2,2,2,2,2,2,0,2,2,2,0,0,2,5
cell_23,10,2,2,2,2,2,2,2,NA,2,2,NA,2,0,2,5
cell_24,10,NA,NA,2,2,NA,2,2,0,2,2,2,2,NA,2,5
cell_25,NA,2,NA,2,2,2,2,2,NA,2,2,0,47,0,12,5
cell_26,NA,NA,2,2,2,2,2,2,3,NA,2,NA,NA,0,12,5
cell_27,10,2,NA,2,2,2,2,2,2,NA,2,2,47,24,0,NA
cell_28,10,2,2,2,2,2,2,2,NA,2,2,2,NA,24,4,5
cell_29,NA,2,2,2,2,NA,2,2,0,2,2,5,47,0,5,5
cell_30,10,2,2,2,NA,2,2,2,3,2,2,0,NA,0,5,5
cell_31,10,2,NA,2,2,2,2,2,NA,2,2,0,47,0,NA,5
cell_32,10,2,2,2,2,2,2,2,0,2,NA,0,47,0,0,5
cell_33,10,NA,2,2,2,NA,2,2,3,NA,2,5,NA,NA,0,5
cell_34,10,2,2,2,0,2,2,2,NA,2,2,5,3,9,0,NA
cell_35,10,2,2,2,0,2,2,2,3,2,2,NA,3,9,0,5
cell_36,10,2,2,NA,0,NA,2,NA,NA,2,2,5,NA,9,3,5
cell_37,10,2,2,2,2,2,2,NA,2,2,2,5,3,0,2,NA
cell_38,NA,2,2,2,2,2,2,2,2,2,2,5,NA,0,2,5
cell_39,10,NA,2,2,2,2,NA,2,2,NA,2,5,3,0,2,5
