,S1,S2,S3,S4,S5,S6,S7,S8
cell_1,2,12,2,4,0,NA,NA,NA
cell_2,2,12,2,NA,0,NA,NA,2
cell_3,2,12,2,4,0,NA,NA,2
cell_4,2,12,2,NA,NA,NA,NA,2
cell_5,2,12,2,4,0,NA,NA,NA
cell_6,NA,12,NA,4,0,NA,NA,2
cell_7,2,12,NA,4,9,NA,NA,2
cell_8,2,12,2,4,9,NA,NA,NA
cell_9,NA,12,2,4,0,NA,NA,0
cell_10,2,12,2,NA,NA,NA,NA,5
cell_11,NA,12,2,4,0,NA,NA,2
cell_12,2,12,2,4,NA,NA,NA,0
cell_13,2,12,2,4,11,NA,NA,0
cell_14,2,12,2,NA,11,NA,NA,5
cell_15,2,12,NA,4,NA,NA,NA,0
cell_16,NA,12,2,4,0,NA,NA,2
cell_17,2,12,2,4,3,NA,NA,4
cell_18,2,NA,2,NA,NA,NA,NA,NA
cell_19,2,12,NA,4,NA,NA,NA,4
cell_20,NA,12,2,4,3,NA,NA,4
cell_21,2,12,NA,4,0,NA,NA,4
cell_22,2,12,2,4,4,NA,NA,4
cell_23,2,12,NA,4,NA,NA,NA,NA
cell_24,2,12,2,NA,2,NA,NA,4
cell_25,2,12,2,NA,0,NA,NA,4
cell_26,2,12,2,NA,0,NA,NA,4
cell_27,2,12,2,4,0,NA,NA,4
cell_28,2,12,2,NA,0,NA,NA,4
cell_29,2,12,2,4,8,NA,NA,NA
cell_30,2,12,NA,4,8,NA,NA,4
cell_31,2,12,2,4,8,NA,NA,4
cell_32,NA,NA,NA,4,8,NA,NA,NA
cell_33,0,12,2,NA,2,NA,NA,12
cell_34,0,12,2,4,2,NA,NA,0
cell_35,0,12,2,4,2,NA,NA,0
cell_36,0,NA,2,4,NA,NA,NA,0
cell_37,51,NA,2,4,2,NA,NA,NA
cell_38,51,12,2,NA,2,NA,NA,0
cell_39,NA,12,2,NA,NA,NA,NA,0
cell_40,0,NA,2,4,2,NA,NA,NA
cell_41,2,12,2,NA,2,NA,NA,2
cell_42,2,12,2,4,2,NA,NA,2
cell_43,2,12,2,4,2,NA,NA,2
cell_44,2,12,2,4,2,NA,NA,NA
cell_45,2,12,NA,4,2,NA,NA,5
cell_46,2,12,NA,NA,2,NA,NA,2
cell_47,2,12,NA,4,2,NA,NA,0
cell_48,NA,NA,2,4,2,NA,NA,0
cell_49,3,12,2,4,6,NA,NA,2
cell_50,3,12,2,4,NA,NA,NA,NA
cell_51,3,12,2,4,NA,NA,NA,NA
cell_52,3,12,2,NA,NA,NA,NA,2
cell_53,NA,12,2,4,6,NA,NA,2
cell_54,NA,12,2,NA,6,NA,NA,2
cell_55,3,12,NA,4,6,NA,NA,2
cell_56,3,12,NA,4,6,NA,NA,2
cell_57,NA,12,2,4,0,NA,NA,2
cell_58,5,12,2,NA,2,NA,NA,NA
cell_59,0,12,2,4,3,NA,NA,2
cell_60,NA,12,2,NA,3,NA,NA,2
cell_61,NA,12,2,4,2,NA,NA,2
cell_62,NA,12,2,4,NA,NA,NA,2
cell_63,2,NA,NA,4,NA,NA,NA,2
cell_64,NA,12,2,4,2,NA,NA,2
cell_65,2,12,0,4,2,NA,NA,2
cell_66,2,12,NA,4,NA,NA,NA,NA
cell_67,2,12,3,4,2,NA,NA,2
cell_68,2,12,NA,4,2,NA,NA,2
cell_69,0,12,NA,4,2,NA,NA,2
cell_70,0,12,0,NA,2,NA,NA,2
cell_71,0,12,NA,4,2,NA,NA,NA
cell_72,0,12,0,4,2,NA,NA,2
cell_73,3,12,0,4,2,NA,NA,2
cell_74,3,12,0,4,2,NA,NA,2
cell_75,3,12,NA,NA,2,NA,NA,2
cell_76,NA,12,0,NA,2,NA,NA,2
cell_77,2,12,4,NA,2,NA,NA,NA
cell_78,2,12,4,4,2,NA,NA,2
cell_79,0,12,0,4,2,NA,NA,NA
cell_80,15,NA,NA,4,2,NA,NA,NA
cell_81,3,NA,0,4,55,NA,NA,2
cell_82,3,12,NA,4,55,NA,NA,2
cell_83,3,12,0,NA,55,NA,NA,2
cell_84,NA,12,0,NA,NA,NA,NA,2
cell_85,3,12,0,4,NA,NA,NA,NA
cell_86,3,NA,0,4,NA,NA,NA,2
cell_87,3,12,4,NA,55,NA,NA,2
cell_88,3,12,4,4,NA,NA,NA,2
cell_89,3,12,6,NA,2,NA,NA,NA
cell_90,3,NA,6,NA,0,NA,NA,2
cell_91,NA,NA,0,4,0,NA,NA,2
cell_92,3,12,0,4,0,NA,NA,NA
cell_93,3,NA,8,4,3,NA,NA,2
cell_94,3,NA,0,4,3,NA,NA,2
cell_95,NA,12,NA,NA,2,NA,NA,2
cell_96,3,12,8,4,0,NA,NA,2
cell_97,NA,NA,NA,NA,NA,NA,NA,2
cell_98,NA,NA,NA,NA,NA,NA,NA,NA
cell_99,NA,NA,NA,NA,NA,NA,NA,2
cell_100,NA,NA,NA,NA,NA,NA,NA,2
cell_101,NA,NA,NA,NA,NA,NA,NA,2
cell_102,NA,NA,NA,NA,NA,NA,NA,2
cell_103,NA,NA,NA,NA,NA,NA,NA,NA
cell_104,NA,NA,NA,NA,NA,NA,NA,NA
cell_105,2,12,4,4,4,NA,NA,NA
cell_106,2,12,4,4,4,NA,NA,2
cell_107,0,12,4,4,15,NA,NA,2
cell_108,0,12,NA,4,NA,NA,NA,2
cell_109,2,12,4,4,2,NA,NA,2
cell_110,2,NA,4,4,2,NA,NA,NA
cell_111,18,NA,4,4,0,NA,NA,2
cell_112,0,12,4,4,0,NA,NA,2
cell_113,NA,12,4,4,NA,NA,NA,2
cell_114,NA,12,4,4,NA,NA,NA,2
cell_115,2,NA,4,4,19,NA,NA,2
cell_116,2,12,4,4,19,NA,NA,2
cell_117,NA,12,NA,4,NA,NA,NA,2
cell_118,2,12,4,NA,NA,NA,NA,2
cell_119,2,12,4,4,19,NA,NA,NA
cell_120,NA,NA,NA,NA,19,NA,NA,2
cell_121,2,12,NA,4,19,NA,NA,2
cell_122,2,12,4,4,NA,NA,NA,2
cell_123,2,12,4,4,19,NA,NA,2
cell_124,NA,12,4,4,19,NA,NA,2
cell_125,NA,12,NA,4,NA,NA,NA,2
cell_126,2,12,4,4,19,NA,NA,2
cell_127,NA,12,4,4,19,NA,NA,2
cell_128,2,12,4,4,19,NA,NA,2
cell_129,4,12,NA,NA,0,NA,NA,0
cell_130,4,12,NA,4,0,NA,NA,NA
cell_131,4,12,2,4,0,NA,NA,4
cell_132,4,12,2,4,0,NA,NA,NA
cell_133,4,12,2,4,0,NA,NA,0
cell_134,4,12,2,4,0,NA,NA,2
cell_135,4,12,2,4,13,NA,NA,3
cell_136,NA,12,2,4,13,NA,NA,0
cell_137,4,12,NA,4,18,NA,NA,NA
cell_138,4,12,NA,NA,NA,NA,NA,0
cell_139,4,12,2,NA,0,NA,NA,0
cell_140,4,12,2,4,0,NA,NA,0
cell_141,NA,NA,2,NA,0,NA,NA,5
cell_142,4,12,2,4,0,NA,NA,0
cell_143,NA,12,NA,NA,NA,NA,NA,0
cell_144,NA,12,2,4,0,NA,NA,NA
cell_145,4,12,2,NA,NA,NA,NA,3
cell_146,NA,NA,NA,4,2,NA,NA,3
cell_147,NA,NA,2,4,0,NA,NA,3
cell_148,4,12,2,4,2,NA,NA,3
cell_149,4,12,2,4,0,NA,NA,3
cell_150,4,12,2,4,0,NA,NA,3
cell_151,4,12,2,4,2,NA,NA,3
