,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,NA,2,2,0,5,0,NA,NA,2,19,10,2
cell_2,2,2,2,0,5,0,8,NA,2,19,10,NA
cell_3,NA,2,2,0,5,0,8,NA,2,19,10,NA
cell_4,NA,2,NA,NA,5,0,NA,2,2,NA,10,NA
cell_5,2,2,2,NA,5,0,NA,2,2,19,10,NA
cell_6,2,2,NA,0,5,0,8,NA,2,19,10,NA
cell_7,2,2,NA,NA,5,0,NA,NA,2,19,10,2
cell_8,2,2,2,5,5,0,NA,2,2,19,NA,NA
cell_9,2,2,2,4,5,2,NA,2,3,3,10,2
cell_10,2,2,2,4,5,NA,8,NA,3,3,10,NA
cell_11,2,NA,2,NA,NA,2,NA,2,3,3,10,2
cell_12,2,2,2,NA,5,2,8,2,NA,NA,10,2
cell_13,NA,NA,2,0,5,2,8,NA,2,3,10,2
cell_14,2,NA,2,NA,NA,2,NA,NA,2,NA,10,NA
cell_15,2,2,NA,0,5,NA,8,2,0,NA,10,2
cell_16,2,2,2,0,5,2,8,2,0,NA,10,2
cell_17,2,2,NA,2,5,6,8,NA,2,0,10,2
cell_18,NA,2,2,4,5,6,NA,NA,2,0,10,2
cell_19,2,NA,NA,0,5,6,8,NA,2,0,10,2
cell_20,2,2,2,NA,5,6,8,2,2,NA,10,NA
cell_21,2,2,2,5,5,6,8,2,NA,NA,10,2
cell_22,2,NA,NA,10,5,6,8,2,NA,4,10,NA
cell_23,2,2,2,0,5,6,8,2,0,4,10,2
cell_24,2,2,2,0,5,NA,NA,NA,0,4,10,2
cell_25,2,2,2,2,5,6,8,2,0,NA,NA,2
cell_26,2,2,2,2,5,6,NA,2,0,5,10,NA
cell_27,2,2,2,2,5,6,8,2,0,0,NA,2
cell_28,2,2,2,0,5,6,8,2,0,0,10,NA
cell_29,NA,2,NA,0,NA,6,8,2,2,2,10,NA
cell_30,2,NA,2,0,5,6,NA,2,2,2,10,2
cell_31,2,2,2,42,5,6,8,2,NA,2,10,NA
cell_32,NA,2,2,42,5,6,8,2,0,NA,10,2
cell_33,NA,2,2,2,5,2,8,2,6,2,10,2
cell_34,2,NA,NA,2,5,2,8,2,NA,2,NA,2
cell_35,2,2,2,2,5,42,8,2,2,2,NA,2
cell_36,2,2,2,2,5,42,8,NA,2,2,10,2
cell_37,2,2,2,2,5,NA,8,2,0,2,NA,2
cell_38,2,2,NA,2,5,NA,8,2,0,2,10,2
cell_39,2,2,NA,2,5,0,NA,NA,67,2,NA,2
cell_40,2,2,2,2,5,2,8,2,NA,2,10,2
cell_41,2,2,2,12,5,4,8,2,NA,NA,10,2
cell_42,2,2,NA,NA,5,4,8,2,NA,NA,10,2
cell_43,2,2,2,12,5,4,8,2,NA,2,10,NA
cell_44,2,2,2,NA,5,4,8,2,0,NA,10,NA
cell_45,2,2,2,NA,5,4,8,2,NA,2,10,2
cell_46,2,2,2,12,5,4,NA,2,0,0,10,NA
cell_47,2,2,2,12,5,4,NA,2,0,0,10,2
cell_48,2,NA,2,12,5,4,8,2,0,0,10,2
cell_49,NA,2,2,0,5,5,NA,NA,8,0,NA,2
cell_50,NA,NA,NA,NA,5,NA,8,2,8,0,NA,2
cell_51,2,NA,2,20,NA,5,8,2,NA,2,10,NA
cell_52,2,NA,NA,20,5,NA,8,2,8,NA,NA,NA
cell_53,NA,2,2,NA,NA,5,8,2,8,2,NA,2
cell_54,2,2,2,0,NA,5,8,2,8,2,10,2
cell_55,2,2,2,0,5,5,8,NA,8,NA,10,2
cell_56,2,2,NA,0,5,5,8,2,8,0,10,2
cell_57,2,2,2,0,5,0,8,2,NA,0,10,2
cell_58,2,2,2,0,5,0,8,2,8,0,10,NA
cell_59,NA,2,2,0,NA,0,8,2,NA,0,10,2
cell_60,2,NA,NA,0,5,0,8,2,8,2,10,NA
cell_61,2,2,2,0,5,0,8,NA,8,0,10,2
cell_62,2,2,2,4,NA,0,8,2,8,0,10,2
cell_63,2,2,2,0,NA,0,8,2,8,0,NA,NA
cell_64,2,2,NA,0,5,0,8,NA,8,0,NA,NA
cell_65,2,0,NA,2,5,NA,8,NA,NA,NA,10,2
cell_66,2,0,2,2,5,3,8,0,0,2,NA,2
cell_67,2,0,2,0,5,3,8,5,NA,2,10,2
cell_68,2,0,2,0,5,3,8,5,0,2,10,2
cell_69,2,NA,2,3,5,3,8,0,0,2,NA,2
cell_70,2,2,2,0,5,3,NA,0,0,2,NA,2
cell_71,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA
cell_72,2,2,2,0,5,3,8,0,0,NA,10,2
cell_73,NA,3,NA,0,5,NA,8,0,NA,0,10,2
cell_74,NA,0,2,2,5,3,8,0,NA,0,10,2
cell_75,NA,0,2,0,5,NA,8,0,2,0,10,2
cell_76,NA,15,2,0,5,3,8,0,2,0,10,2
cell_77,2,2,2,0,5,3,8,0,2,0,10,NA
cell_78,2,2,2,NA,5,3,8,NA,0,NA,10,2
cell_79,2,NA,NA,0,5,3,8,NA,10,0,NA,2
cell_80,2,2,2,NA,NA,3,8,12,2,0,10,2
cell_81,2,NA,NA,2,5,3,8,2,2,NA,10,NA
cell_82,NA,NA,2,2,5,3,8,2,2,NA,10,NA
cell_83,2,NA,NA,2,5,NA,8,0,2,2,NA,NA
cell_84,2,5,2,NA,5,3,8,5,2,2,NA,2
cell_85,2,5,2,2,5,3,8,0,0,NA,10,2
cell_86,2,5,2,2,5,NA,NA,0,0,2,10,2
cell_87,NA,5,2,2,5,3,NA,0,NA,2,10,2
cell_88,2,5,NA,NA,5,3,8,0,0,NA,NA,2
cell_89,NA,5,NA,2,5,NA,8,0,25,2,10,2
cell_90,2,5,NA,NA,5,3,8,42,25,2,10,NA
cell_91,2,5,NA,2,5,3,8,0,25,0,10,2
cell_92,NA,5,2,2,5,3,8,0,25,NA,10,NA
cell_93,NA,5,NA,2,5,3,NA,7,25,3,10,2
cell_94,2,5,2,2,5,NA,8,0,25,0,10,2
cell_95,2,5,2,2,5,3,8,0,25,0,10,2
cell_96,2,NA,2,2,5,3,8,5,25,NA,10,2
cell_97,2,NA,NA,2,5,0,NA,5,3,0,10,NA
cell_98,2,0,2,2,5,0,8,5,3,NA,10,2
cell_99,2,NA,2,2,5,2,8,5,NA,NA,10,NA
cell_100,2,NA,NA,2,5,2,8,NA,3,0,10,NA
cell_101,2,8,2,2,5,NA,NA,5,3,6,10,2
cell_102,2,0,2,NA,5,0,8,NA,3,NA,10,2
cell_103,2,0,2,2,5,3,8,5,NA,4,10,2
cell_104,NA,0,2,2,5,NA,8,NA,NA,0,10,2
cell_105,2,4,2,4,5,2,NA,5,3,NA,10,2
cell_106,NA,4,2,4,5,2,8,5,3,NA,10,2
cell_107,2,4,NA,4,NA,2,8,5,3,NA,10,2
cell_108,2,4,2,4,5,NA,8,5,3,2,10,2
cell_109,2,NA,2,0,5,2,8,5,3,2,10,2
cell_110,2,0,NA,0,5,2,8,5,3,2,10,2
cell_111,2,0,2,0,NA,2,NA,5,3,2,10,2
cell_112,NA,0,2,2,NA,NA,8,5,3,2,10,2
cell_113,2,0,NA,NA,5,2,8,2,5,0,10,2
cell_114,2,0,2,0,5,2,8,2,54,NA,10,2
cell_115,2,NA,2,NA,5,2,8,0,0,2,10,2
cell_116,2,2,2,2,5,2,8,NA,0,NA,10,2
cell_117,2,2,2,0,5,2,8,10,0,0,NA,2
cell_118,2,NA,NA,0,5,2,8,10,0,0,NA,2
cell_119,2,2,2,0,5,NA,NA,10,NA,0,10,2
cell_120,2,2,2,0,5,2,8,10,0,4,10,2
cell_121,2,2,2,2,5,NA,8,2,0,5,NA,2
cell_122,2,2,NA,NA,NA,2,NA,0,0,5,10,2
cell_123,NA,2,NA,0,5,2,NA,NA,0,NA,NA,2
cell_124,2,2,2,0,NA,2,NA,NA,0,NA,10,2
cell_125,2,2,NA,4,5,NA,8,3,4,5,10,2
cell_126,2,2,2,4,NA,2,NA,3,NA,5,10,NA
cell_127,2,2,2,0,5,2,8,3,0,5,10,2
cell_128,2,2,NA,NA,NA,2,8,3,0,5,10,NA
cell_129,2,2,3,2,5,4,8,2,2,0,10,0
cell_130,2,2,3,2,5,4,NA,13,2,0,NA,NA
cell_131,NA,0,3,2,5,NA,8,0,2,2,10,0
cell_132,NA,0,NA,NA,5,NA,8,0,NA,2,10,NA
cell_133,2,26,3,2,5,NA,8,0,2,2,10,0
cell_134,2,0,3,2,NA,4,8,0,2,2,10,0
cell_135,2,0,3,2,5,4,8,0,2,2,NA,NA
cell_136,2,0,3,2,5,4,8,4,2,2,10,2
cell_137,2,NA,3,2,5,4,8,3,NA,2,NA,5
cell_138,2,NA,3,NA,5,4,8,3,2,2,NA,5
cell_139,2,0,NA,2,5,4,8,NA,NA,0,10,5
cell_140,2,0,3,2,5,4,8,0,2,0,10,5
cell_141,2,0,3,2,NA,NA,8,2,2,0,10,5
cell_142,2,0,NA,2,NA,4,8,2,2,4,10,5
cell_143,2,NA,NA,2,5,4,8,NA,2,4,10,12
cell_144,NA,0,3,2,5,4,8,NA,2,4,NA,0
cell_145,2,3,NA,2,5,4,8,0,2,NA,10,5
cell_146,2,NA,NA,NA,5,4,8,5,2,NA,10,5
cell_147,2,NA,3,NA,NA,4,NA,0,2,5,10,NA
cell_148,2,3,3,NA,5,4,8,0,2,5,10,NA
cell_149,2,3,3,2,NA,4,8,0,2,5,10,2
cell_150,2,NA,3,2,5,4,NA,2,2,5,10,2
cell_151,2,3,3,2,5,4,NA,0,2,5,10,NA
cell_152,NA,3,3,2,5,4,8,0,2,5,10,5
cell_153,2,NA,NA,2,NA,4,8,NA,NA,0,10,2
cell_154,2,57,3,2,NA,4,8,0,2,0,NA,2
cell_155,2,57,NA,NA,NA,4,8,0,2,NA,10,2
cell_156,2,57,NA,NA,5,4,8,0,2,0,10,2
cell_157,2,27,3,NA,5,NA,8,2,2,11,10,NA
cell_158,2,27,3,2,5,4,NA,0,2,NA,10,0
cell_159,2,NA,3,2,5,4,8,0,2,0,10,2
cell_160,2,27,NA,NA,5,4,NA,0,2,NA,10,NA
cell_161,2,NA,5,8,5,4,8,2,2,5,10,NA
cell_162,NA,2,8,NA,5,4,8,2,NA,0,10,2
cell_163,2,0,0,NA,5,4,8,2,2,0,10,2
cell_164,2,0,2,8,5,4,8,2,2,0,10,2
cell_165,2,0,NA,NA,NA,NA,8,2,2,NA,10,0
cell_166,2,NA,4,8,5,NA,NA,NA,2,NA,10,2
cell_167,2,0,NA,NA,5,NA,8,NA,2,0,10,0
cell_168,2,0,0,8,5,4,8,NA,2,NA,10,0
cell_169,NA,0,NA,8,5,4,8,0,2,5,10,NA
cell_170,NA,0,0,8,5,4,8,2,2,5,10,31
cell_171,2,5,0,8,5,4,NA,0,2,5,10,2
cell_172,2,5,0,8,5,NA,8,0,2,5,10,2
cell_173,2,NA,8,8,5,4,8,11,2,2,10,2
cell_174,2,0,8,8,5,4,8,11,2,NA,10,2
cell_175,2,2,0,8,NA,4,NA,11,2,2,10,0
cell_176,2,2,0,8,5,4,8,11,2,NA,NA,0
cell_177,NA,0,2,NA,5,4,8,0,NA,2,NA,NA
cell_178,2,0,2,8,5,4,NA,2,2,2,10,3
cell_179,2,0,2,8,5,NA,8,29,2,2,10,NA
cell_180,2,0,NA,8,NA,4,8,29,NA,NA,10,3
cell_181,2,0,2,8,NA,4,8,0,2,2,10,3
cell_182,2,0,2,8,5,4,8,2,2,NA,10,3
cell_183,2,3,2,8,5,4,8,0,NA,2,NA,NA
cell_184,2,NA,NA,8,5,4,NA,3,2,2,10,3
cell_185,2,2,NA,8,5,4,8,0,2,2,10,3
cell_186,2,NA,2,8,5,4,8,0,NA,NA,10,3
cell_187,NA,2,2,8,5,NA,8,0,2,2,10,3
cell_188,2,2,NA,8,5,4,8,5,2,2,10,NA
cell_189,NA,2,2,8,5,4,NA,0,2,2,10,3
cell_190,NA,2,NA,8,5,4,8,0,2,2,10,3
cell_191,NA,2,2,8,5,4,8,2,2,NA,10,3
cell_192,2,2,2,8,5,4,NA,2,NA,2,10,NA
cell_193,2,2,NA,NA,5,4,8,0,NA,NA,10,5
cell_194,2,2,NA,2,5,4,8,NA,0,0,NA,5
cell_195,2,NA,2,0,5,4,8,2,0,7,10,5
cell_196,2,2,2,0,NA,4,8,0,0,0,NA,NA
cell_197,2,NA,2,0,5,4,8,5,5,0,10,NA
cell_198,NA,2,2,0,5,4,8,5,NA,0,10,5
cell_199,2,2,2,NA,5,NA,8,5,0,0,10,5
cell_200,2,2,2,14,5,4,NA,5,0,NA,10,5
cell_201,2,5,2,3,5,NA,8,0,3,4,10,5
cell_202,2,5,2,3,5,4,NA,5,0,NA,NA,5
cell_203,NA,5,2,3,5,4,8,0,0,0,10,5
cell_204,2,5,2,3,5,4,8,NA,0,0,NA,5
cell_205,2,5,2,2,NA,4,8,0,2,NA,NA,5
cell_206,2,5,2,2,NA,4,8,NA,NA,5,10,5
cell_207,2,NA,2,0,5,4,8,0,3,5,NA,5
cell_208,2,NA,2,0,5,NA,NA,0,0,5,10,5
cell_209,2,NA,2,3,5,4,8,2,0,2,10,5
cell_210,2,0,2,0,5,4,8,NA,0,NA,10,5
cell_211,2,0,2,2,NA,4,8,0,2,NA,10,5
cell_212,2,8,NA,2,5,4,8,0,2,2,10,5
cell_213,2,0,2,0,NA,4,NA,NA,0,2,10,NA
cell_214,2,NA,NA,0,NA,NA,8,2,0,2,10,5
cell_215,2,NA,2,0,5,4,8,2,0,2,10,5
cell_216,2,9,2,0,5,4,8,2,NA,NA,10,5
cell_217,2,5,NA,3,5,4,8,2,0,0,NA,5
cell_218,2,5,2,NA,NA,4,8,NA,0,NA,10,5
cell_219,2,5,2,NA,5,4,NA,2,0,0,NA,5
cell_220,NA,5,NA,0,5,4,8,NA,NA,0,10,NA
cell_221,2,5,NA,0,5,4,8,2,0,0,NA,5
cell_222,2,5,2,NA,5,4,NA,2,0,0,10,5
cell_223,2,5,2,0,5,4,NA,2,0,0,10,5
cell_224,2,5,2,4,5,4,8,2,0,2,10,NA
cell_225,2,2,NA,3,NA,4,8,12,25,0,10,5
cell_226,2,2,2,NA,5,4,8,NA,25,0,10,NA
cell_227,2,NA,2,NA,5,4,8,12,25,5,10,5
cell_228,2,0,2,3,5,4,8,NA,NA,5,10,5
cell_229,2,4,2,3,5,4,8,NA,25,0,10,5
cell_230,2,4,2,3,NA,NA,NA,12,25,0,10,5
cell_231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5
cell_232,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5
cell_233,NA,4,2,3,5,4,8,12,25,NA,10,5
cell_234,2,4,2,3,5,4,8,12,NA,0,10,5
cell_235,2,NA,2,3,5,4,8,12,25,NA,10,5
cell_236,2,NA,2,3,5,4,8,NA,25,0,10,5
cell_237,2,5,2,NA,5,NA,8,12,25,NA,10,5
cell_238,2,2,2,NA,5,4,8,12,25,NA,10,NA
cell_239,NA,4,2,NA,5,4,8,12,25,3,10,NA
cell_240,2,0,NA,3,5,4,8,12,25,NA,10,5
cell_241,2,5,NA,3,NA,4,8,12,25,5,10,NA
cell_242,2,NA,NA,3,NA,4,8,12,25,2,10,5
cell_243,2,5,NA,3,5,4,8,NA,25,0,10,NA
cell_244,2,5,2,3,5,4,8,12,25,0,NA,5
cell_245,2,5,NA,3,5,NA,8,12,25,0,10,5
cell_246,2,5,2,3,5,4,8,NA,NA,NA,10,5
cell_247,2,5,2,NA,NA,4,8,12,25,0,10,5
cell_248,2,5,2,3,5,4,8,12,NA,2,10,5
cell_249,2,5,2,3,NA,4,8,12,25,2,10,5
cell_250,2,NA,2,NA,5,4,8,12,25,2,10,5
cell_251,2,5,2,3,5,4,8,12,25,0,10,5
cell_252,2,5,2,NA,5,4,8,12,25,0,10,5
cell_253,2,5,2,3,5,4,8,NA,25,0,10,NA
cell_254,2,5,2,3,5,4,8,12,NA,0,10,NA
cell_255,2,5,2,NA,NA,NA,8,12,25,0,10,5
cell_256,NA,NA,2,3,5,4,8,12,25,0,10,5
cell_257,2,43,2,NA,5,2,8,NA,0,NA,5,0
cell_258,NA,NA,NA,5,5,NA,NA,NA,2,61,NA,0
cell_259,2,43,2,5,5,2,8,2,5,61,0,2
cell_260,2,43,NA,5,5,2,8,2,0,61,NA,2
cell_261,2,43,2,5,5,NA,NA,2,0,61,9,4
cell_262,NA,43,NA,NA,5,2,8,2,0,NA,NA,4
cell_263,2,43,2,NA,5,2,8,2,4,NA,NA,5
cell_264,2,43,NA,5,5,2,8,NA,0,61,2,5
cell_265,2,5,2,5,5,2,8,2,NA,NA,2,NA
cell_266,2,NA,2,5,5,2,8,NA,10,NA,0,2
cell_267,2,23,2,5,NA,2,8,2,NA,61,NA,0
cell_268,NA,23,2,NA,5,2,8,NA,NA,NA,NA,NA
cell_269,2,NA,NA,5,NA,2,8,2,10,61,18,8
cell_270,2,NA,2,5,NA,2,8,2,10,NA,NA,8
cell_271,2,2,NA,5,5,2,8,2,10,61,18,8
cell_272,2,2,2,5,NA,2,8,2,10,61,18,8
cell_273,NA,3,2,5,5,2,8,NA,NA,61,2,2
cell_274,2,3,2,5,5,2,NA,2,2,61,2,2
cell_275,2,NA,NA,NA,NA,2,NA,2,2,61,2,2
cell_276,NA,NA,2,NA,5,2,8,NA,2,61,2,2
cell_277,2,0,2,5,5,NA,8,2,2,61,2,2
cell_278,2,NA,2,5,5,2,8,2,2,61,2,NA
cell_279,2,0,2,5,NA,2,NA,2,NA,61,2,2
cell_280,2,0,NA,NA,5,2,8,2,2,61,2,NA
cell_281,2,0,2,5,5,NA,NA,2,NA,61,2,0
cell_282,2,0,2,NA,5,2,8,2,NA,61,2,0
cell_283,2,2,2,5,5,2,8,NA,2,61,2,NA
cell_284,2,NA,NA,5,5,2,8,NA,0,61,2,0
cell_285,2,0,2,5,5,2,8,2,NA,NA,NA,NA
