,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,2,0,2,9,2,5,4,2,NA,2,0,5
cell_2,2,3,0,9,2,5,4,2,2,NA,0,NA
cell_3,2,3,0,9,NA,5,NA,2,2,2,NA,5
cell_4,NA,3,0,9,2,NA,NA,NA,2,2,0,NA
cell_5,2,2,5,NA,2,5,4,2,2,NA,NA,NA
cell_6,2,2,NA,NA,NA,5,4,NA,2,NA,NA,5
cell_7,NA,2,0,9,2,5,4,2,2,NA,0,5
cell_8,2,NA,0,NA,NA,5,4,2,2,2,0,5
cell_9,2,NA,2,9,NA,5,4,2,2,2,5,5
cell_10,NA,2,2,9,2,5,4,NA,2,NA,5,5
cell_11,NA,4,2,9,2,NA,4,2,NA,2,NA,5
cell_12,NA,0,2,9,2,5,4,2,2,NA,5,NA
cell_13,2,2,15,9,NA,NA,NA,NA,2,NA,NA,5
cell_14,2,0,15,9,2,5,NA,NA,NA,2,5,5
cell_15,2,0,0,9,2,5,4,2,2,2,NA,NA
cell_16,2,0,5,NA,2,5,4,2,2,NA,5,5
cell_17,NA,30,2,9,NA,5,4,2,2,2,2,5
cell_18,2,30,2,9,2,5,4,2,2,2,2,5
cell_19,NA,30,NA,9,NA,NA,4,NA,2,2,5,5
cell_20,2,NA,2,9,NA,5,4,2,2,2,0,5
cell_21,2,30,2,NA,2,5,4,2,2,2,0,NA
cell_22,2,30,2,9,2,5,4,2,2,2,8,5
cell_23,2,30,NA,9,2,5,NA,2,2,2,0,NA
cell_24,2,NA,2,9,2,5,4,2,2,NA,3,NA
cell_25,2,30,2,9,2,5,4,2,2,NA,0,5
cell_26,2,30,2,9,2,5,4,2,2,2,0,5
cell_27,2,NA,2,9,2,5,4,2,2,2,0,5
cell_28,2,30,2,9,2,5,4,2,2,2,NA,NA
cell_29,2,30,2,9,2,5,4,NA,2,2,0,5
cell_30,NA,30,2,NA,NA,5,NA,2,2,2,0,NA
cell_31,NA,30,2,9,NA,5,NA,2,2,NA,5,5
cell_32,2,NA,2,9,2,5,4,2,2,2,0,5
cell_33,2,2,0,NA,14,2,4,2,2,2,NA,5
cell_34,2,NA,0,9,NA,2,NA,2,2,NA,4,5
cell_35,2,0,0,9,14,2,NA,2,2,2,NA,5
cell_36,2,NA,0,9,14,2,4,2,2,2,4,5
cell_37,NA,0,24,9,14,2,4,NA,2,2,4,5
cell_38,2,0,24,NA,14,NA,4,2,2,2,NA,NA
cell_39,NA,0,24,9,14,2,4,2,NA,2,4,5
cell_40,2,0,24,9,14,2,NA,2,NA,2,4,5
cell_41,NA,0,2,NA,NA,NA,4,NA,NA,2,4,5
cell_42,NA,0,2,NA,NA,2,NA,NA,2,2,NA,NA
cell_43,2,2,3,9,14,2,4,NA,2,2,4,5
cell_44,2,0,3,9,14,2,4,2,2,2,4,5
cell_45,2,NA,4,9,14,NA,4,2,2,2,4,NA
cell_46,2,2,4,9,14,2,4,2,2,2,4,5
cell_47,2,2,4,NA,NA,2,4,2,2,NA,4,5
cell_48,2,NA,4,9,14,2,NA,NA,2,2,4,5
cell_49,2,2,12,9,14,2,NA,2,NA,2,4,5
cell_50,2,2,12,9,14,2,4,2,2,2,NA,5
cell_51,2,0,NA,9,14,2,4,2,2,2,4,5
cell_52,2,0,NA,9,14,2,4,NA,2,NA,NA,NA
cell_53,2,0,12,9,14,NA,4,2,2,2,4,5
cell_54,2,NA,12,9,14,2,4,2,2,2,4,5
cell_55,2,0,12,9,14,2,4,2,2,2,4,5
cell_56,2,0,12,9,14,2,4,2,2,2,4,NA
cell_57,2,5,NA,9,14,2,4,2,2,2,4,5
cell_58,2,5,12,NA,14,2,4,2,NA,2,4,5
cell_59,2,5,12,9,14,2,4,2,2,NA,4,5
cell_60,2,5,NA,9,14,2,4,2,2,NA,4,5
cell_61,2,5,12,NA,NA,NA,4,2,2,2,4,5
cell_62,2,NA,NA,9,NA,2,NA,2,2,2,4,5
cell_63,NA,5,12,9,NA,2,4,NA,NA,2,NA,5
cell_64,2,5,12,NA,NA,2,NA,2,2,2,4,5
cell_65,2,0,2,9,2,4,4,2,2,2,69,2
cell_66,2,0,2,9,2,4,4,NA,2,NA,69,2
cell_67,2,2,2,NA,2,4,4,2,2,2,NA,NA
