,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,0,2,2,19,4,4,0,2,0,8,0,0
cell_2,0,2,2,19,4,4,0,2,0,0,0,0
cell_3,0,2,2,19,4,4,3,0,0,5,0,0
cell_4,2,2,2,19,4,4,3,0,0,0,0,0
cell_5,0,2,2,19,4,4,2,0,2,2,0,0
cell_6,0,2,2,19,4,4,2,0,0,2,0,0
cell_7,0,2,2,19,4,4,2,0,0,0,0,0
cell_8,0,2,2,19,4,4,2,0,0,0,0,0
cell_9,0,2,2,19,2,0,0,0,0,7,0,0
cell_10,0,2,2,19,2,0,0,0,0,7,0,0
cell_11,3,2,2,19,2,5,0,0,2,7,5,0
cell_12,0,2,2,19,2,0,0,0,2,7,0,0
cell_13,0,2,2,19,2,0,0,0,0,7,5,0
cell_14,0,2,2,19,2,0,0,2,0,7,5,0
cell_15,0,2,2,19,2,0,0,3,0,7,5,0
cell_16,0,2,2,19,2,0,0,0,0,7,5,0
cell_17,0,2,2,19,0,5,2,0,2,0,0,0
cell_18,0,2,2,19,0,5,2,2,2,0,0,0
cell_19,0,2,2,19,0,5,2,0,2,0,0,0
cell_20,0,2,2,19,0,5,2,0,2,0,0,0
cell_21,0,0,2,19,21,5,2,0,0,0,3,0
cell_22,5,0,2,19,21,5,2,0,0,0,3,0
cell_23,0,0,2,19,21,5,2,0,0,0,0,0
cell_24,0,0,2,19,21,5,2,0,0,0,0,0
cell_25,0,2,2,19,0,5,0,0,7,0,0,2
cell_26,0,2,2,19,0,5,0,0,7,0,2,2
cell_27,0,2,2,19,12,5,0,0,7,2,0,2
cell_28,0,2,2,19,12,5,0,0,7,2,0,2
cell_29,0,2,2,19,0,5,0,0,46,0,0,2
cell_30,0,2,2,19,0,5,0,0,46,0,0,2
cell_31,0,2,2,19,0,5,8,2,46,0,0,2
cell_32,0,2,2,19,0,5,8,2,46,0,0,2
cell_33,5,0,2,19,2,3,2,2,28,0,0,5
cell_34,5,0,2,19,2,3,2,2,0,0,0,5
cell_35,5,0,2,19,2,3,2,2,0,0,0,5
cell_36,5,0,2,19,2,3,2,2,0,0,0,5
cell_37,0,0,2,19,0,3,2,2,0,2,0,5
