cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_109	2	2	2	2	3	-	-	3	2	3	5	2
cell_110	-	2	2	2	3	0	2	3	2	-	5	2
cell_111	-	-	-	2	3	0	0	3	2	3	5	-
cell_112	-	2	2	-	-	0	0	-	2	-	5	2
cell_113	2	-	2	2	3	2	2	3	2	-	5	2
cell_114	-	-	2	-	3	-	-	3	2	3	-	2
cell_115	2	-	-	2	-	2	2	3	2	3	5	2
cell_116	2	2	-	-	3	2	2	3	-	3	5	2
cell_117	2	2	2	2	3	2	4	3	2	3	5	-
cell_118	2	2	2	2	3	2	4	3	2	3	5	2
cell_119	2	2	2	2	3	2	4	3	-	3	5	2
cell_120	2	2	2	2	-	2	4	3	-	3	5	2
cell_121	-	2	2	2	-	2	14	3	2	3	5	2
cell_122	2	2	2	2	3	2	14	3	-	3	5	-
cell_123	2	2	2	2	-	2	14	3	2	3	-	2
cell_124	2	2	-	-	-	2	-	3	2	3	5	2
cell_125	2	2	-	2	3	2	14	3	2	3	-	2
cell_126	2	2	2	2	3	2	14	3	2	3	-	2
cell_127	2	2	2	2	3	2	14	3	2	-	5	2
cell_128	2	-	2	2	3	2	14	3	2	3	-	2
cell_129	2	2	2	3	3	2	64	3	-	3	5	5
cell_130	2	-	2	3	3	-	64	-	2	-	-	5
cell_131	2	2	2	3	3	2	64	3	2	3	5	5
cell_132	2	-	2	3	3	2	-	-	2	3	5	5
cell_133	2	2	2	3	-	-	64	-	2	3	5	5
cell_134	2	2	2	-	3	2	-	3	2	3	5	5
cell_135	2	2	-	3	-	2	64	3	2	-	5	5
cell_136	2	2	2	3	3	2	64	-	2	3	5	5
cell_137	2	2	2	-	-	2	64	3	2	3	-	5
cell_138	2	-	2	3	0	-	64	3	-	3	5	5
cell_139	-	2	2	3	24	2	64	3	2	3	5	5
cell_140	2	2	2	3	24	2	64	3	2	3	-	5
cell_141	-	2	-	3	0	2	-	3	2	3	5	5
cell_142	-	2	2	3	0	2	64	3	-	-	-	-
cell_143	2	2	2	3	0	2	64	3	-	-	5	-
cell_144	-	-	2	3	0	2	64	-	-	3	-	-
cell_145	2	-	2	3	12	2	64	3	-	3	5	5
cell_146	2	-	-	-	12	-	64	3	2	3	-	-
cell_147	-	-	2	3	12	2	64	3	-	-	5	5
cell_148	2	2	-	-	-	-	64	-	2	3	5	5
cell_149	-	-	2	3	12	2	64	-	2	3	5	5
cell_150	2	2	2	3	12	2	64	-	2	3	5	5
cell_151	2	2	-	3	-	2	64	3	2	3	-	-
cell_152	2	2	2	3	12	2	-	3	2	3	5	5
cell_153	2	2	-	-	-	2	64	3	2	3	-	-
cell_154	2	2	2	-	-	-	-	3	2	3	5	5
cell_155	-	2	2	3	12	2	-	3	-	3	5	5
cell_156	2	2	2	-	12	2	-	3	2	3	-	5
