cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_1	0	-	3	15	0	-	12	-	0	5	-	2
cell_2	0	2	3	15	0	-	12	0	0	5	3	2
cell_3	2	2	3	15	9	-	12	-	0	5	-	2
cell_4	2	2	3	15	-	3	12	0	0	5	3	-
cell_5	3	2	3	15	3	3	12	2	0	5	-	2
cell_6	-	2	3	15	-	3	12	2	0	5	-	2
cell_7	0	-	3	15	0	-	12	0	0	5	3	-
cell_8	0	-	3	15	-	3	12	-	2	5	3	2
cell_9	0	2	3	15	0	-	-	2	3	-	3	2
cell_10	0	2	3	15	0	3	12	2	3	5	3	2
cell_11	2	2	3	-	0	3	-	2	3	5	3	2
cell_12	-	2	3	15	3	3	-	2	3	-	3	2
cell_13	3	2	3	15	3	3	12	2	3	5	3	-
cell_14	-	2	3	-	2	-	12	2	3	5	3	2
cell_15	0	2	3	15	0	3	12	2	3	5	3	-
cell_16	0	2	3	15	0	3	-	2	3	-	3	-
cell_17	3	2	3	3	2	-	12	-	0	-	3	2
cell_18	3	-	3	0	2	3	-	0	0	5	3	2
cell_19	3	-	3	2	2	-	12	-	0	5	-	2
cell_20	3	2	3	2	-	3	12	-	-	5	-	2
cell_21	5	2	-	2	2	3	-	0	0	5	3	2
cell_22	5	2	3	2	2	3	-	0	-	5	3	2
cell_23	5	2	3	2	2	3	-	2	0	-	3	2
cell_24	-	2	3	0	-	3	12	2	0	-	3	2
cell_25	0	-	3	0	2	3	12	3	-	5	3	2
cell_26	0	2	3	0	2	3	12	3	-	5	3	2
cell_27	0	-	3	2	2	3	12	-	-	5	3	2
cell_28	2	2	3	-	2	3	12	3	3	5	-	2
cell_29	-	2	3	3	-	3	12	3	0	5	3	2
cell_30	2	2	3	-	2	3	12	-	-	5	3	2
cell_31	0	2	3	0	2	3	12	3	-	5	3	-
cell_32	0	2	3	0	2	-	12	3	0	-	-	2
cell_33	5	2	3	4	46	3	12	0	2	5	3	-
cell_34	5	-	3	4	46	3	12	0	2	5	3	2
cell_35	5	2	3	4	46	3	12	0	2	5	3	2
cell_36	5	2	3	4	-	3	-	-	2	5	3	2
cell_37	5	2	-	4	-	3	12	0	2	5	3	2
cell_38	-	2	-	4	46	3	12	0	-	5	3	2
cell_39	5	2	3	-	-	3	12	4	2	5	3	-
cell_40	5	2	3	4	-	-	12	0	2	5	3	2
