cell_id	S1	S2	S3	S4	S5	S6	S7	S8
cell_120	2	12	2	2	5	-	2	-
cell_121	2	12	2	2	-	5	2	4
cell_122	2	-	2	2	2	5	2	4
cell_123	2	12	2	2	0	5	2	4
cell_124	2	12	2	2	2	5	0	4
cell_125	2	12	-	2	0	-	3	4
cell_126	2	-	2	2	-	-	4	4
cell_127	-	12	-	2	-	5	-	4
cell_128	2	-	2	-	0	5	2	4
cell_129	2	2	2	2	2	-	6	4
cell_130	2	-	2	2	2	34	6	4
cell_131	2	2	-	2	-	34	6	4
cell_132	-	2	2	2	2	-	-	4
cell_133	2	2	2	-	-	-	-	-
cell_134	2	-	2	2	-	34	6	-
cell_135	-	2	2	2	2	34	6	4
cell_136	2	2	2	2	2	34	6	4
cell_137	-	2	2	2	-	34	6	4
cell_138	2	2	2	-	2	34	6	4
cell_139	2	-	2	2	2	34	6	4
cell_140	2	2	2	2	-	34	-	-
cell_141	2	2	2	-	-	34	6	4
cell_142	-	2	-	-	-	34	6	4
cell_143	-	2	2	2	2	34	6	4
cell_144	2	2	2	2	2	34	6	4
cell_145	2	2	-	-	2	34	6	-
cell_146	2	-	2	2	2	34	6	4
cell_147	2	-	2	2	2	34	-	4
cell_148	2	2	2	2	-	34	6	4
cell_149	2	-	2	2	2	-	6	4
cell_150	2	2	2	2	-	-	6	4
cell_151	2	2	2	2	2	34	6	-
cell_152	-	2	2	2	2	34	6	4
cell_153	2	2	2	2	-	34	6	-
cell_154	2	2	-	-	2	34	6	4
cell_155	2	-	-	2	2	34	-	4
cell_156	2	2	-	2	2	34	6	4
cell_157	-	2	-	2	2	34	6	-
cell_158	-	2	2	-	2	34	6	4
cell_159	2	2	2	2	-	34	6	4
cell_160	-	2	2	2	2	34	-	4
cell_161	2	5	2	2	2	34	-	4
cell_162	2	5	2	2	2	34	6	4
cell_163	2	5	2	2	2	34	6	4
cell_164	-	5	2	2	2	34	6	4
cell_165	2	5	-	2	-	34	6	4
cell_166	2	5	2	-	2	-	6	4
cell_167	2	5	2	2	2	34	6	4
cell_168	-	-	2	2	2	34	6	4
cell_169	2	0	2	2	-	-	6	4
cell_170	-	0	-	2	-	34	6	4
cell_171	2	0	2	2	-	-	6	4
cell_172	2	0	-	2	2	34	6	4
cell_173	-	0	2	2	2	-	6	4
cell_174	2	2	2	2	-	34	6	4
cell_175	-	0	2	-	2	34	-	4
cell_176	2	-	-	2	2	-	6	4
cell_177	-	4	-	-	2	34	-	-
cell_178	2	-	2	-	2	34	6	4
cell_179	2	4	2	2	2	34	6	4
cell_180	-	-	-	2	2	34	-	4
cell_181	2	0	2	2	-	-	6	4
cell_182	2	2	-	-	2	34	6	4
cell_183	2	-	2	2	2	34	6	4
cell_184	2	0	2	2	2	34	6	4
cell_185	-	4	2	2	2	34	6	4
cell_186	2	4	-	2	2	34	6	4
cell_187	2	-	-	2	-	34	6	4
cell_188	2	4	2	2	-	-	6	4
cell_189	2	-	2	2	2	34	-	-
cell_190	-	4	2	-	2	34	6	4
cell_191	2	-	2	-	2	34	6	4
cell_192	2	-	2	2	2	34	6	-
cell_193	2	-	-	2	12	2	2	4
cell_194	2	5	2	2	12	2	2	4
cell_195	2	5	-	2	2	2	-	4
cell_196	2	5	2	2	2	2	2	-
cell_197	2	5	2	2	3	-	2	4
cell_198	2	5	2	-	0	2	2	4
cell_199	2	5	2	2	-	-	2	4
cell_200	2	5	-	2	-	-	2	4
cell_201	2	5	-	2	0	2	2	4
cell_202	-	5	-	2	0	2	-	4
cell_203	2	-	2	2	0	2	-	4
cell_204	2	5	2	2	-	2	2	4
cell_205	-	5	2	2	0	2	2	4
cell_206	2	-	2	-	0	-	2	4
cell_207	-	5	-	2	0	2	2	4
cell_208	2	-	-	2	0	2	2	4
cell_209	2	5	2	2	2	2	2	4
cell_210	2	-	2	2	2	-	2	4
cell_211	2	5	2	2	2	2	2	4
cell_212	-	5	-	2	2	2	2	4
cell_213	2	-	2	2	0	2	-	-
cell_214	2	5	2	2	0	2	-	-
cell_215	2	-	2	2	0	-	2	4
cell_216	2	-	2	2	-	2	-	4
cell_217	2	5	2	2	8	2	2	4
cell_218	-	-	2	-	8	2	2	4
cell_219	2	-	2	2	8	2	2	4
cell_220	-	5	2	2	-	-	2	4
cell_221	2	5	-	-	3	2	2	4
cell_222	2	5	2	2	3	2	-	4
cell_223	2	-	-	-	3	-	2	4
cell_224	2	5	2	2	3	2	-	4
cell_225	2	5	-	2	4	-	-	4
cell_226	2	-	2	2	4	2	2	-
cell_227	2	-	-	2	5	2	2	4
cell_228	2	5	2	2	5	2	2	4
cell_229	-	5	2	2	0	-	2	4
cell_230	-	5	2	-	0	2	2	4
cell_231	2	5	2	2	2	2	2	-
cell_232	-	5	2	2	0	-	2	-
cell_233	2	5	2	-	0	2	2	4
cell_234	2	5	2	2	0	2	2	4
cell_235	2	5	2	2	0	2	2	-
cell_236	2	5	2	-	2	2	2	4
cell_237	2	5	2	2	3	2	2	4
cell_238	2	5	2	-	3	-	2	4
cell_239	-	-	2	2	-	-	2	4
cell_240	2	5	2	2	-	2	2	-
cell_241	2	-	2	2	2	2	2	4
cell_242	2	5	-	2	2	2	2	4
cell_243	2	5	2	-	2	2	2	4
cell_244	2	5	2	2	2	2	2	-
cell_245	2	5	2	2	-	2	-	-
cell_246	2	5	2	2	3	-	2	4
cell_247	2	5	2	2	-	2	2	-
cell_248	2	5	2	2	-	2	2	-
cell_249	2	5	2	-	5	2	2	4
cell_250	-	5	2	2	5	-	2	4
cell_251	-	5	2	-	-	2	2	4
cell_252	2	-	-	2	5	2	2	4
cell_253	2	5	2	2	-	2	2	4
cell_254	2	5	2	2	-	2	2	4
cell_255	2	5	2	2	4	2	-	4
cell_256	2	5	2	2	-	2	2	4
cell_257	2	12	2	8	-	2	2	4
cell_258	2	12	2	-	-	2	2	4
cell_259	-	12	2	8	-	2	-	4
cell_260	2	12	2	-	4	0	2	4
cell_261	2	12	2	8	-	0	-	4
cell_262	2	-	2	8	4	0	2	4
cell_263	2	12	2	-	4	0	2	-
cell_264	2	12	2	8	-	0	2	4
cell_265	2	12	-	-	4	0	2	4
cell_266	2	12	2	8	4	0	-	-
cell_267	-	12	2	8	4	0	2	4
cell_268	2	-	-	8	4	-	-	-
cell_269	2	12	2	-	4	5	2	4
cell_270	2	12	2	8	4	5	2	4
cell_271	2	-	2	8	4	-	2	4
cell_272	2	-	2	8	4	-	2	4
cell_273	-	12	2	8	4	2	-	4
cell_274	2	-	2	8	4	2	8	4
cell_275	2	12	2	-	4	2	-	4
cell_276	-	12	2	-	4	2	-	4
cell_277	2	12	2	8	4	2	8	4
cell_278	2	12	2	8	4	2	8	4
cell_279	2	12	2	8	4	2	8	4
cell_280	-	12	2	8	4	2	-	4
cell_281	2	12	2	8	-	2	2	4
cell_282	2	12	2	8	-	2	-	4
cell_283	2	12	-	8	4	2	4	4
cell_284	2	12	2	-	4	2	0	-
cell_285	2	12	2	8	4	-	0	4
cell_286	2	12	2	8	4	2	0	-
cell_287	2	12	2	8	4	-	3	4
cell_288	2	12	2	8	-	2	0	4
cell_289	-	5	2	8	-	-	3	4
cell_290	2	5	2	8	-	2	3	4
cell_291	2	-	2	8	4	0	3	4
cell_292	2	5	2	-	4	0	3	4
cell_293	-	-	-	8	4	7	3	4
cell_294	-	-	-	-	4	0	3	4
cell_295	2	5	-	-	4	2	3	-
cell_296	-	-	2	8	4	2	3	4
cell_297	2	5	2	8	4	0	3	4
cell_298	2	5	2	8	-	0	3	4
cell_299	2	5	2	8	4	2	3	4
cell_300	2	-	2	8	4	2	-	-
cell_301	2	5	-	8	-	0	3	4
cell_302	2	5	2	8	4	0	-	4
cell_303	2	-	2	8	4	5	3	-
cell_304	2	5	2	-	4	0	3	4
cell_305	-	3	2	-	4	2	-	4
cell_306	2	-	2	-	4	2	3	4
cell_307	2	2	2	8	-	2	3	4
cell_308	-	2	2	8	-	2	3	-
cell_309	2	0	2	8	4	2	3	4
cell_310	2	0	2	8	4	2	3	4
cell_311	-	0	2	-	4	-	3	4
cell_312	2	0	-	8	-	2	-	-
cell_313	-	2	2	8	4	0	0	-
cell_314	-	2	2	8	4	0	0	4
cell_315	-	-	2	-	4	0	0	4
cell_316	2	-	2	8	4	0	0	4
cell_317	-	0	2	8	4	2	0	4
cell_318	-	0	2	-	4	-	0	4
cell_319	2	0	2	8	4	0	0	4
cell_320	2	0	2	8	4	0	2	4
cell_321	2	2	2	8	2	-	5	4
cell_322	2	2	2	-	2	3	-	4
cell_323	2	2	2	8	2	3	0	4
cell_324	2	2	2	8	2	3	2	-
cell_325	-	-	2	8	2	-	-	-
cell_326	2	2	-	-	2	-	0	4
cell_327	-	2	-	8	2	3	0	4
cell_328	-	2	2	8	2	3	2	4
cell_329	2	2	-	8	2	3	-	4
cell_330	2	2	2	8	2	3	4	4
cell_331	2	2	2	-	2	-	0	4
cell_332	-	2	2	8	2	-	-	4
cell_333	2	2	2	8	2	3	0	4
cell_334	2	2	2	-	2	3	2	4
cell_335	2	2	-	8	-	-	0	4
cell_336	2	2	2	8	2	3	0	4
cell_337	2	-	2	-	5	3	2	4
cell_338	2	2	2	8	5	-	2	4
cell_339	2	2	2	-	-	3	2	4
cell_340	2	2	2	8	5	3	2	4
cell_341	2	-	2	-	5	3	2	4
cell_342	2	2	2	-	-	-	2	4
cell_343	2	-	2	8	-	3	-	4
cell_344	2	2	2	-	5	3	2	4
cell_345	2	2	2	8	8	3	2	4
cell_346	2	2	2	8	8	3	-	4
cell_347	2	2	-	8	8	3	2	4
cell_348	-	2	2	8	8	-	-	4
cell_349	2	-	-	8	-	3	2	4
cell_350	2	-	2	8	8	3	2	4
cell_351	-	2	2	8	8	3	2	4
cell_352	-	2	2	-	8	-	2	4
cell_353	2	2	2	8	-	-	-	-
cell_354	2	0	2	-	6	3	-	4
cell_355	-	2	2	8	6	3	26	4
cell_356	-	0	2	8	6	3	26	-
cell_357	2	0	2	8	6	3	-	4
cell_358	2	0	2	8	6	-	26	4
cell_359	2	-	2	-	-	3	26	-
cell_360	2	0	2	8	-	3	-	4
cell_361	2	2	2	8	6	3	26	4
cell_362	-	2	-	8	6	3	26	4
cell_363	2	-	2	8	6	-	26	4
cell_364	2	2	2	8	6	3	26	4
cell_365	2	2	2	8	6	3	26	4
cell_366	2	2	2	-	6	3	26	-
cell_367	2	2	2	8	-	-	-	-
cell_368	2	2	2	8	6	3	26	4
cell_369	2	11	-	-	0	3	26	4
cell_370	2	-	2	8	0	3	-	4
cell_371	2	-	2	8	0	3	26	4
cell_372	-	11	2	8	11	3	26	4
cell_373	-	11	2	8	4	3	26	4
cell_374	2	-	2	8	4	3	26	4
cell_375	2	11	2	8	4	3	-	4
cell_376	2	11	2	-	4	-	26	4
cell_377	2	11	2	8	2	3	-	4
cell_378	2	11	2	-	0	3	26	4
cell_379	2	11	2	8	-	3	26	4
cell_380	2	11	-	8	2	3	26	4
cell_381	2	-	2	8	0	3	26	-
cell_382	2	11	2	8	0	-	26	4
cell_383	2	11	2	-	-	3	26	4
cell_384	2	11	-	-	-	3	26	-
cell_385	2	-	2	8	2	5	4	4
cell_386	-	0	2	8	2	5	0	-
cell_387	-	0	2	8	2	5	2	4
cell_388	2	0	2	8	2	-	0	4
cell_389	2	2	2	8	0	5	-	4
cell_390	2	2	-	8	0	5	-	4
cell_391	-	5	2	8	2	5	-	4
cell_392	2	2	2	8	0	-	4	4
cell_393	2	0	2	8	12	-	0	-
cell_394	2	-	2	8	12	5	0	-
cell_395	2	3	2	8	12	5	0	4
cell_396	2	3	2	8	12	5	0	4
cell_397	-	-	2	-	12	5	-	4
cell_398	2	4	-	8	12	5	0	-
cell_399	2	2	2	8	12	-	2	4
cell_400	-	-	2	8	12	5	-	4
cell_401	2	2	2	8	3	-	-	4
cell_402	-	-	-	8	2	5	5	4
cell_403	-	2	2	8	2	5	-	-
cell_404	2	2	2	8	2	-	3	-
cell_405	-	2	-	-	0	5	2	-
cell_406	2	2	2	8	0	5	2	4
cell_407	2	-	2	8	-	5	-	4
cell_408	-	2	-	8	-	5	2	4
cell_409	2	16	2	8	10	5	2	-
cell_410	-	16	-	8	-	5	2	4
cell_411	-	16	2	8	10	5	2	4
cell_412	2	-	2	8	10	-	2	4
cell_413	2	16	-	-	2	-	-	4
cell_414	2	-	-	8	2	5	2	4
cell_415	2	16	2	8	2	5	-	-
cell_416	2	16	2	-	2	-	-	4
cell_417	2	0	-	8	5	5	-	4
cell_418	2	-	-	-	5	5	-	4
cell_419	2	0	2	8	-	5	2	4
cell_420	2	13	2	8	5	5	2	4
cell_421	2	0	2	8	5	-	-	4
cell_422	-	0	-	8	5	5	2	4
cell_423	2	0	-	8	5	5	2	4
cell_424	2	0	-	8	5	5	-	4
cell_425	2	-	-	8	0	-	2	4
cell_426	2	2	2	8	2	-	-	4
cell_427	-	2	2	-	3	5	2	4
cell_428	-	2	-	8	0	5	2	4
cell_429	2	-	2	8	2	5	2	4
cell_430	2	0	-	8	2	-	2	4
cell_431	2	0	2	8	2	5	2	4
cell_432	2	-	2	8	2	5	2	4
cell_433	-	4	2	-	-	5	-	4
cell_434	2	-	2	-	2	5	0	4
cell_435	-	-	-	8	2	5	2	-
cell_436	-	0	2	8	2	-	2	4
cell_437	2	-	2	8	2	5	-	4
cell_438	-	0	2	8	2	5	2	-
cell_439	2	0	2	8	-	5	2	4
cell_440	2	0	2	8	2	5	2	-
cell_441	2	3	2	8	2	5	4	4
cell_442	2	3	2	8	2	5	-	4
cell_443	-	3	2	-	2	5	-	4
cell_444	2	3	-	8	2	5	2	4
cell_445	2	3	2	8	2	5	5	-
cell_446	2	-	2	8	2	5	-	4
cell_447	2	3	2	8	2	5	-	-
cell_448	2	3	2	8	2	5	0	4
cell_449	2	-	2	8	2	0	5	4
cell_450	-	2	2	-	2	-	5	-
cell_451	2	2	2	-	2	2	5	4
cell_452	2	-	2	-	-	2	-	4
cell_453	2	2	2	8	2	-	5	4
cell_454	2	-	-	8	2	3	5	4
cell_455	2	-	2	-	2	0	5	4
cell_456	-	2	2	8	2	-	5	4
cell_457	2	2	2	8	2	5	3	4
cell_458	2	-	2	-	2	3	0	4
cell_459	-	2	2	8	2	0	2	4
cell_460	2	2	2	8	2	-	2	4
cell_461	2	2	-	8	2	-	0	4
cell_462	2	2	2	8	2	0	2	4
cell_463	2	-	2	8	2	0	4	4
cell_464	2	2	2	8	2	0	0	4
cell_465	-	2	2	8	2	0	2	4
cell_466	2	2	2	-	2	0	-	4
cell_467	2	2	2	8	2	2	0	4
cell_468	2	2	2	8	2	2	4	4
cell_469	2	2	-	8	2	-	5	4
cell_470	2	2	2	8	-	0	0	4
cell_471	2	2	-	-	2	-	0	4
cell_472	2	-	2	8	2	0	-	4
cell_473	2	2	2	8	2	2	0	-
cell_474	-	2	-	-	2	2	-	4
cell_475	2	2	-	8	2	0	5	-
cell_476	2	2	2	8	2	-	-	4
cell_477	-	2	2	8	2	-	-	4
cell_478	-	-	2	8	2	0	5	4
cell_479	-	2	-	8	-	0	0	4
cell_480	2	2	2	8	2	0	0	-
cell_481	2	2	-	8	2	-	2	4
cell_482	2	2	-	8	2	0	2	4
cell_483	-	2	-	8	2	5	2	4
cell_484	2	2	2	8	2	-	2	4
cell_485	2	2	2	-	2	3	2	4
cell_486	2	2	2	8	2	3	0	4
cell_487	2	2	2	8	-	3	-	4
cell_488	-	2	2	8	2	-	0	4
cell_489	2	2	2	8	-	0	0	4
cell_490	2	2	2	8	2	0	-	4
cell_491	2	-	2	8	2	-	108	4
cell_492	2	2	2	-	-	0	0	4
cell_493	2	2	2	8	-	2	4	4
cell_494	-	2	2	8	2	2	0	4
cell_495	2	2	2	8	2	2	2	4
cell_496	2	2	2	8	2	2	2	4
cell_497	-	2	2	8	2	2	-	-
cell_498	2	2	2	8	2	2	-	-
cell_499	2	2	2	8	-	0	-	-
cell_500	2	2	2	8	2	0	0	4
cell_501	2	2	2	8	2	5	3	4
cell_502	2	2	2	8	2	5	0	4
cell_503	-	-	-	8	2	0	-	4
cell_504	2	2	-	8	2	2	0	4
cell_505	2	2	2	8	2	2	-	4
cell_506	2	2	2	-	2	2	-	4
cell_507	2	-	-	8	2	2	2	4
cell_508	2	-	2	8	2	2	2	4
cell_509	-	-	-	8	2	2	2	4
cell_510	-	2	2	8	2	2	2	4
cell_511	2	-	-	8	-	2	2	4
cell_512	-	2	2	-	2	2	2	4
cell_513	2	2	2	-	2	0	6	2
cell_514	2	2	2	12	2	-	-	2
cell_515	2	2	-	12	2	-	6	2
cell_516	2	2	2	12	-	0	6	-
cell_517	2	2	2	-	-	3	6	2
cell_518	2	2	2	12	2	3	-	2
cell_519	-	2	2	12	-	0	6	-
cell_520	-	2	2	12	2	0	6	2
cell_521	-	2	2	-	2	2	-	2
cell_522	2	2	2	12	-	-	6	2
cell_523	2	2	-	12	2	5	6	2
cell_524	2	2	2	12	2	5	6	2
cell_525	2	2	-	-	2	0	6	2
cell_526	2	2	2	12	-	0	-	2
cell_527	-	-	2	12	-	-	6	2
cell_528	2	2	2	12	2	0	6	2
cell_529	2	2	-	12	2	0	6	2
cell_530	2	-	-	12	2	-	6	2
cell_531	2	2	2	12	2	2	-	2
cell_532	2	2	2	12	2	-	6	2
cell_533	2	-	2	12	2	0	-	2
cell_534	-	-	2	12	-	0	6	2
cell_535	2	2	2	12	2	-	6	2
cell_536	2	2	2	12	2	0	6	2
cell_537	2	2	2	12	2	0	6	2
cell_538	2	2	2	12	2	0	-	-
cell_539	2	-	-	12	2	0	6	2
cell_540	2	-	2	12	2	5	-	2
cell_541	2	2	2	-	2	0	6	2
cell_542	2	-	2	12	2	0	6	-
cell_543	2	2	2	12	2	0	6	-
cell_544	2	2	2	12	2	0	6	2
cell_545	2	2	2	3	-	2	2	2
cell_546	2	2	-	3	-	-	2	2
cell_547	2	2	2	3	2	2	2	-
cell_548	2	2	2	3	2	2	2	2
cell_549	2	2	-	3	2	-	2	-
cell_550	2	-	2	3	2	2	2	2
cell_551	2	2	2	3	2	-	2	2
cell_552	-	2	2	3	-	-	2	2
cell_553	2	2	2	0	2	2	-	-
cell_554	2	2	2	0	2	-	2	2
cell_555	2	-	2	3	-	-	2	2
cell_556	2	2	2	42	2	2	2	2
cell_557	2	2	2	0	-	2	2	2
cell_558	-	2	-	0	-	2	2	2
cell_559	2	2	2	0	2	2	-	2
cell_560	2	2	2	-	2	2	2	2
cell_561	2	-	2	-	2	2	2	-
cell_562	-	2	2	0	2	2	2	2
cell_563	-	2	2	-	2	2	2	2
cell_564	2	2	2	20	2	2	2	2
cell_565	2	2	2	0	2	2	-	-
cell_566	2	2	2	-	2	2	3	2
cell_567	2	2	2	-	-	2	3	2
cell_568	2	2	2	0	-	2	3	-
cell_569	2	2	-	0	-	2	5	2
cell_570	-	2	2	0	2	-	-	2
cell_571	2	-	-	0	2	2	5	2
cell_572	2	2	2	0	2	-	5	2
cell_573	2	2	2	19	2	2	-	2
cell_574	-	2	2	19	2	2	4	2
cell_575	2	2	-	0	2	2	0	2
cell_576	-	-	2	2	2	2	0	2
cell_577	0	12	2	2	2	2	0	5
cell_578	3	-	2	2	2	2	0	5
cell_579	0	12	2	2	-	2	0	-
cell_580	0	-	2	2	2	2	0	5
cell_581	-	-	-	2	2	2	0	5
cell_582	0	-	2	2	2	2	-	5
cell_583	3	-	-	-	2	2	0	5
cell_584	-	12	2	2	-	-	0	5
cell_585	0	12	2	2	2	2	0	5
cell_586	-	12	2	2	2	2	0	5
cell_587	0	12	2	2	2	2	0	5
cell_588	0	12	2	2	-	2	0	5
cell_589	0	12	2	2	2	2	0	5
cell_590	-	12	2	-	-	2	0	5
