,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,2,NA,0,2,11,2,NA,0,15,2,11,5
cell_2,2,4,NA,2,11,NA,0,NA,15,2,11,5
cell_3,2,4,NA,NA,11,2,0,0,15,2,11,0
cell_4,2,4,4,2,NA,2,0,2,15,2,11,0
cell_5,NA,4,NA,2,NA,2,0,13,15,2,NA,0
cell_6,NA,NA,0,2,11,2,0,13,15,2,11,0
cell_7,2,4,NA,NA,NA,2,10,2,15,2,11,0
cell_8,2,NA,NA,2,11,NA,10,2,NA,2,11,0
cell_9,2,4,0,2,11,2,0,0,15,2,11,0
cell_10,2,4,0,2,11,NA,NA,0,15,2,NA,0
cell_11,NA,4,0,2,11,2,0,5,15,2,11,2
cell_12,2,NA,0,2,11,2,0,NA,15,2,NA,0
cell_13,2,4,0,NA,11,2,0,NA,15,2,NA,3
cell_14,2,4,0,2,11,2,2,8,NA,2,11,3
cell_15,2,4,5,2,11,2,NA,8,15,2,11,3
cell_16,2,NA,0,NA,11,2,5,NA,15,2,11,3
cell_17,2,4,0,5,11,2,5,2,15,NA,11,2
cell_18,2,4,0,5,11,2,5,2,15,2,11,2
cell_19,2,4,0,NA,11,2,5,2,NA,2,11,2
cell_20,2,4,0,5,NA,2,5,2,15,2,NA,2
cell_21,2,4,3,5,NA,NA,0,2,15,2,11,NA
cell_22,2,NA,3,NA,11,NA,2,2,15,2,11,2
cell_23,2,4,0,5,11,NA,0,NA,NA,2,11,0
cell_24,NA,4,0,5,11,2,0,NA,15,2,11,2
cell_25,2,4,0,5,11,2,0,2,15,2,11,0
cell_26,2,NA,0,5,11,2,0,2,15,2,11,0
cell_27,2,4,NA,5,11,2,0,NA,15,2,NA,NA
cell_28,2,4,0,5,11,2,0,2,15,2,11,0
cell_29,2,4,3,5,11,2,NA,2,15,2,11,NA
cell_30,2,4,3,5,11,2,2,2,15,2,11,0
cell_31,2,NA,3,5,11,2,2,2,15,2,NA,0
cell_32,2,4,NA,5,NA,2,2,2,NA,2,11,0
cell_33,0,NA,0,NA,11,2,0,NA,9,2,11,NA
cell_34,0,NA,0,2,NA,NA,0,0,9,2,11,5
cell_35,2,4,NA,2,11,2,2,0,9,NA,NA,5
cell_36,0,4,0,NA,11,2,2,51,9,2,11,5
cell_37,2,NA,0,0,11,2,NA,2,NA,NA,11,5
cell_38,2,NA,0,0,11,NA,8,2,9,2,11,5
cell_39,NA,4,0,2,11,2,NA,3,NA,2,11,5
cell_40,2,4,0,2,11,2,8,3,9,2,NA,5
cell_41,0,4,NA,5,11,2,5,5,0,2,11,34
cell_42,0,4,0,5,NA,NA,NA,5,0,2,11,0
cell_43,0,4,0,0,11,2,5,NA,0,2,11,0
cell_44,0,4,0,NA,11,2,5,5,NA,NA,11,0
cell_45,0,4,0,4,11,2,0,5,0,2,NA,5
cell_46,0,4,0,4,11,2,0,5,0,NA,NA,5
cell_47,2,4,0,0,NA,2,0,5,0,NA,11,8
cell_48,2,NA,0,NA,11,2,0,5,NA,2,11,NA
cell_49,NA,4,0,5,11,2,4,0,2,2,11,2
cell_50,2,4,0,5,11,NA,4,0,0,2,NA,2
