cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_109	-	-	2	2	2	5	3	2	2	4	2	-
cell_110	8	2	2	2	2	0	3	2	2	-	2	4
cell_111	0	2	4	2	2	2	3	2	2	-	2	-
cell_112	0	-	4	2	-	-	3	2	-	-	2	4
cell_113	0	2	-	0	0	-	-	2	-	-	2	-
cell_114	5	2	0	0	0	0	3	-	2	4	2	4
cell_115	3	2	5	-	-	0	3	2	-	4	-	4
cell_116	2	-	5	0	43	0	3	-	2	4	-	4
cell_117	0	2	0	0	2	2	3	-	2	4	2	4
cell_118	0	2	-	-	-	-	3	2	2	4	-	-
cell_119	2	-	8	0	0	0	3	-	2	4	2	4
cell_120	-	2	0	0	-	0	3	-	2	4	2	4
cell_121	0	2	-	5	0	0	-	-	2	4	-	-
cell_122	0	2	2	55	0	-	3	-	2	4	2	4
cell_123	0	2	2	4	2	3	3	2	2	4	2	4
cell_124	0	2	2	4	0	3	3	2	2	-	2	4
cell_125	0	2	-	-	2	-	3	-	-	4	2	4
cell_126	-	2	2	5	2	0	3	2	2	4	2	4
cell_127	2	2	0	-	-	0	3	2	2	4	-	4
cell_128	-	-	-	5	0	0	3	2	2	4	2	4
cell_129	-	2	-	4	-	0	2	2	2	-	0	4
cell_130	5	-	5	4	-	0	2	-	-	4	0	4
cell_131	-	2	5	4	5	9	2	2	2	4	0	4
cell_132	5	-	5	4	108	9	-	2	2	-	0	4
cell_133	5	2	5	4	0	-	-	2	2	4	2	4
cell_134	5	2	5	4	0	0	2	-	2	4	2	-
cell_135	5	2	5	4	-	-	2	2	2	-	-	4
cell_136	-	2	-	4	12	2	2	2	2	4	2	-
cell_137	0	2	0	4	0	0	2	2	2	4	-	4
cell_138	0	2	0	4	0	0	-	-	2	4	2	-
cell_139	0	2	0	4	2	0	2	2	-	4	2	4
cell_140	0	2	2	4	2	0	2	2	-	4	2	-
cell_141	0	2	-	4	2	0	2	2	2	4	2	4
cell_142	-	2	0	4	2	0	2	2	-	-	2	4
cell_143	0	-	6	4	2	0	2	2	2	4	-	4
cell_144	0	2	6	4	2	-	-	2	-	4	2	4
cell_145	0	2	9	4	0	8	2	2	2	-	3	4
cell_146	-	2	-	4	-	0	2	2	2	4	-	4
cell_147	0	2	9	4	0	0	-	2	2	-	0	-
cell_148	0	2	9	4	0	0	-	-	2	-	0	4
cell_149	0	2	9	4	-	2	2	2	2	4	0	4
cell_150	2	-	9	4	2	2	-	-	2	-	0	4
cell_151	4	2	9	-	0	2	2	2	2	4	3	4
cell_152	4	-	9	4	-	2	2	2	2	-	-	4
cell_153	3	2	9	4	3	0	5	-	-	4	0	4
cell_154	3	2	-	4	3	-	2	2	2	4	-	4
cell_155	-	2	9	4	0	3	0	2	2	4	2	4
cell_156	3	-	9	4	-	3	-	2	2	-	0	4
cell_157	0	2	9	-	-	5	-	2	2	4	0	4
cell_158	-	2	-	-	4	5	2	2	-	4	0	4
cell_159	0	-	9	4	4	2	2	2	2	4	0	4
cell_160	0	2	-	-	-	2	2	2	-	4	-	4
cell_161	2	-	0	4	2	0	-	2	2	4	-	4
cell_162	2	2	0	4	0	0	-	-	2	4	2	4
cell_163	2	2	-	4	5	21	0	2	2	4	-	4
cell_164	2	2	0	-	5	-	0	-	2	4	2	-
