cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,4,37,-,2,-,9,2,2,-,-,2,3
cell_2,4,37,3,2,12,-,2,2,-,5,2,3
cell_3,4,37,-,2,-,-,-,2,5,5,2,3
cell_4,4,37,3,2,12,9,2,-,5,5,2,3
cell_5,4,-,3,2,12,9,2,2,5,5,-,3
cell_6,4,37,3,2,-,9,2,2,5,5,2,3
cell_7,4,37,-,2,12,9,-,-,5,5,2,3
cell_8,4,37,3,2,-,9,2,2,5,-,2,-
cell_9,4,37,3,-,12,9,2,2,5,5,3,-
cell_10,4,37,3,-,12,9,2,-,-,5,-,3
cell_11,4,37,3,0,-,9,2,2,5,5,-,-
cell_12,4,37,-,0,12,9,-,2,5,5,2,3
cell_13,4,37,3,-,12,9,2,2,5,5,2,3
cell_14,4,37,3,2,12,9,2,2,5,5,2,-
cell_15,4,37,3,2,-,9,2,2,5,5,2,3
cell_16,4,37,3,-,-,9,2,2,5,-,2,3
cell_17,4,37,3,-,12,9,2,-,5,-,4,3
cell_18,4,37,3,2,12,9,-,-,-,5,4,3
cell_19,4,37,3,2,12,9,-,-,5,5,4,3
cell_20,4,37,3,-,12,-,2,2,5,5,4,3
cell_21,4,37,3,0,12,9,2,2,5,5,4,-
cell_22,4,37,3,0,12,9,-,2,5,5,4,3
cell_23,4,37,3,2,12,9,2,2,5,5,-,3
cell_24,4,37,3,5,12,9,-,2,5,5,-,-
cell_25,4,37,3,5,12,9,2,-,-,-,4,3
cell_26,4,37,-,5,12,9,2,2,5,5,4,3
cell_27,4,37,3,5,-,9,2,2,5,5,4,3
cell_28,-,37,3,5,12,9,2,2,5,5,4,-
cell_29,4,37,3,5,12,9,2,2,5,-,-,-
cell_30,4,37,3,5,12,9,2,2,-,5,-,3
cell_31,-,37,3,-,12,9,2,2,5,-,4,3
cell_32,-,37,-,5,12,-,2,-,5,5,4,3
cell_33,4,-,-,3,-,9,2,2,-,5,0,3
cell_34,4,-,3,-,12,-,2,2,5,5,3,3
cell_35,-,3,3,3,12,-,2,2,5,5,-,-
cell_36,4,-,3,3,12,9,2,2,5,5,0,3
cell_37,4,3,3,3,12,9,2,-,5,-,2,3
cell_38,4,3,-,-,12,9,2,2,5,5,2,3
cell_39,-,3,-,-,12,9,-,2,5,5,2,3
cell_40,4,3,3,3,12,-,2,2,5,5,2,-
cell_41,4,0,-,0,12,-,2,2,5,5,0,3
cell_42,4,3,3,-,12,-,2,-,5,5,0,3
cell_43,4,-,-,0,12,9,2,2,5,5,0,3
cell_44,-,-,3,3,12,9,-,-,-,5,0,3
cell_45,4,0,-,11,-,9,2,2,5,5,2,3
cell_46,4,2,3,11,12,9,-,2,5,5,2,3
cell_47,4,2,3,20,-,9,2,-,-,-,0,3
cell_48,4,2,3,0,12,-,2,2,5,5,0,-
cell_49,4,0,3,6,12,9,2,2,-,5,0,3
cell_50,4,0,3,6,12,9,2,2,5,5,0,3
cell_51,-,0,3,6,12,9,2,2,-,5,5,3
cell_52,-,-,-,6,12,-,2,2,5,5,0,3
