,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,2,2,2,0,5,2,5,3,NA,2,5,2
cell_2,2,2,0,0,5,2,5,3,9,NA,5,NA
cell_3,2,2,0,0,2,2,NA,3,9,NA,5,2
cell_4,NA,2,NA,NA,2,2,5,3,NA,2,5,2
cell_5,2,2,0,NA,5,2,5,NA,9,2,5,NA
cell_6,NA,2,0,0,5,2,5,3,NA,2,5,0
cell_7,NA,NA,NA,NA,5,2,5,NA,9,2,5,0
cell_8,2,NA,NA,NA,5,2,5,NA,NA,2,5,0
cell_9,2,2,2,NA,NA,2,5,NA,9,2,5,NA
cell_10,2,2,2,2,NA,2,NA,3,9,2,5,5
cell_11,NA,2,2,2,2,2,5,3,NA,2,5,5
cell_12,NA,2,2,2,NA,2,5,3,9,2,NA,5
cell_13,2,2,2,2,2,2,NA,3,9,2,5,NA
cell_14,2,2,2,2,2,2,5,3,9,2,5,NA
cell_15,2,2,2,2,NA,NA,NA,3,NA,2,5,5
cell_16,2,NA,NA,2,2,2,5,NA,9,2,NA,5
cell_17,2,2,5,NA,NA,2,5,3,9,2,5,2
cell_18,2,2,5,2,10,2,5,3,NA,2,NA,2
cell_19,2,2,5,NA,5,2,5,3,9,2,5,2
cell_20,2,2,NA,2,0,2,5,3,9,2,NA,2
cell_21,2,NA,5,2,8,2,5,3,9,2,5,0
cell_22,NA,2,NA,NA,8,2,5,3,9,2,5,2
cell_23,2,2,5,2,8,2,5,3,9,2,NA,2
cell_24,2,2,5,NA,8,NA,5,NA,9,NA,NA,0
cell_25,2,2,0,56,4,2,5,3,9,2,5,3
cell_26,2,2,2,56,0,2,NA,3,9,2,5,3
cell_27,2,2,2,0,0,2,5,3,9,2,NA,3
cell_28,2,NA,2,5,0,2,NA,3,9,2,5,3
cell_29,2,NA,0,0,2,2,5,3,9,2,NA,5
cell_30,2,2,0,NA,2,2,5,NA,9,2,5,5
cell_31,2,2,2,4,2,2,5,3,9,2,5,5
cell_32,2,2,NA,4,2,2,5,3,9,2,NA,5
cell_33,NA,2,3,2,2,2,5,NA,9,NA,5,2
cell_34,NA,NA,3,NA,0,2,5,3,NA,2,NA,0
cell_35,2,2,3,2,0,2,NA,NA,9,NA,5,0
cell_36,2,2,3,NA,0,NA,5,NA,9,2,5,0
cell_37,2,NA,3,2,0,2,5,3,9,NA,5,NA
cell_38,2,2,3,2,3,2,5,3,9,2,5,NA
cell_39,2,2,NA,2,0,2,5,3,9,2,5,0
cell_40,NA,2,3,2,0,2,5,3,9,2,NA,2
cell_41,2,NA,NA,2,2,NA,5,3,9,NA,NA,3
cell_42,2,NA,NA,NA,2,2,5,NA,9,NA,5,NA
cell_43,NA,2,3,2,2,2,5,3,9,2,5,3
cell_44,NA,NA,3,2,2,2,5,NA,9,2,5,3
cell_45,2,2,3,2,2,2,5,3,9,NA,NA,2
cell_46,2,2,3,NA,2,2,NA,3,9,2,5,2
cell_47,2,2,3,2,2,NA,5,3,9,2,5,NA
cell_48,2,2,3,2,2,2,5,3,9,2,5,2
cell_49,2,2,NA,2,2,2,5,3,9,2,5,0
cell_50,2,2,2,2,2,2,5,3,9,NA,5,5
cell_51,2,NA,2,2,2,2,5,3,9,2,NA,2
cell_52,2,2,0,2,2,2,5,3,9,2,5,0
