,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,NA,6,0,NA,3,2,2,0,10,NA,5,2
cell_2,2,6,0,2,3,2,2,0,10,0,5,2
cell_3,2,6,15,2,3,NA,2,0,NA,3,5,2
cell_4,NA,6,15,2,3,NA,2,NA,10,0,5,2
cell_5,2,6,15,2,3,2,NA,NA,10,NA,5,2
cell_6,NA,6,15,2,3,NA,NA,4,10,2,5,2
cell_7,2,NA,NA,2,NA,2,2,3,10,0,NA,NA
cell_8,2,6,0,2,3,NA,2,NA,10,2,5,2
cell_9,2,6,2,2,NA,2,2,2,10,5,NA,2
cell_10,2,6,NA,2,NA,2,NA,0,NA,5,5,2
cell_11,2,6,2,2,3,NA,2,NA,NA,NA,5,NA
cell_12,2,6,2,2,3,2,2,0,10,5,5,2
cell_13,2,6,2,2,3,NA,NA,0,10,5,5,2
cell_14,2,6,2,NA,3,2,NA,0,10,5,NA,2
cell_15,2,6,2,2,3,NA,2,10,10,5,5,2
cell_16,NA,6,2,NA,3,2,2,NA,10,5,5,2
cell_17,2,6,2,2,NA,0,2,NA,NA,3,0,2
cell_18,2,6,2,2,NA,0,2,8,10,3,0,2
cell_19,2,6,2,2,3,NA,2,8,10,NA,0,NA
cell_20,2,6,NA,2,3,0,2,8,10,2,0,2
cell_21,2,6,NA,NA,3,NA,2,0,10,2,NA,2
cell_22,2,6,2,2,3,12,2,2,10,2,5,2
cell_23,NA,6,2,2,3,0,2,5,10,NA,0,NA
cell_24,2,6,2,2,3,0,2,5,10,NA,2,2
cell_25,2,6,NA,2,3,NA,2,0,10,0,10,2
cell_26,2,6,0,2,3,0,2,0,10,NA,NA,2
cell_27,NA,6,NA,NA,3,NA,NA,3,10,0,0,NA
cell_28,2,6,0,2,3,0,2,0,NA,5,NA,2
cell_29,2,6,3,NA,3,NA,2,NA,NA,0,0,2
cell_30,2,6,3,2,3,0,2,0,10,0,NA,2
cell_31,NA,6,NA,2,3,0,2,0,10,0,0,NA
cell_32,2,6,3,2,3,NA,2,NA,10,0,NA,2
cell_33,2,NA,NA,NA,3,0,2,2,10,NA,11,2
cell_34,2,40,NA,2,3,0,NA,2,10,8,NA,2
cell_35,NA,2,NA,2,3,0,2,NA,10,NA,11,2
cell_36,2,2,2,2,NA,0,2,2,10,0,11,2
cell_37,2,0,NA,2,NA,0,2,2,NA,3,11,2
cell_38,2,NA,0,2,3,0,2,NA,10,3,11,2
cell_39,2,0,0,2,NA,NA,2,2,10,3,11,2
cell_40,2,0,0,2,3,0,NA,2,10,3,11,2
cell_41,2,2,4,2,3,2,NA,94,10,0,NA,2
cell_42,2,2,4,NA,3,0,2,94,10,0,11,2
cell_43,2,3,4,2,3,8,2,94,NA,2,11,NA
cell_44,2,3,4,2,3,8,2,94,10,2,11,2
cell_45,2,0,4,2,3,NA,2,94,10,0,NA,2
cell_46,2,0,4,2,3,0,NA,94,10,0,11,2
cell_47,2,NA,NA,2,3,0,2,94,10,NA,11,2
cell_48,NA,0,4,2,3,0,2,94,10,3,11,NA
cell_49,2,2,NA,2,3,14,2,2,10,5,11,2
cell_50,2,2,2,2,3,0,2,NA,10,5,11,2
cell_51,2,NA,2,2,3,2,NA,NA,10,5,11,2
cell_52,2,2,2,2,3,2,2,2,NA,5,11,2
cell_53,2,2,2,NA,3,4,2,2,10,5,11,2
cell_54,NA,NA,NA,NA,NA,2,2,NA,10,5,11,2
cell_55,NA,NA,NA,2,3,4,2,NA,10,5,11,2
cell_56,2,2,NA,NA,3,0,2,NA,10,5,11,NA
cell_57,2,2,2,2,3,2,2,2,NA,5,11,2
cell_58,2,2,2,2,NA,2,2,2,10,5,11,2
cell_59,2,NA,2,2,3,2,NA,2,10,5,NA,2
cell_60,2,2,2,2,3,2,2,2,10,5,11,2
cell_61,NA,NA,2,2,3,NA,2,2,NA,5,11,NA
cell_62,2,2,2,NA,3,2,2,2,10,5,11,2
cell_63,2,NA,NA,2,3,2,NA,2,10,5,11,2
cell_64,2,2,2,NA,NA,2,2,2,10,5,11,2
cell_65,2,NA,NA,2,3,NA,2,NA,10,2,6,2
cell_66,2,5,3,2,3,2,2,NA,NA,2,NA,NA
cell_67,2,NA,0,NA,3,2,2,2,10,0,NA,2
cell_68,2,NA,0,2,3,2,2,0,NA,0,NA,NA
cell_69,NA,0,2,2,3,NA,2,0,10,NA,NA,2
cell_70,2,0,2,2,3,2,NA,0,10,NA,6,2
cell_71,NA,0,2,2,3,2,NA,0,10,2,6,2
cell_72,2,0,2,2,NA,2,2,0,10,2,6,2
cell_73,2,NA,NA,NA,3,6,2,4,10,0,2,NA
cell_74,NA,0,0,2,3,6,2,4,NA,0,8,2
cell_75,NA,2,5,2,NA,6,2,4,10,0,0,2
cell_76,2,2,5,2,3,6,2,4,10,NA,0,2
cell_77,2,NA,NA,2,3,6,2,4,10,NA,3,NA
cell_78,2,0,2,2,3,6,2,4,10,12,3,2
cell_79,NA,0,0,2,3,6,NA,NA,10,12,NA,2
cell_80,2,NA,0,2,3,6,2,4,10,12,0,NA
cell_81,2,NA,2,2,3,5,2,0,10,2,8,2
cell_82,2,2,2,2,3,5,NA,0,10,2,8,2
cell_83,2,2,2,NA,3,0,2,5,NA,2,8,2
cell_84,NA,2,2,NA,3,0,2,5,10,2,8,2
cell_85,NA,3,0,2,3,0,2,0,10,2,8,2
cell_86,2,0,0,2,3,2,2,0,10,2,8,2
cell_87,2,NA,2,2,3,NA,NA,0,10,NA,8,2
cell_88,2,0,NA,NA,3,0,NA,0,10,2,8,2
cell_89,2,0,NA,NA,NA,NA,NA,NA,10,NA,8,2
cell_90,NA,0,NA,NA,NA,NA,NA,NA,10,2,8,2
cell_91,2,42,2,2,3,3,2,NA,10,2,8,2
cell_92,2,0,0,NA,3,3,2,15,10,2,8,2
cell_93,2,0,0,2,3,15,2,0,10,2,8,2
cell_94,2,0,0,2,3,15,2,0,10,2,8,2
cell_95,2,0,0,2,3,0,NA,NA,10,2,NA,2
cell_96,2,0,2,NA,3,3,NA,3,10,2,8,2
cell_97,2,2,NA,2,3,10,2,2,10,NA,6,2
cell_98,2,2,2,NA,NA,NA,2,2,10,3,6,2
cell_99,2,2,2,2,3,10,2,2,NA,NA,6,NA
cell_100,2,2,2,2,3,10,2,2,10,0,NA,NA
cell_101,2,42,NA,NA,3,10,NA,2,10,3,6,2
cell_102,2,42,2,2,3,10,2,2,10,0,6,NA
cell_103,2,NA,NA,NA,3,NA,NA,2,NA,NA,6,2
cell_104,2,42,2,2,NA,10,2,2,10,2,6,2
cell_105,NA,10,2,2,3,NA,NA,NA,10,4,NA,2
cell_106,2,10,2,2,NA,2,NA,2,10,4,NA,2
cell_107,2,10,2,2,3,2,NA,2,10,2,6,NA
cell_108,NA,10,2,2,3,NA,2,NA,NA,2,NA,NA
cell_109,2,10,NA,2,3,2,2,2,10,5,NA,2
cell_110,2,10,2,2,NA,NA,2,2,10,5,NA,2
cell_111,2,10,2,NA,3,2,2,2,10,5,NA,2
cell_112,2,NA,2,2,NA,2,2,NA,10,5,6,2
cell_113,NA,2,2,2,3,2,2,0,NA,NA,6,2
cell_114,2,2,2,2,NA,NA,2,0,10,8,6,2
cell_115,2,2,2,NA,3,2,2,0,10,8,6,NA
cell_116,2,2,NA,2,3,NA,2,0,10,8,6,2
cell_117,2,NA,2,2,3,2,2,NA,10,2,6,2
cell_118,2,NA,2,2,3,2,2,0,10,0,6,2
cell_119,2,NA,2,2,3,2,NA,2,10,2,NA,2
cell_120,2,2,2,2,3,2,2,NA,10,2,NA,NA
cell_121,2,2,NA,NA,NA,2,NA,0,10,NA,6,2
cell_122,2,NA,0,2,3,2,2,0,10,0,6,2
cell_123,2,NA,0,2,NA,2,2,0,10,2,6,NA
cell_124,2,2,NA,2,3,2,2,49,10,0,6,2
cell_125,NA,2,NA,2,3,2,2,3,NA,3,6,NA
cell_126,2,2,0,2,NA,NA,2,3,10,3,NA,2
cell_127,2,2,2,2,3,2,2,NA,10,NA,6,2
