,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,5,15,2,8,2,2,NA,NA,NA,NA,NA,5
cell_2,5,15,2,8,NA,2,NA,NA,NA,NA,NA,5
cell_3,5,15,2,8,NA,2,NA,NA,NA,NA,NA,5
cell_4,5,NA,2,8,2,2,NA,NA,NA,NA,NA,5
cell_5,5,15,2,8,NA,2,NA,NA,NA,NA,NA,5
cell_6,5,15,2,8,2,2,NA,NA,NA,NA,NA,5
cell_7,5,NA,2,8,2,2,NA,NA,NA,NA,NA,5
cell_8,5,15,2,8,2,2,NA,NA,NA,NA,NA,5
cell_9,5,NA,2,NA,NA,2,NA,NA,NA,NA,NA,5
cell_10,5,15,2,8,2,2,NA,NA,NA,NA,NA,5
cell_11,5,15,2,8,2,2,NA,NA,NA,NA,NA,5
cell_12,5,15,2,8,2,2,NA,NA,NA,NA,NA,5
cell_13,5,15,0,8,2,2,NA,NA,NA,NA,NA,5
cell_14,NA,15,0,8,2,2,NA,NA,NA,NA,NA,5
cell_15,5,NA,0,8,2,2,NA,NA,NA,NA,NA,5
cell_16,5,15,NA,8,2,2,NA,NA,NA,NA,NA,5
cell_17,NA,15,5,8,2,2,NA,NA,NA,NA,NA,2
cell_18,5,NA,5,8,2,2,NA,NA,NA,NA,NA,2
cell_19,5,15,5,8,2,2,NA,NA,NA,NA,NA,2
cell_20,5,15,5,8,2,2,NA,NA,NA,NA,NA,2
cell_21,5,15,5,8,2,2,NA,NA,NA,NA,NA,2
cell_22,5,15,5,8,2,2,NA,NA,NA,NA,NA,2
cell_23,5,15,5,8,2,2,NA,NA,NA,NA,NA,2
cell_24,5,15,5,8,2,2,NA,NA,NA,NA,NA,2
cell_25,5,15,5,8,2,2,NA,NA,NA,NA,NA,0
cell_26,5,NA,5,8,2,2,NA,NA,NA,NA,NA,2
cell_27,5,15,5,8,2,2,NA,NA,NA,NA,NA,0
cell_28,5,15,5,8,2,2,NA,NA,NA,NA,NA,0
cell_29,5,15,5,8,NA,NA,NA,NA,NA,NA,NA,0
cell_30,5,NA,5,8,2,2,NA,NA,NA,NA,NA,0
cell_31,5,15,5,8,2,NA,NA,NA,NA,NA,NA,0
cell_32,5,15,5,8,2,2,NA,NA,NA,NA,NA,5
cell_33,5,15,0,8,2,2,NA,NA,NA,NA,NA,3
cell_34,5,15,0,8,2,2,NA,NA,NA,NA,NA,3
cell_35,5,15,0,8,NA,2,NA,NA,NA,NA,NA,NA
cell_36,5,15,2,8,2,2,NA,NA,NA,NA,NA,0
cell_37,5,15,NA,8,2,2,NA,NA,NA,NA,NA,0
cell_38,5,NA,0,8,2,2,NA,NA,NA,NA,NA,23
cell_39,5,NA,0,8,2,NA,NA,NA,NA,NA,NA,0
cell_40,NA,15,2,8,2,2,NA,NA,NA,NA,NA,3
cell_41,5,15,2,8,NA,2,NA,NA,NA,NA,NA,0
cell_42,5,NA,2,8,2,2,NA,NA,NA,NA,NA,0
cell_43,5,15,2,8,2,2,NA,NA,NA,NA,NA,0
cell_44,NA,15,2,8,2,2,NA,NA,NA,NA,NA,0
cell_45,NA,15,2,8,2,2,NA,NA,NA,NA,NA,5
cell_46,5,NA,2,8,NA,2,NA,NA,NA,NA,NA,5
cell_47,5,15,2,8,2,2,NA,NA,NA,NA,NA,5
cell_48,5,15,NA,8,2,2,NA,NA,NA,NA,NA,5
cell_49,5,15,2,8,NA,2,NA,NA,NA,NA,NA,0
cell_50,NA,NA,2,8,2,2,NA,NA,NA,NA,NA,0
cell_51,NA,15,2,8,2,2,NA,NA,NA,NA,NA,0
cell_52,NA,15,2,8,2,2,NA,NA,NA,NA,NA,0
cell_53,5,15,2,8,2,2,NA,NA,NA,NA,NA,NA
cell_54,5,15,2,8,2,2,NA,NA,NA,NA,NA,0
cell_55,5,15,NA,8,2,2,NA,NA,NA,NA,NA,4
cell_56,5,15,2,8,2,2,NA,NA,NA,NA,NA,0
cell_57,5,15,2,NA,2,2,NA,NA,NA,NA,NA,NA
cell_58,5,15,2,8,2,NA,NA,NA,NA,NA,NA,0
cell_59,5,15,0,8,2,2,NA,NA,NA,NA,NA,4
cell_60,NA,15,0,8,2,2,NA,NA,NA,NA,NA,4
cell_61,5,15,2,8,2,2,NA,NA,NA,NA,NA,0
cell_62,5,15,2,8,2,2,NA,NA,NA,NA,NA,NA
cell_63,5,15,2,NA,2,NA,NA,NA,NA,NA,NA,0
cell_64,5,15,2,8,2,2,NA,NA,NA,NA,NA,0
cell_65,NA,2,5,0,0,2,NA,NA,NA,NA,NA,4
cell_66,5,2,5,0,0,2,NA,NA,NA,NA,NA,4
cell_67,5,2,NA,0,0,2,NA,NA,NA,NA,NA,4
cell_68,5,2,NA,0,0,2,NA,NA,NA,NA,NA,NA
cell_69,5,2,5,0,0,2,NA,NA,NA,NA,NA,3
cell_70,5,NA,5,0,0,2,NA,NA,NA,NA,NA,3
cell_71,5,2,5,NA,2,2,NA,NA,NA,NA,NA,3
cell_72,5,2,5,2,2,2,NA,NA,NA,NA,NA,3
