cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
cell_86	-	2	5	-	2	2	2	4	-	-	-	2	2	2	5	5
cell_87	-	2	5	11	0	-	2	4	-	5	0	2	2	0	5	-
cell_88	2	2	-	11	2	2	2	4	2	5	0	2	2	0	5	5
cell_89	2	-	5	11	0	2	2	4	-	5	0	-	2	-	5	5
cell_90	2	2	-	11	-	2	2	4	2	5	0	2	2	-	5	-
cell_91	2	2	5	-	0	2	2	4	-	5	0	2	-	14	5	5
cell_92	2	2	5	11	0	2	-	-	-	5	0	-	-	-	-	5
cell_93	2	-	-	-	3	2	2	-	2	5	2	-	2	14	5	5
cell_94	2	2	5	-	3	2	2	4	2	-	-	-	2	14	5	5
cell_95	2	2	-	11	3	-	2	4	2	5	-	2	2	14	5	5
cell_96	2	2	5	-	3	-	2	4	-	5	2	2	2	-	5	5
cell_97	2	2	5	11	14	2	2	4	-	5	2	0	2	2	2	5
cell_98	2	2	5	-	14	2	2	4	2	-	2	2	2	2	2	-
cell_99	2	2	-	11	14	2	2	4	2	5	-	0	2	-	2	5
cell_100	-	2	5	11	14	2	2	4	2	5	2	0	-	2	2	5
cell_101	2	2	5	11	-	-	2	4	2	5	2	0	-	2	2	-
cell_102	2	2	-	11	2	-	2	4	2	-	2	0	2	2	2	-
cell_103	2	2	-	11	0	2	-	4	2	5	-	0	2	2	2	5
cell_104	2	2	-	11	-	2	2	4	2	-	2	2	2	2	2	5
cell_105	2	2	5	11	0	2	2	4	-	5	0	-	2	-	2	5
cell_106	2	2	5	-	0	2	2	-	2	5	-	3	2	2	2	5
cell_107	2	2	5	11	2	2	2	-	2	5	0	0	-	2	2	5
cell_108	2	2	5	11	-	2	2	4	2	5	0	8	2	2	2	-
cell_109	2	2	5	11	0	2	2	4	2	5	5	0	-	2	2	5
cell_110	2	2	5	11	0	2	-	-	2	5	-	0	2	-	2	5
cell_111	2	2	5	-	-	2	2	4	2	5	0	4	2	-	-	-
cell_112	2	2	5	11	3	2	-	4	2	5	5	8	2	2	2	5
cell_113	2	-	5	11	2	2	-	4	2	-	0	45	2	2	2	5
cell_114	2	2	-	11	2	2	2	4	2	-	0	45	2	2	2	5
cell_115	-	2	5	-	2	2	2	4	2	5	0	45	2	0	2	5
cell_116	2	-	5	-	2	2	2	4	2	5	-	45	2	0	-	5
cell_117	2	-	5	11	2	2	2	4	2	5	-	45	2	20	2	5
cell_118	2	2	5	11	2	2	-	-	2	5	0	-	2	20	2	5
cell_119	-	2	5	11	2	2	-	-	2	5	3	45	-	20	2	5
cell_120	2	2	5	11	2	-	2	4	-	-	3	45	2	-	2	5
cell_121	2	2	-	11	2	2	-	4	-	5	3	0	2	0	2	5
cell_122	-	2	5	11	2	2	2	4	2	5	3	-	-	-	2	5
cell_123	2	-	-	11	2	2	2	-	2	5	-	2	2	2	2	5
cell_124	2	-	5	11	2	2	2	4	-	-	3	2	2	2	-	5
cell_125	2	2	5	11	2	-	2	4	2	-	2	-	2	0	2	5
cell_126	2	2	5	-	-	2	2	4	2	5	0	0	2	0	-	5
cell_127	2	-	5	11	-	2	2	4	2	5	0	0	2	0	-	5
cell_128	2	2	5	11	2	2	2	-	-	5	0	0	2	0	2	5
cell_129	2	0	5	11	3	2	2	5	2	5	9	-	-	8	5	5
cell_130	-	7	5	11	3	-	-	5	2	5	-	-	-	8	0	5
cell_131	2	0	5	11	3	2	-	-	-	5	5	2	5	8	2	5
cell_132	2	0	5	11	3	2	2	5	-	-	-	2	5	8	2	5
cell_133	2	0	-	11	14	2	-	-	2	5	-	2	5	-	2	-
cell_134	2	2	5	11	14	2	-	-	2	5	0	2	5	8	0	5
cell_135	2	-	5	11	0	2	-	5	2	5	6	2	5	-	-	5
cell_136	2	0	5	11	0	2	2	-	2	5	-	-	5	8	0	5
cell_137	2	-	-	-	0	2	2	0	2	5	3	2	3	8	0	5
cell_138	2	0	5	11	0	2	2	-	2	5	-	2	3	8	0	5
cell_139	2	-	5	11	-	2	2	0	2	-	3	2	3	8	4	5
cell_140	-	0	-	11	0	2	2	0	2	-	3	-	3	-	4	5
cell_141	2	0	-	11	0	2	2	0	2	5	-	-	3	8	0	5
cell_142	2	-	5	11	3	2	2	5	2	5	3	2	-	-	0	5
cell_143	2	-	-	-	0	2	2	19	2	5	3	2	3	8	0	5
cell_144	-	0	5	-	2	-	2	0	2	5	3	2	3	8	0	5
cell_145	2	2	5	11	3	-	2	-	2	5	0	2	-	8	0	-
cell_146	2	2	-	-	3	2	2	3	2	5	0	-	0	8	-	5
cell_147	2	2	-	-	-	2	2	3	2	5	0	2	-	8	-	-
cell_148	2	2	5	11	0	2	2	3	2	5	2	2	0	8	2	-
cell_149	2	6	5	11	-	-	2	3	2	5	-	2	0	8	2	5
cell_150	2	2	5	11	2	2	2	3	2	5	0	2	-	8	2	-
cell_151	2	2	-	11	2	2	2	3	2	5	3	2	-	-	0	5
cell_152	2	0	5	11	2	2	2	3	-	5	0	2	-	8	-	5
cell_153	2	-	5	11	2	2	2	-	2	-	57	-	0	8	2	5
cell_154	2	3	5	11	2	2	2	3	2	5	57	2	0	8	2	5
cell_155	2	-	5	11	2	2	-	-	2	5	-	2	2	-	-	5
cell_156	-	3	-	-	2	2	2	3	-	5	57	2	2	8	8	5
cell_157	2	2	5	-	0	-	2	3	2	5	3	2	0	8	0	5
cell_158	2	-	-	11	0	2	2	3	2	5	3	-	0	8	2	5
cell_159	2	0	-	11	0	2	2	3	2	5	-	2	2	8	0	5
cell_160	2	-	5	11	0	2	2	3	2	5	3	2	2	-	0	5
cell_161	2	-	-	-	-	-	-	-	-	-	-	-	0	-	0	5
cell_162	2	-	-	-	-	-	-	-	-	-	-	-	0	8	-	-
cell_163	-	-	-	-	-	-	-	-	-	-	-	-	10	8	0	5
cell_164	2	-	-	-	-	-	-	-	-	-	-	-	10	8	3	5
cell_165	2	-	-	-	-	-	-	-	-	-	-	-	0	8	0	5
cell_166	2	-	-	-	-	-	-	-	-	-	-	-	0	8	0	5
cell_167	2	-	-	-	-	-	-	-	-	-	-	-	5	8	0	5
cell_168	2	-	-	-	-	-	-	-	-	-	-	-	2	8	0	-
cell_169	2	-	-	-	-	-	-	-	-	-	-	-	0	8	0	-
cell_170	2	-	-	-	-	-	-	-	-	-	-	-	0	8	4	5
cell_171	2	-	-	-	-	-	-	-	-	-	-	-	2	8	5	5
cell_172	2	-	-	-	-	-	-	-	-	-	-	-	2	8	0	-
cell_173	2	-	-	-	-	-	-	-	-	-	-	-	9	8	0	5
cell_174	2	-	-	-	-	-	-	-	-	-	-	-	0	8	0	5
cell_175	-	-	-	-	-	-	-	-	-	-	-	-	-	8	0	5
cell_176	-	-	-	-	-	-	-	-	-	-	-	-	-	8	2	5
cell_177	2	-	-	-	-	-	-	-	-	-	-	-	2	8	2	5
cell_178	2	-	-	-	-	-	-	-	-	-	-	-	2	8	2	5
cell_179	2	-	-	-	-	-	-	-	-	-	-	-	-	-	2	5
cell_180	2	-	-	-	-	-	-	-	-	-	-	-	-	8	2	5
cell_181	2	-	-	-	-	-	-	-	-	-	-	-	2	8	2	5
cell_182	2	-	-	-	-	-	-	-	-	-	-	-	2	8	-	-
cell_183	2	-	-	-	-	-	-	-	-	-	-	-	-	8	-	5
cell_184	-	-	-	-	-	-	-	-	-	-	-	-	2	8	2	5
cell_185	2	-	-	-	-	-	-	-	-	-	-	-	0	8	-	5
cell_186	2	-	-	-	-	-	-	-	-	-	-	-	4	8	0	5
cell_187	-	-	-	-	-	-	-	-	-	-	-	-	0	8	3	5
cell_188	2	-	-	-	-	-	-	-	-	-	-	-	0	8	-	5
cell_189	2	-	-	-	-	-	-	-	-	-	-	-	2	8	8	5
cell_190	2	-	-	-	-	-	-	-	-	-	-	-	2	8	0	5
cell_191	2	-	-	-	-	-	-	-	-	-	-	-	2	8	5	5
cell_192	-	-	-	-	-	-	-	-	-	-	-	-	2	8	-	5
cell_193	2	3	-	11	-	-	-	-	-	-	-	0	2	8	2	-
cell_194	2	3	5	-	-	-	-	-	-	-	-	0	-	8	2	5
cell_195	2	3	5	11	-	-	-	-	-	-	-	-	-	-	2	5
cell_196	2	3	5	-	-	-	-	-	-	-	-	0	2	-	-	5
cell_197	-	3	5	11	-	-	-	-	-	-	-	0	2	-	2	5
cell_198	2	-	-	-	-	-	-	-	-	-	-	0	2	8	-	5
cell_199	-	3	5	-	-	-	-	-	-	-	-	0	2	8	2	5
cell_200	2	3	5	-	-	-	-	-	-	-	-	0	-	8	2	-
cell_201	2	-	5	11	-	-	-	-	-	-	-	2	-	8	2	5
cell_202	2	3	-	11	-	-	-	-	-	-	-	2	-	8	2	5
cell_203	2	3	-	11	-	-	-	-	-	-	-	2	-	8	2	5
cell_204	2	3	-	11	-	-	-	-	-	-	-	-	-	8	-	5
cell_205	2	3	5	11	-	-	-	-	-	-	-	2	2	-	-	-
cell_206	2	3	5	11	-	-	-	-	-	-	-	2	2	8	2	5
cell_207	2	3	5	-	-	-	-	-	-	-	-	2	2	8	-	5
cell_208	2	3	5	-	-	-	-	-	-	-	-	-	2	8	2	5
cell_209	-	3	-	11	2	2	-	5	-	5	-	-	2	8	2	5
cell_210	2	3	5	11	2	2	-	-	-	5	-	-	2	8	2	5
cell_211	2	3	-	-	2	2	2	5	2	5	-	-	2	8	2	5
cell_212	2	3	-	11	2	2	-	-	2	5	-	-	2	-	2	-
cell_213	2	-	-	11	-	-	-	-	2	5	-	-	2	8	2	-
cell_214	2	3	5	11	-	-	-	-	2	5	-	-	-	8	2	5
cell_215	2	3	5	11	-	-	-	-	2	-	-	-	2	8	2	-
cell_216	-	3	5	11	-	-	-	-	2	5	-	-	2	8	2	5
cell_217	2	3	5	11	0	2	2	-	2	5	-	0	2	8	-	5
cell_218	2	3	5	11	-	2	2	3	2	5	-	12	-	8	2	5
cell_219	-	3	-	11	0	2	-	3	2	-	2	-	2	8	2	5
cell_220	2	3	5	11	0	2	2	3	2	5	2	0	2	8	2	5
cell_221	2	3	5	-	-	2	2	3	2	5	0	-	2	8	2	5
cell_222	2	-	5	11	14	-	2	3	2	-	0	2	2	-	2	5
cell_223	2	3	-	11	14	2	2	3	2	5	0	-	2	8	-	5
cell_224	2	3	5	11	14	2	2	3	2	5	0	2	2	-	-	5
cell_225	2	3	5	11	17	2	2	2	2	-	2	-	-	-	0	5
cell_226	-	3	5	11	-	2	2	-	2	5	-	11	2	8	0	5
cell_227	2	3	5	11	2	2	2	2	2	5	2	11	-	8	0	5
cell_228	2	3	5	11	-	-	2	-	2	-	2	11	2	8	0	5
cell_229	2	3	5	-	2	-	2	0	2	5	-	-	2	-	14	5
cell_230	2	3	5	-	-	2	-	0	2	5	2	11	-	8	14	5
cell_231	2	3	-	11	0	2	2	11	2	5	2	11	2	8	-	-
cell_232	2	3	-	11	0	2	2	0	2	5	-	11	-	8	-	5
cell_233	2	3	5	11	9	2	2	3	2	-	2	11	2	8	5	5
cell_234	-	3	5	11	9	2	2	3	-	5	2	11	2	8	5	5
cell_235	2	-	5	11	9	2	2	3	2	5	-	11	2	8	5	5
cell_236	2	3	5	11	-	2	2	3	2	5	2	11	-	8	5	5
cell_237	2	3	-	11	5	2	2	3	2	5	2	11	2	8	5	-
cell_238	-	-	5	11	-	2	2	3	2	5	2	11	-	8	5	5
cell_239	2	3	5	11	5	2	2	3	2	5	2	11	-	8	5	5
cell_240	2	3	-	11	5	2	2	3	2	5	2	11	2	8	-	5
cell_241	2	-	5	11	-	2	-	-	2	5	2	11	2	8	0	-
cell_242	2	-	5	11	2	2	2	-	-	-	-	-	-	-	-	5
cell_243	2	3	5	11	-	2	2	5	2	5	0	11	2	8	0	5
cell_244	2	-	5	11	2	2	2	0	2	5	0	11	-	-	0	5
cell_245	2	3	5	11	2	2	2	-	-	5	2	11	-	8	3	5
cell_246	-	3	5	11	2	2	2	-	2	5	2	-	-	8	3	5
cell_247	2	3	5	11	2	2	2	2	2	5	-	11	-	8	5	5
cell_248	2	-	5	-	2	2	-	2	-	5	2	11	2	-	2	5
cell_249	2	3	-	11	0	2	2	0	2	5	5	11	2	8	5	5
cell_250	-	3	5	11	0	2	-	0	2	5	5	-	2	8	5	5
cell_251	-	-	5	11	0	2	2	67	2	5	-	-	2	8	5	5
cell_252	2	3	5	-	0	2	2	-	2	-	-	11	2	8	5	5
cell_253	-	3	-	11	-	-	2	0	2	5	5	11	2	8	-	5
cell_254	2	-	5	11	-	2	2	0	2	5	5	11	-	8	5	5
cell_255	2	3	5	-	37	-	2	0	-	5	5	11	2	8	5	-
cell_256	2	3	5	11	2	2	2	0	2	5	-	11	2	8	5	-
cell_257	2	-	5	2	2	-	5	2	-	5	4	2	0	2	-	2
cell_258	-	0	5	2	2	2	5	2	2	5	4	2	0	2	2	2
cell_259	-	-	5	2	2	-	5	-	2	5	-	2	2	2	2	2
cell_260	2	-	5	2	2	-	-	2	2	5	4	2	2	2	-	2
cell_261	2	2	5	2	-	2	5	2	-	5	4	2	5	2	-	2
cell_262	2	-	5	2	2	2	5	2	2	5	4	2	-	-	2	2
cell_263	2	0	5	-	2	-	5	-	-	5	4	2	5	2	2	2
cell_264	2	0	5	2	-	2	-	2	2	5	4	2	5	2	2	2
cell_265	2	0	5	2	2	2	5	2	2	5	-	-	0	2	2	2
cell_266	2	-	5	2	2	2	-	2	2	5	4	2	0	2	2	2
cell_267	2	3	-	-	2	2	-	2	2	-	4	-	0	2	2	-
cell_268	2	-	-	-	2	2	5	2	2	5	4	2	0	-	2	2
cell_269	-	0	5	-	-	-	5	2	2	5	4	2	3	2	49	2
cell_270	2	-	5	2	2	2	5	2	2	5	4	2	3	-	49	2
cell_271	2	0	5	2	2	2	5	2	2	5	4	2	3	-	0	2
cell_272	2	-	5	2	-	2	5	-	2	5	4	2	3	2	-	2
cell_273	2	0	5	-	2	2	-	2	2	5	-	2	2	2	0	2
cell_274	2	-	5	2	2	2	5	-	2	5	4	2	2	2	0	2
cell_275	2	-	5	2	2	-	5	2	-	5	4	2	2	2	-	2
cell_276	2	0	5	-	2	2	-	-	2	-	-	-	2	2	-	2
cell_277	2	0	-	2	2	2	-	2	2	5	4	-	2	2	0	2
cell_278	2	0	5	2	2	-	5	2	2	5	4	2	2	2	0	2
cell_279	2	0	5	-	2	2	5	2	2	-	4	2	-	2	0	2
cell_280	2	0	5	2	2	2	5	2	2	5	-	2	-	2	0	2
cell_281	2	2	-	2	2	-	5	2	2	5	4	2	2	2	0	2
cell_282	2	2	5	2	2	2	5	2	2	5	-	2	-	2	0	2
cell_283	2	2	5	2	-	2	-	2	-	5	4	2	2	-	-	2
cell_284	2	2	5	2	2	2	5	2	2	-	4	2	2	2	4	-
cell_285	2	-	5	-	2	-	5	2	2	5	4	2	2	-	0	2
cell_286	2	-	5	2	2	2	5	2	2	-	4	-	2	2	0	-
cell_287	2	2	5	2	-	2	-	2	2	5	4	2	2	-	0	-
cell_288	2	2	-	2	2	2	5	2	2	-	4	-	2	-	0	2
cell_289	-	-	5	2	2	2	2	-	2	-	-	0	0	2	2	4
cell_290	2	0	5	-	-	2	2	-	2	5	-	0	0	2	2	-
cell_291	2	-	5	2	2	2	2	2	2	5	4	-	2	2	2	-
cell_292	2	5	-	2	2	2	2	2	2	5	4	2	0	2	-	-
cell_293	-	-	5	2	2	2	-	2	2	-	4	2	0	2	2	0
cell_294	2	0	5	2	2	-	2	2	2	5	4	2	-	2	2	2
cell_295	2	2	5	2	2	-	2	2	2	5	4	0	0	-	-	4
cell_296	2	0	5	2	-	2	2	2	2	5	4	0	0	-	2	0
cell_297	-	0	-	2	2	2	2	-	2	-	4	2	-	-	2	-
cell_298	2	0	5	2	-	2	2	2	2	5	4	-	2	2	2	-
cell_299	2	-	5	2	2	2	2	2	-	5	4	0	2	2	-	-
cell_300	2	0	5	2	2	2	2	-	2	5	4	0	2	-	2	4
cell_301	2	0	5	2	2	2	2	2	2	5	4	2	2	-	2	-
cell_302	-	-	5	2	2	2	2	2	2	5	4	2	2	-	2	0
cell_303	2	-	5	-	2	-	2	2	2	-	4	2	2	2	2	0
cell_304	-	0	5	2	2	2	2	2	-	-	4	2	2	-	2	0
cell_305	2	-	-	2	2	2	2	-	2	5	4	2	2	2	-	2
cell_306	2	-	5	-	2	2	2	2	2	5	4	2	2	2	-	2
cell_307	2	2	5	-	2	2	2	-	2	5	4	0	2	2	2	2
cell_308	2	2	5	2	2	2	2	2	-	5	4	-	2	2	2	2
cell_309	2	-	5	2	-	2	2	2	2	5	4	0	16	2	0	2
cell_310	2	2	5	2	2	2	2	-	2	5	4	-	16	2	0	2
cell_311	2	2	5	2	2	2	-	2	2	5	-	3	16	2	2	2
cell_312	2	2	5	-	2	2	-	2	2	5	4	-	16	2	2	-
cell_313	2	5	5	2	-	2	2	2	2	5	4	-	-	-	0	0
cell_314	2	5	5	2	2	-	2	2	2	5	4	5	0	2	3	-
cell_315	2	-	-	2	2	2	-	2	2	5	-	3	0	2	59	-
cell_316	2	5	5	2	2	-	-	2	2	-	4	0	-	2	59	2
cell_317	2	-	5	2	2	2	-	2	2	-	4	2	4	2	0	0
cell_318	2	-	5	2	2	2	2	-	2	5	4	-	4	2	0	47
cell_319	2	5	5	-	2	2	2	-	2	5	4	0	0	2	-	14
cell_320	2	5	-	2	2	2	2	2	2	5	4	-	0	-	-	0
cell_321	2	-	5	2	-	-	0	2	2	5	2	0	3	2	-	0
cell_322	2	0	5	2	2	2	0	-	2	5	2	0	3	2	2	3
cell_323	2	0	-	2	2	2	-	-	2	5	2	0	3	2	2	-
cell_324	2	0	5	-	2	2	0	-	2	5	2	0	-	2	-	-
cell_325	2	-	-	2	2	2	-	2	2	5	2	-	3	2	2	5
cell_326	2	0	-	2	2	2	0	2	2	5	2	2	3	-	0	-
cell_327	-	0	5	2	2	2	-	2	2	5	-	0	3	-	0	3
cell_328	-	0	-	2	2	2	2	2	2	5	2	-	3	-	0	-
cell_329	2	0	-	-	2	2	2	2	2	5	2	0	3	2	4	2
cell_330	-	0	5	2	2	2	2	-	2	5	0	0	3	2	4	-
cell_331	2	0	-	-	2	2	2	2	2	5	-	-	3	2	-	2
cell_332	-	0	5	2	-	2	2	2	2	-	2	-	3	-	4	2
cell_333	2	0	5	2	2	2	3	2	-	5	-	-	-	-	-	-
cell_334	-	0	5	2	2	2	3	2	2	5	-	-	-	-	-	-
cell_335	-	11	5	2	-	2	0	2	2	5	-	-	-	-	-	-
cell_336	2	0	-	2	-	2	0	2	2	5	-	-	-	-	-	-
cell_337	-	-	5	2	-	2	3	2	-	5	-	-	3	2	0	0
cell_338	2	0	5	2	-	2	-	2	2	5	-	-	3	-	0	0
cell_339	2	0	5	2	2	2	3	2	2	5	-	-	3	-	5	-
cell_340	2	0	5	2	2	2	3	2	2	5	-	-	3	2	0	0
cell_341	2	16	5	2	2	2	3	2	2	5	-	-	3	2	2	0
cell_342	2	16	5	2	2	2	3	2	2	-	-	-	3	2	2	0
cell_343	-	0	5	2	-	2	3	2	-	5	-	-	3	2	-	2
cell_344	2	0	5	-	2	2	-	-	2	5	-	-	-	2	-	-
cell_345	2	-	-	2	2	2	3	2	2	5	-	-	3	2	2	2
cell_346	-	-	5	2	2	-	-	2	2	5	-	-	-	-	2	3
cell_347	2	92	5	2	2	2	3	2	2	5	-	-	3	2	0	8
cell_348	2	92	5	2	2	2	3	-	2	5	-	-	3	-	0	0
cell_349	-	0	-	2	2	2	3	-	2	5	-	-	3	2	-	-
cell_350	2	-	5	2	2	2	3	-	2	5	-	-	3	-	0	0
cell_351	2	5	5	-	2	2	3	-	2	5	-	-	3	2	2	0
cell_352	2	-	5	2	2	-	3	2	-	-	-	-	-	2	-	2
cell_353	2	12	5	2	0	2	0	2	2	5	0	5	3	2	2	2
cell_354	-	-	5	2	0	2	0	2	-	5	0	5	3	2	2	2
cell_355	2	12	5	2	0	2	2	2	2	5	0	5	3	2	-	0
cell_356	2	12	5	2	0	2	0	2	2	5	0	5	-	-	-	-
cell_357	2	12	5	-	0	-	2	2	2	5	0	5	3	2	2	0
cell_358	2	12	5	2	0	-	2	2	-	5	0	5	3	2	2	0
cell_359	2	12	5	2	5	2	0	-	2	5	-	5	3	2	2	0
cell_360	2	-	5	2	0	2	-	2	2	5	3	5	3	-	2	0
cell_361	2	12	5	2	0	2	0	2	2	5	0	0	3	2	2	5
cell_362	2	12	5	2	2	2	-	2	2	5	-	0	3	-	2	5
cell_363	2	12	-	2	0	2	0	2	2	5	2	0	3	2	2	5
cell_364	2	12	5	2	0	2	0	2	-	-	2	0	3	2	2	5
cell_365	2	-	5	2	0	-	5	2	2	5	-	-	-	-	2	-
cell_366	2	-	-	2	-	2	5	2	2	-	4	3	3	2	2	5
cell_367	2	12	5	2	0	2	5	2	2	5	4	0	3	2	2	5
