,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_1,5,2,2,5,NA,2,0,2,8,5,0,3,NA,3,2,2
cell_2,5,2,0,5,5,2,0,2,8,NA,NA,3,NA,NA,2,NA
cell_3,5,2,2,5,5,2,3,2,8,0,8,NA,3,NA,2,2
cell_4,5,2,0,NA,NA,NA,3,2,NA,0,0,NA,3,3,2,NA
cell_5,5,0,NA,5,5,2,3,2,NA,NA,0,5,3,3,NA,2
cell_6,5,NA,0,5,NA,2,3,2,NA,0,0,5,NA,3,NA,2
cell_7,5,0,0,NA,5,2,5,NA,8,0,NA,0,3,3,NA,2
cell_8,NA,3,2,5,5,2,5,2,8,5,2,0,3,3,NA,2
cell_9,NA,3,0,NA,5,0,NA,2,NA,2,NA,0,3,NA,2,2
cell_10,5,0,NA,5,5,0,0,2,8,2,8,3,3,3,2,NA
cell_11,5,0,2,5,5,0,0,NA,NA,NA,8,3,NA,NA,2,2
cell_12,5,0,NA,5,5,0,0,2,8,2,8,NA,3,3,2,2
cell_13,5,0,0,5,5,0,59,2,8,0,2,NA,3,3,2,2
cell_14,5,0,0,5,5,0,59,2,NA,2,0,0,NA,NA,NA,2
cell_15,NA,0,2,5,5,7,59,2,8,0,0,4,3,3,2,2
cell_16,5,0,2,NA,NA,7,59,2,NA,0,0,4,3,3,NA,2
cell_17,5,0,NA,5,NA,2,NA,NA,8,5,2,0,3,4,2,2
cell_18,5,NA,8,5,5,NA,2,2,8,5,2,0,3,4,2,2
cell_19,NA,0,8,5,5,0,NA,2,8,5,2,2,3,4,2,NA
cell_20,5,NA,NA,5,5,0,NA,NA,8,5,2,2,3,4,2,2
cell_21,NA,2,NA,5,5,0,NA,2,8,5,2,0,3,3,2,2
cell_22,NA,2,8,5,5,0,2,2,NA,5,2,0,NA,0,2,2
cell_23,5,0,8,5,NA,0,0,2,8,5,2,3,NA,2,2,2
cell_24,5,0,8,5,5,0,2,2,8,5,2,NA,3,2,2,NA
cell_25,5,NA,8,5,5,3,NA,2,NA,NA,0,3,3,0,2,2
cell_26,5,0,8,5,5,3,NA,2,8,5,0,NA,NA,2,2,2
cell_27,NA,0,8,5,5,3,2,2,8,NA,NA,3,3,0,2,2
cell_28,5,0,8,5,5,3,2,2,NA,5,0,3,3,0,2,2
cell_29,NA,0,NA,5,5,0,NA,2,8,NA,5,2,NA,0,2,2
cell_30,NA,0,NA,NA,5,NA,NA,2,8,5,5,2,3,2,2,2
cell_31,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
cell_32,5,NA,8,5,5,0,2,2,8,5,0,0,3,NA,2,2
cell_33,NA,2,8,0,5,2,0,2,8,0,10,2,3,5,2,2
cell_34,5,2,0,0,5,NA,NA,NA,8,0,2,2,3,5,2,2
cell_35,5,2,NA,NA,5,2,0,2,NA,0,0,2,3,5,2,2
cell_36,5,2,NA,2,NA,2,NA,2,8,NA,0,NA,NA,5,2,2
cell_37,5,2,NA,2,5,2,0,2,8,0,0,2,3,5,2,NA
cell_38,5,2,3,NA,5,2,0,2,8,0,NA,2,3,NA,NA,2
cell_39,5,2,3,NA,5,2,0,2,8,5,3,2,3,5,NA,NA
cell_40,5,2,3,2,NA,2,NA,2,8,0,5,NA,3,5,2,2
cell_41,5,3,5,15,5,2,3,2,8,5,2,NA,NA,5,2,2
cell_42,5,3,5,15,5,2,3,2,NA,NA,2,2,NA,5,2,NA
cell_43,5,NA,0,5,5,NA,3,2,8,0,NA,NA,3,5,2,2
cell_44,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,2,2
cell_45,NA,NA,NA,3,5,2,2,2,8,0,3,2,NA,5,2,2
cell_46,5,NA,4,3,5,NA,2,2,8,4,0,NA,3,5,NA,2
cell_47,5,NA,0,NA,5,2,0,2,8,0,0,2,3,5,NA,2
cell_48,NA,3,0,3,5,NA,5,2,8,0,0,2,3,5,2,2
cell_49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,0,2,2
cell_50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,3,2,2
cell_51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,2
cell_52,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,3,0,2,2
cell_53,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,2,2
cell_54,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,26,2,2
cell_55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,2,NA
cell_56,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,NA,2,2
cell_57,NA,NA,0,5,5,2,NA,2,8,2,0,2,NA,0,2,2
cell_58,NA,0,0,NA,NA,2,3,NA,NA,2,0,2,3,0,2,2
cell_59,5,3,12,NA,5,2,NA,2,8,2,0,2,3,0,2,2
cell_60,5,3,5,5,5,2,NA,2,8,2,0,2,3,0,2,2
cell_61,5,0,2,NA,5,2,NA,2,8,2,2,2,3,0,2,2
cell_62,NA,0,2,NA,5,2,NA,NA,NA,NA,2,2,3,0,2,2
cell_63,5,0,2,5,NA,NA,0,2,8,2,2,NA,3,2,NA,NA
cell_64,5,0,NA,5,5,2,5,2,8,2,NA,2,3,2,NA,2
cell_65,11,2,2,11,NA,2,0,5,8,2,3,0,3,2,2,2
cell_66,11,0,2,NA,NA,2,0,5,NA,0,3,0,3,2,2,2
cell_67,11,0,2,11,2,NA,NA,5,8,5,3,0,NA,2,NA,2
cell_68,NA,2,2,11,2,2,0,5,8,NA,NA,0,NA,2,2,2
cell_69,11,3,2,NA,2,2,0,5,8,NA,3,0,3,NA,2,2
cell_70,11,NA,NA,11,2,2,5,5,NA,2,3,5,3,2,2,2
cell_71,11,0,2,11,NA,2,0,5,8,2,NA,0,3,2,2,2
cell_72,11,NA,NA,11,2,2,2,5,8,0,3,0,3,2,2,NA
cell_73,NA,NA,NA,NA,2,2,2,5,NA,0,3,2,3,NA,NA,2
cell_74,11,NA,2,2,NA,2,2,5,NA,0,3,2,3,2,NA,2
cell_75,11,2,2,NA,2,2,NA,5,8,0,3,0,3,2,2,2
cell_76,11,0,2,0,2,2,2,5,8,0,3,0,NA,2,NA,2
cell_77,11,0,2,2,2,NA,2,NA,8,0,3,NA,3,2,NA,2
cell_78,11,2,2,NA,NA,2,2,5,8,0,3,NA,3,NA,NA,2
cell_79,11,0,2,4,2,2,2,5,8,0,3,0,3,2,2,2
cell_80,NA,0,2,0,2,2,2,5,8,0,NA,4,NA,2,NA,2
cell_81,2,5,2,2,2,2,8,5,8,0,NA,2,NA,2,NA,2
cell_82,2,5,NA,NA,2,2,NA,5,8,0,NA,2,3,NA,2,NA
cell_83,2,5,NA,NA,2,2,5,5,8,0,NA,2,NA,2,2,2
cell_84,NA,5,2,2,2,2,0,5,8,0,2,2,3,2,2,NA
cell_85,NA,0,NA,NA,2,NA,2,NA,8,2,5,NA,3,NA,2,2
cell_86,2,0,2,0,2,2,NA,5,8,2,NA,0,3,2,2,2
cell_87,2,0,2,NA,2,2,2,5,8,0,NA,NA,3,2,2,2
cell_88,2,0,2,NA,NA,2,2,5,8,0,NA,0,3,NA,2,2
cell_89,NA,NA,2,0,2,2,NA,NA,8,0,2,4,3,NA,2,NA
cell_90,0,0,NA,0,2,2,5,NA,8,0,2,2,NA,2,2,2
cell_91,0,2,2,11,2,2,5,5,8,0,2,0,NA,2,2,2
cell_92,0,3,2,11,2,2,5,5,NA,0,2,2,3,2,2,NA
cell_93,5,0,2,0,2,2,5,5,8,2,2,2,3,2,NA,2
cell_94,5,0,2,2,2,2,5,NA,8,2,2,NA,3,2,2,NA
cell_95,0,2,NA,NA,2,NA,5,5,NA,2,2,NA,3,2,2,NA
cell_96,0,2,2,NA,2,2,5,5,8,2,2,2,NA,2,NA,2
cell_97,NA,5,2,NA,NA,NA,5,NA,8,2,0,2,3,2,2,2
cell_98,4,5,2,2,5,NA,5,0,8,NA,0,2,NA,2,NA,2
cell_99,4,5,0,NA,NA,NA,5,0,NA,0,0,NA,3,NA,2,2
cell_100,4,5,2,2,5,2,5,0,8,0,0,2,3,2,2,2
cell_101,NA,5,3,NA,5,0,5,0,NA,NA,0,2,3,2,2,2
cell_102,0,5,3,2,NA,2,5,0,NA,3,0,2,3,2,NA,2
cell_103,NA,5,3,2,5,0,5,11,8,NA,0,2,3,2,2,2
cell_104,0,5,3,2,5,0,5,0,NA,NA,0,2,3,2,2,2
cell_105,0,5,NA,2,NA,3,5,0,8,0,4,2,3,NA,2,NA
cell_106,0,5,0,2,5,NA,5,0,8,3,NA,2,3,NA,2,2
cell_107,5,5,NA,2,5,3,5,2,8,0,4,2,3,2,2,2
cell_108,5,5,9,2,5,NA,NA,2,8,0,4,2,3,2,NA,2
cell_109,0,NA,2,2,5,3,5,NA,8,10,NA,NA,3,2,2,2
cell_110,4,5,NA,2,5,NA,NA,NA,8,10,4,2,3,2,NA,2
cell_111,0,NA,3,2,5,NA,5,2,8,10,NA,2,NA,NA,2,2
cell_112,0,5,3,2,5,3,5,2,8,NA,4,2,3,NA,2,2
cell_113,2,5,NA,2,2,0,NA,0,8,NA,5,8,3,NA,2,2
cell_114,2,5,0,NA,2,0,5,0,NA,0,NA,NA,3,2,2,2
cell_115,NA,NA,0,2,NA,0,5,2,8,NA,5,NA,3,NA,2,2
cell_116,2,5,0,2,NA,NA,5,2,NA,NA,5,5,3,2,2,NA
