,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_101,2,0,12,NA,5,NA,NA,11,2,5,NA,NA
cell_102,2,0,12,3,5,2,9,NA,2,NA,0,3
cell_103,NA,NA,12,3,5,0,9,11,2,5,0,3
cell_104,NA,0,12,3,5,0,NA,11,2,5,NA,3
cell_105,2,2,12,3,5,NA,9,11,2,5,3,3
cell_106,2,2,12,NA,5,0,NA,11,2,5,3,3
cell_107,NA,2,NA,3,5,NA,9,11,NA,5,3,3
cell_108,2,2,12,3,5,2,9,11,2,5,3,NA
cell_109,2,0,NA,3,5,0,9,11,NA,5,0,NA
cell_110,2,11,12,NA,5,0,9,11,2,5,0,3
cell_111,2,0,12,3,5,0,9,11,2,5,4,3
cell_112,NA,NA,12,3,5,0,9,NA,2,5,5,NA
cell_113,2,NA,12,3,0,0,9,11,0,5,NA,3
cell_114,2,2,12,3,0,NA,9,11,0,5,0,3
cell_115,2,2,12,3,NA,5,9,11,2,5,NA,3
cell_116,2,2,12,3,0,0,9,11,0,5,NA,3
cell_117,2,NA,12,3,9,0,NA,11,0,5,NA,3
cell_118,2,2,12,3,9,0,9,11,0,5,NA,3
cell_119,2,2,12,3,NA,0,9,11,0,5,0,3
cell_120,2,2,12,NA,0,0,9,11,NA,5,0,3
cell_121,2,2,12,3,2,0,9,11,0,5,5,3
cell_122,2,2,12,3,2,0,NA,NA,0,5,5,3
cell_123,2,2,12,NA,NA,2,9,NA,NA,NA,5,NA
cell_124,NA,2,NA,3,2,2,9,NA,14,5,5,3
cell_125,2,2,12,3,7,11,NA,11,2,NA,0,3
cell_126,2,2,12,3,7,0,NA,11,NA,5,0,3
cell_127,2,2,12,3,7,3,9,11,NA,5,2,3
cell_128,NA,NA,12,3,7,3,9,11,0,5,0,3
cell_129,0,0,3,NA,NA,5,9,2,NA,2,65,10
cell_130,NA,0,3,3,7,5,9,2,2,2,65,5
cell_131,NA,NA,3,3,NA,5,9,2,2,0,65,NA
cell_132,0,0,NA,3,7,NA,9,2,2,0,65,0
cell_133,NA,0,NA,3,7,5,9,NA,2,3,65,0
cell_134,0,0,3,3,7,5,9,NA,2,3,65,0
cell_135,3,0,NA,3,7,5,9,2,2,NA,NA,0
cell_136,0,0,3,3,7,5,9,2,2,3,65,0
cell_137,0,0,3,3,7,5,9,2,2,4,65,NA
cell_138,NA,0,3,3,7,5,NA,NA,2,2,65,0
cell_139,2,2,3,NA,7,5,9,2,NA,0,65,0
cell_140,0,2,3,3,7,NA,9,2,NA,0,65,NA
cell_141,0,0,3,3,7,5,9,2,2,0,65,0
cell_142,NA,0,3,3,NA,5,9,2,2,NA,65,0
cell_143,NA,0,3,3,7,NA,9,2,2,2,65,5
cell_144,0,NA,3,3,7,5,9,2,NA,0,NA,5
cell_145,0,NA,NA,3,7,NA,9,NA,2,2,65,4
cell_146,0,8,5,3,7,5,9,2,2,2,NA,NA
cell_147,2,0,5,3,7,5,9,2,2,2,NA,0
cell_148,NA,0,5,3,7,5,NA,2,2,NA,65,2
cell_149,2,NA,NA,NA,7,5,9,NA,NA,0,NA,6
cell_150,0,0,NA,NA,7,5,9,2,2,0,65,6
cell_151,0,2,5,3,7,5,9,NA,2,0,NA,6
cell_152,2,2,5,3,7,5,9,2,NA,0,65,6
cell_153,0,NA,8,3,7,NA,NA,2,2,NA,65,0
cell_154,2,5,8,NA,7,NA,9,2,2,NA,NA,0
cell_155,0,0,2,3,7,5,9,NA,2,3,NA,0
cell_156,0,0,2,NA,7,5,9,2,2,3,65,0
cell_157,0,NA,2,NA,NA,5,9,2,2,NA,65,5
cell_158,2,0,NA,3,7,NA,NA,2,2,3,65,5
cell_159,2,0,0,3,7,5,9,2,2,3,65,0
cell_160,0,0,0,NA,7,5,9,2,2,3,65,0
cell_161,NA,3,2,NA,7,5,9,NA,2,2,65,0
cell_162,5,3,2,NA,7,5,9,2,2,2,65,2
cell_163,0,NA,0,3,7,5,9,2,NA,NA,NA,5
cell_164,0,0,0,3,NA,5,9,2,NA,NA,65,5
cell_165,NA,NA,2,3,7,5,NA,2,2,2,65,0
cell_166,NA,NA,0,3,7,5,NA,2,2,2,65,0
cell_167,0,4,NA,3,7,5,9,2,NA,NA,65,0
cell_168,0,4,NA,3,7,NA,9,2,2,2,65,0
cell_169,0,0,NA,3,7,5,9,2,NA,2,65,2
cell_170,0,4,0,3,7,NA,9,NA,2,2,65,2
cell_171,0,0,0,3,NA,5,9,NA,2,2,65,0
cell_172,0,0,NA,3,7,NA,9,NA,NA,2,NA,NA
cell_173,0,0,2,3,NA,5,9,2,2,2,65,0
cell_174,NA,2,2,3,7,5,9,2,2,2,NA,0
cell_175,0,4,0,3,NA,5,9,2,2,2,65,0
cell_176,NA,0,0,3,7,NA,9,2,2,2,65,0
cell_177,0,3,2,3,7,5,9,2,2,12,65,0
cell_178,2,3,2,3,7,5,9,2,NA,12,65,NA
cell_179,2,3,2,3,NA,NA,9,2,2,12,65,3
cell_180,2,3,2,3,7,5,9,NA,2,12,65,3
cell_181,NA,3,NA,3,7,5,9,2,2,12,65,2
cell_182,0,3,2,NA,7,5,NA,2,2,12,65,2
cell_183,NA,3,2,3,7,5,9,NA,NA,12,65,2
cell_184,4,NA,2,3,7,5,9,2,2,NA,65,2
cell_185,2,3,2,3,7,5,NA,2,2,12,65,10
cell_186,0,3,2,3,7,NA,9,2,2,12,NA,10
cell_187,0,3,NA,3,7,5,9,2,NA,12,65,10
cell_188,0,3,2,3,7,NA,9,NA,2,12,65,10
cell_189,3,3,2,3,NA,5,9,2,2,12,65,10
cell_190,0,3,2,3,7,5,9,NA,2,12,65,10
cell_191,0,3,2,3,7,NA,9,2,NA,12,65,10
cell_192,0,3,2,3,7,5,9,2,2,12,65,10
cell_193,3,0,2,3,3,5,9,0,NA,0,NA,2
cell_194,3,NA,2,NA,3,NA,NA,0,2,NA,65,NA
cell_195,3,0,NA,3,NA,NA,9,0,2,NA,65,2
cell_196,NA,0,2,3,3,5,9,0,NA,0,65,2
cell_197,3,2,2,3,2,5,9,NA,2,0,NA,0
cell_198,3,2,2,NA,NA,5,9,0,NA,2,65,0
cell_199,3,2,2,3,0,5,9,11,2,0,65,NA
cell_200,3,2,2,3,0,5,9,11,2,0,65,0
cell_201,0,4,2,3,2,5,9,3,2,2,65,3
cell_202,3,4,NA,NA,2,5,9,3,2,2,65,NA
cell_203,0,NA,2,3,2,5,9,2,NA,2,65,NA
cell_204,0,0,2,NA,2,NA,NA,2,2,2,NA,NA
cell_205,2,NA,2,3,0,5,9,NA,2,NA,65,0
cell_206,2,2,2,3,NA,5,9,2,2,0,NA,0
cell_207,2,0,2,NA,0,NA,NA,2,NA,0,NA,0
cell_208,2,NA,2,3,0,5,9,2,2,3,65,0
cell_209,0,3,2,3,NA,5,9,2,2,3,65,NA
cell_210,0,3,2,3,2,5,9,NA,2,NA,65,0
cell_211,NA,NA,2,3,2,5,NA,0,2,3,65,5
cell_212,0,NA,2,3,2,5,9,NA,2,3,NA,NA
cell_213,NA,2,2,3,2,NA,9,2,2,3,65,NA
cell_214,NA,NA,2,3,2,NA,9,2,2,3,65,2
cell_215,2,NA,2,3,NA,5,9,0,NA,3,65,NA
cell_216,2,2,2,3,2,5,9,0,2,3,65,0
cell_217,0,10,2,3,2,5,9,0,2,0,65,NA
cell_218,0,10,2,3,NA,NA,9,0,2,0,NA,NA
cell_219,5,10,2,3,NA,5,9,0,2,0,65,2
cell_220,5,10,NA,3,0,NA,9,0,2,2,65,2
cell_221,NA,NA,2,3,5,5,9,0,2,3,NA,2
cell_222,0,10,2,3,NA,NA,9,0,2,3,65,2
cell_223,0,10,2,3,0,5,9,0,NA,NA,65,2
cell_224,0,10,NA,NA,0,5,9,0,2,NA,65,2
cell_225,2,NA,NA,NA,NA,5,NA,2,2,NA,NA,5
cell_226,2,2,2,3,11,5,9,2,2,NA,NA,0
cell_227,2,2,2,3,11,5,9,2,2,NA,65,0
cell_228,2,2,2,3,NA,5,NA,2,2,5,65,NA
cell_229,2,2,NA,3,11,5,9,NA,2,0,65,2
cell_230,2,2,2,NA,NA,5,NA,NA,2,0,65,2
cell_231,2,2,2,3,11,5,9,2,NA,NA,NA,2
cell_232,NA,2,2,3,11,5,9,2,2,NA,65,2
cell_233,0,2,2,3,11,5,NA,2,2,5,NA,NA
cell_234,2,2,NA,NA,11,5,9,2,2,0,65,NA
cell_235,0,2,2,3,11,5,9,2,2,NA,65,0
cell_236,0,NA,NA,NA,11,5,9,2,NA,0,65,2
cell_237,5,2,2,3,11,5,9,2,NA,0,65,NA
cell_238,5,2,2,3,NA,5,9,2,2,NA,65,0
cell_239,2,2,2,3,11,5,9,2,NA,0,65,NA
cell_240,2,NA,2,NA,NA,5,9,2,2,0,65,0
cell_241,0,2,2,3,11,NA,9,2,2,0,65,2
cell_242,NA,2,2,3,11,5,9,NA,2,3,65,2
cell_243,5,2,2,3,NA,NA,9,2,2,3,65,2
cell_244,5,2,2,3,NA,5,9,2,2,3,65,2
cell_245,NA,2,2,3,11,5,NA,2,2,0,65,2
cell_246,0,2,2,3,11,5,9,NA,2,NA,65,NA
cell_247,8,2,2,NA,NA,5,9,2,2,2,65,2
cell_248,8,2,2,3,11,NA,9,NA,NA,0,NA,2
cell_249,4,NA,2,3,11,5,9,2,2,9,65,0
cell_250,NA,2,NA,NA,11,NA,NA,2,2,9,NA,0
cell_251,4,2,2,NA,11,NA,9,2,NA,9,65,0
cell_252,NA,2,NA,3,NA,5,9,NA,2,9,65,0
cell_253,NA,2,2,3,11,5,9,2,2,5,65,0
cell_254,4,NA,2,3,11,NA,9,NA,2,5,65,0
cell_255,4,2,2,NA,11,NA,9,2,2,5,65,NA
cell_256,4,2,NA,3,11,NA,9,2,2,5,65,0
cell_257,2,NA,0,3,4,NA,69,NA,0,4,NA,2
cell_258,2,2,NA,NA,4,2,69,2,0,4,2,2
cell_259,2,2,0,3,4,2,NA,2,0,4,NA,2
cell_260,2,2,0,3,4,2,69,NA,3,4,2,2
cell_261,NA,2,0,NA,4,2,69,NA,2,4,2,NA
cell_262,2,2,0,3,4,NA,69,NA,0,4,NA,2
cell_263,2,2,0,3,4,NA,NA,2,3,4,2,2
cell_264,2,2,NA,3,4,2,NA,2,11,4,2,2
cell_265,0,2,0,3,0,2,69,2,2,NA,NA,2
cell_266,5,2,0,NA,2,2,69,2,2,4,2,2
cell_267,0,2,0,3,NA,2,69,2,2,4,2,2
cell_268,0,2,NA,NA,0,2,69,2,NA,4,2,2
cell_269,3,2,0,3,3,NA,69,2,2,4,2,2
cell_270,3,2,0,3,3,2,69,2,0,4,2,2
cell_271,0,2,0,3,5,NA,69,2,0,4,2,2
cell_272,0,2,0,NA,5,NA,69,2,2,4,2,NA
cell_273,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA
cell_274,0,2,2,3,NA,NA,NA,NA,NA,NA,2,2
cell_275,NA,2,2,3,0,2,69,3,3,4,NA,2
cell_276,0,NA,2,3,28,2,69,3,3,4,2,2
cell_277,NA,2,2,NA,NA,2,69,NA,0,4,2,2
cell_278,NA,2,2,3,0,2,69,3,9,4,2,2
cell_279,NA,2,2,NA,21,2,69,3,0,4,2,2
cell_280,0,2,2,3,0,2,NA,3,0,4,2,2
cell_281,NA,2,2,3,NA,2,69,NA,3,NA,2,2
cell_282,0,2,2,NA,0,2,NA,NA,3,4,2,2
cell_283,0,2,2,3,0,2,69,3,NA,4,2,2
cell_284,0,2,2,3,2,2,69,3,3,4,NA,2
cell_285,0,2,2,3,8,2,69,3,2,4,2,2
cell_286,0,2,2,3,8,2,69,3,NA,NA,2,2
cell_287,NA,NA,2,3,8,2,NA,NA,0,4,2,2
cell_288,0,2,2,3,8,2,NA,3,0,4,NA,2
cell_289,NA,2,0,NA,2,NA,NA,2,0,4,0,0
cell_290,0,2,0,3,2,2,NA,2,51,4,NA,0
cell_291,0,2,0,NA,2,2,69,NA,2,NA,NA,3
cell_292,0,2,0,3,2,2,NA,2,2,4,0,NA
cell_293,0,NA,0,3,2,NA,69,NA,2,4,0,0
cell_294,0,2,2,3,2,2,69,NA,2,4,0,NA
cell_295,NA,2,5,3,NA,2,NA,2,2,NA,0,0
cell_296,0,2,5,NA,NA,2,NA,2,2,4,0,2
