cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_1	2	74	2	3	3	0	2	2	2	0	5	8
cell_2	2	74	0	3	3	0	2	2	2	0	5	8
cell_3	2	74	0	3	3	0	2	2	2	0	5	0
cell_4	2	74	0	3	3	0	0	2	2	0	5	0
cell_5	2	74	0	3	3	2	0	2	2	0	5	2
cell_6	2	74	0	3	3	2	0	2	2	0	5	0
cell_7	2	74	0	3	3	2	5	2	2	2	5	0
cell_8	2	74	0	3	3	2	5	2	2	2	5	0
cell_9	2	74	0	3	3	0	0	2	2	0	5	0
cell_10	2	74	0	3	3	0	0	2	2	3	5	0
cell_11	2	74	0	3	3	0	0	2	2	0	5	0
cell_12	2	74	0	3	3	0	0	2	2	0	5	0
cell_13	2	74	5	3	3	0	0	2	2	0	5	0
cell_14	2	74	0	3	3	0	0	2	2	0	5	0
cell_15	2	74	0	3	3	0	2	2	2	2	5	0
cell_16	2	74	0	3	3	0	0	2	2	9	5	0
cell_17	2	74	4	3	3	0	0	0	2	3	0	0
cell_18	2	74	4	3	3	0	0	0	2	3	0	5
cell_19	2	74	4	3	3	0	0	0	2	3	0	0
cell_20	2	74	4	3	3	0	0	0	2	3	0	0
cell_21	2	74	4	3	3	0	8	3	2	3	3	0
cell_22	2	74	4	3	3	2	2	0	2	3	3	0
cell_23	2	74	4	3	3	0	0	0	2	3	0	0
cell_24	2	74	4	3	3	0	0	0	2	3	0	0
cell_25	2	74	0	3	3	0	0	0	2	3	0	0
cell_26	2	74	0	3	3	0	0	0	2	3	0	0
cell_27	2	74	0	3	3	0	0	5	2	3	0	2
cell_28	2	74	0	3	3	0	0	5	2	3	0	0
cell_29	2	74	0	3	3	5	2	0	2	3	0	0
cell_30	2	74	0	3	3	5	0	0	2	3	0	0
cell_31	2	74	0	3	3	5	0	0	2	3	0	0
cell_32	2	74	0	3	3	5	0	0	2	3	0	0
cell_33	3	74	0	3	3	12	2	4	2	0	0	0
cell_34	3	74	5	3	3	12	2	4	2	0	0	0
cell_35	3	74	0	3	3	12	2	4	2	0	0	0
cell_36	3	74	0	3	3	12	2	4	2	0	0	0
cell_37	3	74	4	3	3	12	2	4	2	0	0	0
cell_38	3	74	4	3	3	12	2	4	2	0	0	0
cell_39	3	74	4	3	3	12	2	4	2	2	0	0
cell_40	3	74	4	3	3	12	2	4	2	0	0	0
cell_41	3	74	49	3	3	12	2	4	2	3	3	0
cell_42	3	74	0	3	3	12	2	4	2	3	3	0
cell_43	3	74	2	3	3	12	2	4	2	3	3	0
cell_44	3	74	0	3	3	12	2	4	2	3	3	0
cell_45	3	74	0	3	3	12	2	4	2	0	0	0
cell_46	3	74	0	3	3	12	2	4	2	0	0	0
cell_47	3	74	0	3	3	12	2	4	2	0	0	0
cell_48	3	74	0	3	3	12	2	4	2	0	0	0
cell_49	0	74	0	3	3	12	0	4	2	4	0	11
cell_50	0	74	0	3	3	12	0	4	2	4	0	11
cell_51	0	74	2	3	3	12	0	4	2	4	0	11
cell_52	0	74	2	3	3	12	0	4	2	4	0	11
cell_53	0	74	2	3	3	12	0	4	2	4	0	11
cell_54	2	74	2	3	3	12	0	4	2	4	0	11
cell_55	0	74	2	3	3	12	0	4	2	4	0	11
cell_56	0	74	2	3	3	12	0	4	2	4	0	11
cell_57	2	74	0	3	3	12	0	4	2	0	0	11
cell_58	0	74	2	3	3	12	0	4	2	0	2	11
cell_59	0	74	0	3	3	12	2	4	2	0	2	11
cell_60	0	74	0	3	3	12	0	4	2	5	2	11
cell_61	0	74	0	3	3	12	7	4	2	0	0	11
cell_62	2	74	0	3	3	12	7	4	2	0	0	11
cell_63	0	74	0	3	3	12	7	4	2	0	0	11
cell_64	0	74	0	3	3	12	7	4	2	0	0	11
cell_65	0	2	2	3	3	2	2	5	2	2	4	2
cell_66	0	2	0	3	3	0	2	5	2	2	4	0
cell_67	0	2	3	3	3	0	2	5	2	2	4	3
cell_68	0	2	0	3	3	0	2	5	2	2	4	0
cell_69	6	2	0	3	3	0	2	5	2	2	4	0
cell_70	0	2	0	3	3	2	2	5	2	2	4	2
cell_71	0	2	0	3	3	0	2	5	2	2	4	0
cell_72	0	2	0	3	3	0	2	5	2	2	4	2
cell_73	2	2	0	3	3	2	2	5	2	5	0	0
cell_74	2	2	0	3	3	2	2	5	2	5	0	0
cell_75	0	2	0	3	3	2	2	5	2	5	3	0
cell_76	0	2	0	3	3	2	2	5	2	5	0	0
cell_77	0	2	0	3	3	2	2	5	2	5	0	0
cell_78	0	2	0	3	3	2	2	5	2	5	0	0
cell_79	2	2	0	3	3	2	2	5	2	5	2	0
cell_80	0	2	0	3	3	2	2	5	2	5	2	0
cell_81	0	2	26	3	3	2	2	5	2	0	0	3
cell_82	0	2	26	3	3	2	2	5	2	0	0	3
cell_83	0	2	0	3	3	0	2	5	2	0	0	3
cell_84	0	2	0	3	3	0	2	5	2	0	0	3
cell_85	0	2	2	3	3	0	2	5	2	11	0	3
cell_86	0	2	2	3	3	0	2	5	2	11	0	3
cell_87	0	2	2	3	3	0	2	5	2	0	0	3
cell_88	0	2	2	3	3	0	2	5	2	0	2	3
cell_89	2	2	2	3	3	0	2	5	2	2	0	3
cell_90	0	2	2	3	3	0	2	5	2	2	0	3
cell_91	0	2	2	3	3	2	2	5	2	2	2	3
cell_92	0	2	0	3	3	2	2	5	2	2	2	3
cell_93	0	2	0	3	3	0	2	5	2	2	2	3
cell_94	0	2	0	3	3	0	2	5	2	2	0	3
cell_95	0	2	0	3	3	0	2	5	2	2	0	3
cell_96	0	2	0	3	3	0	2	5	2	2	0	3
cell_97	3	0	2	3	3	2	0	5	2	0	2	2
cell_98	0	0	2	3	3	2	0	5	2	0	2	2
cell_99	4	0	2	3	3	2	0	5	2	0	6	2
cell_100	0	0	2	3	3	2	0	5	2	0	2	2
cell_101	0	2	2	3	3	2	0	5	2	0	0	2
cell_102	0	2	2	3	3	2	0	5	2	0	0	2
cell_103	0	2	2	3	3	2	0	5	2	0	0	2
cell_104	0	2	2	3	3	2	0	5	2	0	0	2
cell_105	0	2	2	3	3	2	0	5	2	0	3	0
cell_106	0	2	2	3	3	2	0	5	2	0	3	0
cell_107	2	2	2	3	3	2	0	5	2	2	3	0
cell_108	2	2	2	3	3	2	0	5	2	2	3	0
cell_109	2	0	2	3	3	2	49	5	2	0	2	0
cell_110	2	0	2	3	3	2	49	5	2	0	2	15
cell_111	2	0	2	3	3	2	0	5	2	2	5	0
cell_112	2	0	2	3	3	2	0	5	2	0	0	0
cell_113	27	2	2	3	3	2	2	5	2	0	0	0
cell_114	27	0	2	3	3	2	2	5	2	0	0	0
cell_115	27	0	2	3	3	2	2	5	2	0	0	2
cell_116	27	0	2	3	3	2	2	5	2	0	0	0
cell_117	27	0	2	3	3	2	2	5	2	0	2	0
cell_118	27	0	2	3	3	2	2	5	2	0	2	0
cell_119	27	0	2	3	3	2	2	5	2	0	2	0
cell_120	27	0	2	3	3	2	2	5	2	2	2	0
cell_121	27	0	2	3	3	2	5	5	2	0	0	3
cell_122	27	2	2	3	3	2	5	5	2	0	0	3
cell_123	27	0	2	3	3	2	5	5	2	0	0	0
cell_124	27	0	2	3	3	2	5	5	2	0	0	0
cell_125	27	2	2	3	3	2	4	5	2	3	0	0
cell_126	27	0	2	3	3	2	4	5	2	3	0	0
cell_127	27	5	2	3	3	2	5	5	2	3	0	0
cell_128	27	0	2	3	3	2	5	5	2	3	0	0
cell_129	2	0	0	2	3	2	3	4	2	6	2	0
cell_130	2	0	0	2	3	2	0	4	2	6	2	0
cell_131	2	0	0	2	3	2	0	4	2	6	2	0
cell_132	2	0	0	2	3	2	0	4	2	6	2	0
cell_133	2	0	0	2	3	19	0	4	2	6	4	0
