cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_109,2,0,-,12,0,2,-,4,0,0,2,-
cell_110,2,0,0,12,0,2,4,0,-,0,2,2
cell_111,2,0,0,-,-,2,4,-,5,0,2,2
cell_112,2,-,0,12,2,-,-,0,-,0,2,2
cell_113,0,0,3,12,0,2,4,0,0,2,2,-
cell_114,0,0,-,-,0,2,4,0,0,-,2,2
cell_115,0,0,3,12,0,2,4,0,0,2,2,2
cell_116,0,0,3,12,-,2,-,19,-,2,2,2
cell_117,0,2,3,12,0,2,-,0,0,2,2,-
cell_118,-,2,-,12,0,2,4,0,0,-,2,2
cell_119,-,2,3,12,0,2,-,0,2,2,2,2
cell_120,-,-,-,-,0,2,4,0,2,-,-,2
cell_121,-,-,3,12,2,2,4,0,5,-,2,2
cell_122,0,2,3,12,-,-,4,0,0,2,2,2
cell_123,0,-,3,12,0,2,-,-,0,2,2,2
cell_124,0,0,3,-,0,-,4,-,0,2,-,-
cell_125,0,0,-,12,-,2,4,3,0,2,2,2
cell_126,0,0,3,12,5,2,4,2,0,2,-,2
cell_127,0,10,3,12,5,2,-,34,0,2,2,2
cell_128,-,-,3,12,-,2,4,-,-,2,2,2
cell_129,-,-,-,0,-,2,-,9,-,-,2,2
cell_130,0,0,0,0,-,-,4,9,-,0,-,2
cell_131,0,3,4,0,5,2,4,-,2,0,2,2
cell_132,-,3,4,0,-,2,4,-,2,0,-,2
cell_133,0,-,82,0,5,2,4,0,4,2,2,2
cell_134,-,15,82,0,5,2,4,-,4,-,2,2
cell_135,0,-,-,-,5,2,4,0,4,-,-,2
cell_136,0,12,-,0,5,-,4,-,4,0,2,2
cell_137,0,0,2,0,5,2,4,2,0,0,0,2
cell_138,-,0,2,-,5,-,-,2,0,0,0,2
cell_139,5,-,2,0,5,2,4,-,0,0,-,2
cell_140,0,0,2,0,5,-,4,2,0,0,0,2
cell_141,0,0,2,0,5,-,4,2,2,0,-,2
cell_142,8,0,2,-,5,2,4,2,2,2,0,2
cell_143,0,0,2,0,-,2,4,2,0,0,-,2
cell_144,0,0,-,0,5,2,-,2,-,0,0,2
cell_145,0,0,0,2,5,-,-,3,0,0,0,2
cell_146,0,-,5,2,5,-,4,3,0,-,0,-
cell_147,0,0,0,0,-,2,4,-,-,0,-,2
cell_148,0,0,0,0,5,2,4,2,0,0,0,2
cell_149,-,0,0,0,5,2,4,0,0,2,0,2
cell_150,0,0,0,0,5,2,4,0,0,2,0,2
cell_151,0,0,0,-,-,2,4,0,0,2,-,2
cell_152,0,-,0,-,5,2,4,0,2,2,-,-
cell_153,3,0,10,0,5,2,-,5,3,0,3,2
cell_154,-,0,0,-,5,2,4,5,0,-,3,2
cell_155,3,0,0,8,5,2,4,4,-,-,3,2
cell_156,3,-,0,8,5,2,4,4,-,0,3,-
cell_157,5,-,2,4,5,2,4,3,0,0,3,2
cell_158,0,0,2,-,5,-,4,-,0,0,-,2
cell_159,0,0,2,4,5,2,4,0,0,0,3,-
cell_160,0,-,2,4,5,2,4,3,0,0,-,-
cell_161,0,0,5,8,5,2,4,2,0,0,2,-
cell_162,-,0,-,-,5,2,4,2,0,0,0,2
cell_163,0,3,-,8,5,2,4,2,0,0,0,2
cell_164,0,3,5,-,5,2,-,-,0,5,0,-
cell_165,0,-,5,2,5,2,-,2,2,2,-,-
cell_166,0,0,5,-,5,2,4,2,0,2,2,2
cell_167,0,0,-,2,5,2,-,2,0,-,0,2
cell_168,0,0,5,2,5,2,4,2,-,-,0,2
cell_169,2,0,5,0,5,2,4,0,0,0,0,2
cell_170,2,0,5,2,-,-,4,2,0,0,-,-
cell_171,-,0,5,-,5,-,4,0,0,-,0,2
cell_172,2,2,5,-,5,2,4,0,0,0,0,2
cell_173,0,2,5,-,5,2,4,0,0,0,0,2
cell_174,0,2,5,0,5,2,4,0,0,-,0,2
cell_175,0,0,5,0,5,-,4,-,0,-,2,2
cell_176,0,-,5,0,5,2,4,0,0,3,2,-
cell_177,3,-,-,4,-,-,4,0,-,30,0,2
cell_178,3,19,5,4,5,2,4,-,-,-,0,-
cell_179,3,19,5,4,5,2,4,12,0,-,0,2
cell_180,3,19,-,4,5,2,-,0,-,30,-,2
cell_181,3,19,5,2,5,2,4,-,0,0,0,2
cell_182,3,-,5,2,5,2,4,3,0,-,0,2
cell_183,3,19,-,0,5,2,4,0,-,0,0,-
cell_184,3,19,5,-,5,-,4,0,-,0,0,-
cell_185,0,19,-,0,5,2,4,0,2,0,-,2
cell_186,-,19,5,0,5,2,4,0,-,0,0,2
cell_187,0,-,-,0,5,2,4,0,0,0,-,2
cell_188,-,-,5,-,5,2,4,0,0,0,0,-
cell_189,0,19,5,-,5,2,4,0,0,2,0,-
cell_190,0,19,5,-,-,2,4,0,-,2,0,-
cell_191,-,19,5,4,5,-,-,0,0,0,0,2
cell_192,-,19,5,0,5,-,4,0,0,2,0,-
cell_193,5,0,2,0,5,2,4,0,0,0,0,2
cell_194,-,0,-,0,5,2,4,2,-,-,4,-
cell_195,5,0,2,0,5,-,4,-,0,0,0,-
cell_196,5,0,-,0,5,2,4,3,2,0,0,2
cell_197,5,2,2,2,5,-,4,0,-,-,0,-
cell_198,5,2,2,2,5,2,-,2,0,0,0,2
cell_199,5,2,2,0,5,2,4,0,0,0,0,2
cell_200,5,2,2,2,-,-,4,0,2,0,0,2
cell_201,5,0,2,0,-,2,4,-,3,0,4,-
cell_202,5,0,2,0,-,2,4,2,3,3,4,2
cell_203,5,0,2,3,5,2,4,0,3,0,-,2
cell_204,5,0,2,3,-,2,4,0,3,0,0,-
cell_205,5,2,2,0,5,-,4,0,-,4,-,2
cell_206,-,2,2,0,5,2,4,0,3,4,-,2
cell_207,5,0,2,0,5,2,-,0,3,-,2,2
cell_208,-,0,-,-,-,2,4,0,-,-,2,2
cell_209,5,0,-,2,5,2,-,-,0,-,2,-
cell_210,5,-,2,2,-,-,4,-,-,4,0,2
cell_211,5,-,2,2,-,2,4,0,0,4,0,2
cell_212,-,0,2,2,5,2,4,0,0,4,2,2
cell_213,5,-,-,2,5,-,4,4,0,0,5,2
cell_214,-,0,-,2,5,2,4,0,2,0,0,2
cell_215,5,0,2,-,5,2,4,0,0,-,-,2
cell_216,5,0,2,2,5,2,4,0,0,3,2,2
cell_217,5,2,2,0,5,2,4,2,0,-,0,-
cell_218,-,-,2,0,5,2,4,2,0,0,0,2
cell_219,5,2,2,0,-,2,4,2,0,0,0,2
cell_220,5,2,2,0,5,2,4,2,5,0,0,2
cell_221,5,-,2,0,-,2,-,-,2,0,-,2
cell_222,5,0,2,0,5,2,4,0,2,2,0,-
cell_223,5,0,2,0,5,2,4,0,2,-,-,-
cell_224,-,-,2,0,-,-,-,0,2,0,0,2
cell_225,0,-,3,2,5,-,4,2,0,0,-,2
cell_226,0,3,3,2,-,2,4,2,0,-,2,-
cell_227,10,3,2,2,5,2,4,2,0,0,-,2
cell_228,10,-,-,2,5,-,-,-,0,3,2,2
cell_229,-,3,-,-,-,2,4,2,0,0,0,-
cell_230,2,-,-,2,5,2,4,2,0,-,0,-
cell_231,-,3,0,-,5,2,4,2,0,0,-,2
cell_232,0,-,-,0,5,2,4,2,3,0,0,2
cell_233,-,3,0,0,-,2,4,2,0,0,5,2
cell_234,-,3,0,0,-,2,4,2,-,0,5,2
cell_235,0,3,0,0,5,2,4,2,0,-,5,2
cell_236,0,3,-,0,5,-,4,-,0,42,-,2
cell_237,6,3,4,-,5,2,4,2,0,-,5,2
cell_238,6,-,4,0,5,2,4,-,0,0,-,2
cell_239,6,3,-,0,5,2,-,2,-,-,5,-
cell_240,-,3,0,0,5,2,4,2,0,0,5,2
cell_241,-,2,0,0,5,2,4,3,0,8,0,2
cell_242,-,-,0,0,5,2,-,0,-,8,4,2
cell_243,-,0,0,0,5,2,4,0,0,-,-,2
cell_244,0,0,0,0,5,2,4,-,-,8,0,2
cell_245,2,0,2,-,5,2,-,0,0,8,0,-
cell_246,-,0,0,3,5,2,4,2,-,8,0,2
cell_247,4,0,0,0,-,2,4,0,0,8,0,2
cell_248,4,0,0,2,5,2,4,0,0,8,0,-
cell_249,113,0,0,0,5,2,4,0,-,-,-,2
cell_250,0,0,0,0,5,2,4,-,0,8,-,2
cell_251,0,0,0,0,-,2,4,-,0,8,2,2
cell_252,0,0,0,-,5,2,4,0,0,8,0,2
cell_253,2,0,2,0,5,-,4,22,0,-,0,2
cell_254,-,-,2,0,-,2,4,22,0,8,0,-
cell_255,2,0,2,0,-,2,4,-,-,8,0,-
cell_256,-,0,2,0,5,-,4,-,0,8,2,2
cell_257,0,0,0,2,2,0,4,5,3,-,2,-
cell_258,-,0,-,2,2,0,-,5,-,2,2,-
cell_259,0,0,0,-,2,0,4,5,-,2,2,-
cell_260,0,-,-,-,2,0,-,5,3,-,2,8
cell_261,0,4,0,2,2,0,4,5,0,2,2,8
cell_262,0,4,0,2,-,0,4,5,0,2,-,8
cell_263,0,0,0,2,2,0,4,5,0,-,2,8
cell_264,0,-,0,2,2,0,4,-,0,2,2,8
cell_265,7,3,0,2,2,0,-,5,0,2,2,0
cell_266,7,3,0,2,2,0,4,5,0,-,2,0
cell_267,-,-,0,2,2,2,-,5,0,2,2,0
cell_268,7,3,0,2,2,2,-,-,-,2,-,0
cell_269,0,3,23,-,2,-,4,5,-,2,2,0
cell_270,0,3,-,2,-,-,4,5,2,2,-,0
cell_271,-,3,23,2,2,0,4,-,-,2,2,0
cell_272,0,3,23,2,2,0,4,5,0,2,2,0
cell_273,-,0,0,2,2,3,4,0,14,-,2,2
cell_274,2,0,0,2,2,-,4,0,0,2,2,2
cell_275,0,2,-,2,2,-,4,2,0,2,2,-
cell_276,0,2,0,2,-,3,4,2,-,2,-,2
cell_277,-,2,-,2,-,3,4,0,0,2,-,2
cell_278,0,-,2,2,2,-,-,-,0,-,2,2
cell_279,2,0,-,2,2,3,4,-,3,2,2,-
cell_280,2,0,0,2,2,3,4,0,3,2,2,2
cell_281,0,-,-,2,2,3,-,0,0,2,-,0
cell_282,0,0,0,-,2,3,4,0,0,2,2,-
cell_283,0,-,0,-,2,3,-,0,0,-,-,5
cell_284,0,0,-,2,2,3,4,0,0,2,-,5
cell_285,0,-,0,2,2,3,4,0,2,-,2,0
cell_286,0,-,0,2,2,3,4,0,2,2,2,0
cell_287,0,0,0,2,2,3,4,0,2,2,-,4
cell_288,0,0,0,2,-,3,4,0,2,2,2,0
