cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
cell_1	-	19	2	-	2	14	-	2	5	0	-	3	2	5	2	2
cell_2	2	19	2	5	2	14	-	2	5	5	11	-	2	5	2	2
cell_3	2	19	2	5	2	14	2	2	5	0	11	3	-	-	2	2
cell_4	2	19	2	5	2	14	2	-	-	0	-	3	2	-	2	2
cell_5	2	19	2	5	2	-	-	2	-	45	11	3	2	5	5	2
cell_6	2	19	2	5	2	-	2	2	5	45	11	-	2	5	2	2
cell_7	2	-	2	5	2	14	2	2	-	45	11	3	2	5	0	-
cell_8	2	19	2	5	2	14	-	-	5	45	11	3	2	5	0	2
cell_9	2	19	2	5	2	14	-	2	5	0	-	3	2	5	2	-
cell_10	2	19	2	5	-	14	2	2	-	-	11	3	2	5	-	2
cell_11	2	19	2	5	2	14	2	2	5	-	11	3	2	5	2	2
cell_12	2	-	2	5	2	14	2	-	5	0	11	3	2	5	2	2
cell_13	2	19	-	-	2	14	2	-	5	-	-	3	2	5	-	2
cell_14	2	19	-	-	2	14	2	2	-	-	-	-	-	5	5	2
cell_15	2	19	-	5	2	14	2	-	5	5	11	3	2	5	-	2
cell_16	2	19	2	-	2	14	2	2	-	5	11	3	2	5	5	-
cell_17	2	19	2	5	-	14	-	-	-	2	-	2	2	5	3	0
cell_18	2	19	-	-	2	14	2	2	5	2	2	2	2	5	3	-
cell_19	2	19	-	5	2	14	2	2	5	2	0	2	2	5	-	0
cell_20	2	19	2	5	-	14	2	2	5	2	5	-	2	5	-	-
cell_21	-	19	2	5	-	14	2	2	-	2	2	2	2	5	3	-
cell_22	2	19	2	5	-	14	2	-	5	2	0	-	2	5	3	10
cell_23	2	19	2	-	2	14	2	2	-	-	0	2	-	5	3	-
cell_24	2	19	2	5	-	14	2	2	5	2	0	-	2	5	3	5
cell_25	2	-	2	5	-	14	2	2	-	5	3	2	2	5	2	8
cell_26	2	19	2	5	2	14	2	2	5	5	3	0	2	5	2	8
cell_27	2	19	2	5	2	-	-	2	-	5	-	0	2	-	0	-
cell_28	2	19	-	5	2	-	2	2	5	5	3	0	-	5	0	0
cell_29	2	19	2	5	-	14	2	2	5	5	3	5	2	5	2	0
cell_30	2	-	2	5	2	-	2	2	5	5	3	0	-	5	2	0
cell_31	2	19	2	5	2	-	2	-	5	5	-	0	2	5	2	0
cell_32	2	19	2	5	2	14	2	2	5	5	3	0	2	-	2	5
cell_33	2	19	-	5	2	0	-	2	0	2	4	0	-	5	-	5
cell_34	-	19	2	-	2	0	2	-	0	2	0	0	0	5	0	-
cell_35	2	19	-	-	-	2	2	2	0	-	5	0	0	5	0	-
cell_36	2	19	2	5	2	-	2	2	0	-	-	2	2	5	0	5
cell_37	2	19	2	5	2	4	2	2	2	-	0	0	2	-	2	5
cell_38	2	19	2	-	-	-	-	2	2	4	2	0	0	-	-	5
cell_39	2	19	2	5	2	-	-	2	2	2	0	0	0	-	-	-
cell_40	2	-	-	5	2	0	2	2	2	2	0	-	-	5	0	5
cell_41	2	19	2	5	2	-	-	-	0	-	0	2	8	5	0	5
cell_42	2	-	2	5	2	2	2	-	3	4	0	0	8	5	0	5
cell_43	2	19	2	-	2	-	-	-	2	2	-	0	0	-	0	5
cell_44	2	19	-	5	-	2	2	2	2	2	0	-	0	5	0	5
cell_45	2	19	2	-	2	-	2	-	0	2	-	0	5	5	5	5
cell_46	2	19	2	5	-	2	-	2	0	-	0	0	-	5	5	5
cell_47	2	19	2	5	2	2	2	2	2	5	0	0	5	5	2	5
cell_48	-	19	2	5	2	2	2	2	2	-	0	0	5	5	-	-
cell_49	2	19	2	5	2	0	-	2	-	-	-	-	2	-	2	10
cell_50	2	19	2	-	2	0	2	2	-	-	-	-	0	5	2	10
cell_51	-	19	2	5	-	2	2	2	-	-	-	-	0	5	2	10
cell_52	2	19	2	-	2	2	2	2	-	-	-	-	0	5	2	10
cell_53	-	19	2	-	2	0	2	2	-	-	-	-	-	5	2	2
cell_54	2	-	2	5	2	0	2	2	-	-	-	-	2	-	2	2
cell_55	2	19	2	5	-	3	2	2	-	-	-	-	2	5	2	2
cell_56	2	19	2	5	2	-	2	-	-	-	-	-	-	-	2	2
cell_57	2	19	2	5	2	3	2	2	0	2	0	5	10	-	2	0
cell_58	2	19	2	5	-	3	2	2	0	2	0	5	10	5	-	-
cell_59	-	19	2	-	2	-	2	2	-	2	0	0	10	-	2	-
