,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,0,NA,NA,3,NA,2,5,NA,3,2,4,2
cell_2,0,2,3,3,2,2,5,4,3,2,4,2
cell_3,2,2,NA,3,2,NA,5,4,3,2,4,NA
cell_4,2,2,3,NA,NA,2,5,4,3,2,NA,2
cell_5,3,2,3,3,NA,2,5,4,NA,NA,4,NA
cell_6,3,2,3,NA,2,2,5,NA,3,2,NA,2
cell_7,3,2,NA,NA,2,2,5,4,3,2,4,NA
cell_8,3,NA,3,3,2,2,NA,4,NA,2,4,NA
cell_9,2,2,3,3,2,2,5,4,3,2,4,2
cell_10,NA,NA,3,NA,2,2,5,4,3,2,4,NA
cell_11,NA,2,3,3,2,2,5,4,3,2,NA,2
cell_12,0,2,3,3,2,2,5,NA,NA,2,NA,2
cell_13,8,2,3,3,2,2,NA,NA,3,2,4,2
cell_14,NA,NA,3,NA,2,2,5,4,3,2,NA,NA
cell_15,0,2,3,3,2,2,NA,NA,3,NA,4,2
cell_16,0,2,3,NA,2,2,NA,4,3,2,4,2
cell_17,2,2,3,3,NA,2,5,4,3,NA,4,2
cell_18,NA,2,3,3,2,NA,5,NA,NA,2,4,2
cell_19,2,2,3,3,NA,2,5,NA,3,2,4,2
cell_20,2,2,3,3,NA,NA,NA,4,3,2,4,2
cell_21,2,2,3,NA,2,NA,5,4,3,10,NA,2
cell_22,2,2,3,3,2,2,5,4,3,10,4,2
cell_23,2,2,3,3,2,2,5,4,3,10,4,2
cell_24,2,2,3,NA,2,2,NA,4,3,10,4,NA
cell_25,NA,2,NA,3,2,2,5,4,3,NA,NA,2
cell_26,NA,NA,NA,3,2,2,NA,NA,3,2,4,2
cell_27,2,2,3,3,2,NA,5,4,3,0,4,2
cell_28,2,2,3,3,2,2,5,4,3,5,4,2
cell_29,NA,2,3,NA,2,2,5,NA,NA,5,4,NA
cell_30,0,2,3,3,2,2,5,4,3,5,4,NA
cell_31,NA,2,3,3,2,2,5,4,3,0,NA,2
cell_32,2,2,3,NA,2,2,5,4,NA,2,4,2
cell_33,2,2,3,3,2,2,NA,4,3,5,NA,NA
cell_34,2,NA,3,3,2,2,NA,4,NA,5,4,NA
cell_35,NA,NA,NA,3,2,2,5,NA,3,NA,4,2
cell_36,2,2,NA,3,2,2,5,NA,3,5,4,2
cell_37,2,NA,3,NA,2,2,5,NA,3,5,4,NA
