task_name,condition,method_or_setting,metric_name,metric_label,metric_value
FateScape_AlphaSensitivity,default,state0p00_barcode1p00,Nye,Nye similarity score,0.449982072664623
FateScape_AlphaSensitivity,default,state0p00_barcode1p00,Nye,Nye similarity score,0.459282751057687
FateScape_AlphaSensitivity,default,state0p00_barcode1p00,Nye,Nye similarity score,0.46204396881021
FateScape_AlphaSensitivity,default,state0p00_barcode1p00,Nye,Nye similarity score,0.44306718710687
FateScape_AlphaSensitivity,default,state0p00_barcode1p00,Nye,Nye similarity score,0.425864969920878
FateScape_AlphaSensitivity,default,state0p00_barcode1p00,Nye,Nye similarity score,0.444139568360683
FateScape_AlphaSensitivity,dropout_stress,state0p00_barcode1p00,Nye,Nye similarity score,0.399376097002612
FateScape_AlphaSensitivity,dropout_stress,state0p00_barcode1p00,Nye,Nye similarity score,0.398121231830265
FateScape_AlphaSensitivity,dropout_stress,state0p00_barcode1p00,Nye,Nye similarity score,0.403751208477406
FateScape_AlphaSensitivity,dropout_stress,state0p00_barcode1p00,Nye,Nye similarity score,0.41791116152767
FateScape_AlphaSensitivity,dropout_stress,state0p00_barcode1p00,Nye,Nye similarity score,0.389116514285871
FateScape_AlphaSensitivity,dropout_stress,state0p00_barcode1p00,Nye,Nye similarity score,0.395827722988683
FateScape_AlphaSensitivity,default,state0p05_barcode0p95,Nye,Nye similarity score,0.446600341583916
FateScape_AlphaSensitivity,default,state0p05_barcode0p95,Nye,Nye similarity score,0.464573007281846
FateScape_AlphaSensitivity,default,state0p05_barcode0p95,Nye,Nye similarity score,0.46472981143217
FateScape_AlphaSensitivity,default,state0p05_barcode0p95,Nye,Nye similarity score,0.44788134934103
FateScape_AlphaSensitivity,default,state0p05_barcode0p95,Nye,Nye similarity score,0.427933059730363
FateScape_AlphaSensitivity,default,state0p05_barcode0p95,Nye,Nye similarity score,0.447130741322641
FateScape_AlphaSensitivity,dropout_stress,state0p05_barcode0p95,Nye,Nye similarity score,0.41312803200621
FateScape_AlphaSensitivity,dropout_stress,state0p05_barcode0p95,Nye,Nye similarity score,0.401669212687807
FateScape_AlphaSensitivity,dropout_stress,state0p05_barcode0p95,Nye,Nye similarity score,0.3956254557246
FateScape_AlphaSensitivity,dropout_stress,state0p05_barcode0p95,Nye,Nye similarity score,0.421053383838756
FateScape_AlphaSensitivity,dropout_stress,state0p05_barcode0p95,Nye,Nye similarity score,0.384643513027273
FateScape_AlphaSensitivity,dropout_stress,state0p05_barcode0p95,Nye,Nye similarity score,0.409895241838423
