,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_1,3,3,NA,2,NA,5,0,2,0,0,11,2,3,NA,6,0
cell_2,3,3,NA,2,2,5,0,2,3,0,NA,2,NA,NA,6,0
cell_3,NA,3,NA,2,2,5,0,2,2,5,NA,NA,3,0,NA,5
cell_4,3,3,23,2,2,5,0,2,2,NA,11,2,3,NA,6,5
cell_5,3,3,NA,2,2,NA,5,2,0,0,11,2,NA,0,6,0
cell_6,3,3,23,NA,2,5,0,2,0,0,11,2,3,NA,6,0
cell_7,3,3,23,2,2,NA,3,2,0,0,11,2,3,3,6,0
cell_8,3,3,23,2,2,5,NA,NA,0,0,NA,2,3,3,6,0
cell_9,2,3,23,2,2,5,5,2,0,3,11,2,3,0,NA,0
cell_10,2,3,23,NA,2,5,5,2,0,3,11,2,NA,0,NA,NA
cell_11,0,3,23,NA,2,NA,5,2,0,NA,11,2,3,NA,6,0
cell_12,NA,3,23,2,NA,NA,5,2,2,NA,11,2,NA,5,6,0
cell_13,5,3,NA,2,NA,5,NA,2,2,3,11,2,3,8,6,0
cell_14,5,3,NA,NA,2,5,10,NA,2,NA,11,NA,3,NA,6,NA
cell_15,5,3,23,2,2,NA,NA,2,2,3,11,NA,3,0,6,0
cell_16,5,3,23,2,NA,5,10,NA,2,3,11,2,NA,0,6,0
cell_17,NA,NA,23,2,2,5,0,NA,0,2,NA,2,3,5,6,0
cell_18,NA,3,23,2,2,5,0,2,0,2,11,2,3,5,NA,3
cell_19,11,3,23,2,2,NA,0,2,0,0,NA,2,3,5,6,0
cell_20,11,3,23,2,2,NA,2,2,0,2,NA,2,3,5,6,0
cell_21,11,3,23,2,2,5,NA,NA,NA,0,11,2,3,5,6,0
cell_22,11,3,23,2,NA,NA,NA,NA,NA,5,11,NA,NA,5,6,2
cell_23,NA,3,23,2,NA,5,NA,NA,NA,3,11,2,3,5,6,NA
cell_24,11,NA,NA,2,2,5,NA,NA,NA,3,NA,NA,3,5,6,0
cell_25,11,3,23,2,2,5,13,2,5,NA,11,NA,3,2,NA,2
cell_26,NA,NA,NA,2,2,5,0,2,5,2,11,2,3,2,6,2
cell_27,NA,3,23,2,2,5,5,2,5,2,11,2,3,2,NA,0
cell_28,11,NA,23,2,2,5,0,NA,5,2,11,2,3,2,6,0
cell_29,11,NA,23,NA,2,5,NA,2,5,NA,11,2,3,2,6,NA
cell_30,11,NA,NA,2,2,5,42,2,5,2,11,2,3,2,6,2
cell_31,11,3,23,2,2,NA,0,2,5,NA,11,2,3,2,6,NA
cell_32,11,3,23,2,2,5,0,2,5,NA,11,2,NA,2,6,NA
cell_33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11
cell_34,0,3,23,2,2,5,37,3,11,2,11,2,3,NA,6,11
cell_35,NA,3,23,2,NA,5,37,3,11,NA,11,2,3,2,6,NA
cell_36,0,3,23,2,2,NA,37,3,11,2,NA,2,3,2,6,11
cell_37,5,3,23,2,2,5,NA,3,11,2,11,2,3,0,6,11
cell_38,5,3,NA,2,2,5,37,3,11,NA,11,2,3,0,6,11
cell_39,5,3,23,2,2,5,37,NA,NA,2,11,2,3,NA,NA,11
cell_40,5,NA,23,2,NA,NA,37,3,11,2,11,2,3,0,NA,11
cell_41,9,3,23,2,2,5,NA,3,11,2,11,2,3,3,6,11
cell_42,NA,3,23,2,NA,5,37,3,11,2,11,2,NA,0,6,11
cell_43,0,NA,23,2,NA,5,NA,NA,11,2,11,2,3,NA,NA,NA
cell_44,0,3,NA,2,2,NA,NA,3,NA,2,11,NA,3,0,6,NA
cell_45,0,3,23,2,NA,5,37,3,11,NA,11,2,NA,0,6,11
cell_46,0,3,23,2,NA,5,37,NA,11,2,11,NA,3,0,NA,11
cell_47,10,NA,23,2,2,5,37,3,NA,NA,11,NA,3,0,NA,11
cell_48,10,3,23,2,2,5,37,3,11,NA,11,2,3,NA,6,11
cell_49,2,3,NA,2,2,5,37,5,11,2,11,NA,NA,0,6,11
cell_50,2,3,23,2,2,5,37,5,NA,NA,11,2,3,5,6,11
cell_51,2,3,23,2,NA,5,37,5,11,2,11,2,3,0,NA,11
cell_52,NA,3,NA,2,2,NA,NA,5,11,2,11,2,3,2,6,11
cell_53,0,3,23,2,2,5,37,0,11,2,11,2,3,NA,NA,NA
cell_54,0,3,NA,2,NA,5,NA,0,11,NA,NA,2,NA,4,NA,11
cell_55,0,3,23,2,NA,5,37,5,11,2,11,NA,3,4,NA,11
cell_56,0,3,23,NA,2,5,NA,5,11,2,11,2,NA,4,6,11
cell_57,NA,3,23,NA,2,NA,37,NA,11,2,11,NA,3,2,NA,11
cell_58,4,3,23,NA,2,5,37,5,11,NA,11,2,3,2,6,11
cell_59,4,3,23,2,NA,NA,37,NA,11,NA,11,2,3,NA,6,11
cell_60,4,NA,23,2,2,5,37,0,11,2,11,2,3,2,6,11
cell_61,0,3,NA,NA,2,5,37,2,NA,NA,11,2,3,2,6,11
cell_62,0,3,23,2,2,NA,37,2,11,NA,NA,2,NA,2,6,NA
cell_63,0,3,NA,NA,2,NA,37,2,11,2,11,2,3,NA,NA,11
cell_64,0,3,23,NA,2,5,37,2,NA,2,11,2,3,2,NA,11
cell_65,2,3,23,2,2,5,NA,10,4,2,11,2,3,4,6,5
cell_66,NA,3,23,2,2,5,3,NA,4,2,11,2,3,4,6,5
cell_67,2,3,23,2,2,5,3,NA,4,5,11,2,NA,0,6,5
cell_68,2,3,23,2,2,5,NA,10,NA,0,11,2,3,0,6,5
cell_69,2,3,NA,2,NA,5,0,10,4,0,11,2,3,0,6,NA
cell_70,2,NA,NA,2,2,5,NA,NA,4,0,NA,2,3,2,6,5
cell_71,2,3,23,2,2,5,NA,10,4,NA,11,NA,3,0,6,5
cell_72,NA,3,23,2,2,5,NA,10,4,0,11,2,3,NA,6,5
cell_73,0,3,23,2,2,NA,3,10,NA,2,11,2,3,7,6,5
cell_74,0,3,23,2,2,NA,3,10,NA,2,11,2,3,7,NA,5
cell_75,0,3,NA,2,2,5,3,10,4,2,11,2,3,7,NA,NA
cell_76,2,NA,23,2,NA,5,3,10,NA,2,11,2,3,7,6,5
cell_77,0,NA,23,NA,2,5,NA,10,4,0,11,2,3,NA,6,5
cell_78,0,3,23,2,NA,5,3,10,4,0,11,2,3,7,6,5
cell_79,0,NA,23,2,2,5,3,10,NA,2,NA,2,3,NA,6,5
cell_80,5,3,23,2,2,5,3,NA,NA,2,11,2,3,NA,6,5
cell_81,7,3,23,2,2,5,0,NA,4,2,11,NA,3,NA,6,5
cell_82,NA,NA,23,NA,NA,5,NA,NA,4,NA,11,2,3,5,6,5
cell_83,5,3,23,2,2,5,0,NA,4,0,11,NA,NA,5,6,5
cell_84,3,3,23,2,NA,NA,0,10,NA,0,NA,2,3,5,6,5
cell_85,NA,3,23,2,2,NA,0,10,4,0,11,2,3,5,6,5
cell_86,2,NA,23,2,2,5,0,10,NA,0,NA,2,NA,5,6,5
cell_87,0,3,23,2,2,5,0,10,4,2,11,2,3,5,6,5
cell_88,0,3,23,2,2,5,0,NA,4,2,11,NA,3,5,6,5
cell_89,2,3,23,NA,2,NA,0,10,NA,2,11,2,3,5,6,NA
cell_90,2,3,23,NA,2,5,NA,10,4,0,11,2,3,5,NA,5
cell_91,2,3,23,2,2,5,NA,10,4,2,11,2,NA,5,6,5
cell_92,2,NA,23,2,2,5,0,10,4,NA,11,2,3,NA,NA,5
cell_93,2,3,23,NA,2,5,2,10,4,NA,11,2,3,5,6,5
cell_94,2,3,23,2,NA,5,NA,10,4,0,11,2,3,5,NA,NA
cell_95,2,3,23,NA,2,5,0,10,4,2,11,2,3,5,6,5
cell_96,2,3,23,2,2,5,0,10,4,NA,11,2,NA,5,6,5
cell_97,2,3,23,2,2,5,0,2,4,NA,11,2,3,2,6,0
cell_98,0,3,23,2,2,NA,0,NA,4,0,NA,2,3,2,NA,0
cell_99,2,NA,23,NA,2,5,NA,2,NA,0,11,2,3,NA,6,2
cell_100,2,3,NA,2,2,5,0,2,4,0,NA,2,3,NA,6,NA
cell_101,0,3,23,2,NA,5,0,2,4,NA,NA,2,NA,2,6,NA
cell_102,2,3,23,2,2,5,0,NA,4,4,11,2,3,NA,6,0
cell_103,0,NA,23,2,2,5,NA,2,4,0,11,2,3,2,6,3
cell_104,NA,3,23,NA,NA,5,2,2,4,0,11,NA,NA,2,NA,NA
cell_105,19,3,23,2,2,5,5,2,4,0,NA,2,3,NA,6,2
cell_106,19,3,23,NA,2,5,5,2,4,3,11,2,NA,2,6,NA
cell_107,19,3,23,NA,2,5,0,2,NA,2,11,2,3,2,6,0
cell_108,19,3,NA,2,2,NA,0,2,4,2,11,2,3,2,6,2
cell_109,NA,3,23,NA,2,5,2,2,4,0,11,2,3,5,6,0
cell_110,19,3,23,2,2,5,2,2,4,0,11,2,3,5,6,NA
cell_111,NA,NA,23,2,2,5,0,NA,4,2,11,2,3,5,6,0
cell_112,NA,3,23,2,2,5,NA,NA,NA,2,11,2,3,5,NA,NA
cell_113,0,3,23,2,NA,5,0,2,4,0,11,2,3,NA,6,3
cell_114,0,NA,23,2,2,5,0,2,NA,0,NA,2,3,2,NA,3
cell_115,0,3,23,2,2,5,2,2,4,0,11,2,3,NA,6,NA
cell_116,0,NA,NA,2,NA,5,NA,NA,4,NA,11,2,3,0,6,NA
cell_117,74,3,23,2,2,5,NA,2,4,0,11,NA,3,NA,6,3
cell_118,0,NA,23,2,2,5,2,2,4,0,11,NA,NA,NA,6,3
cell_119,0,3,23,2,2,5,NA,2,4,2,11,2,3,5,6,3
cell_120,0,3,NA,NA,2,5,NA,2,4,2,11,NA,3,5,6,3
cell_121,0,3,23,2,2,5,NA,2,4,0,NA,2,3,NA,6,NA
cell_122,0,3,23,NA,NA,5,10,2,NA,0,11,2,3,0,6,3
cell_123,NA,3,23,2,2,5,0,2,4,0,11,NA,3,0,6,3
cell_124,3,3,23,NA,2,NA,0,2,4,NA,11,NA,3,0,6,3
cell_125,NA,NA,23,2,2,5,0,2,4,0,11,2,3,NA,NA,NA
cell_126,0,3,23,2,2,5,0,NA,4,0,11,2,3,7,6,3
cell_127,NA,3,NA,2,NA,5,0,2,4,NA,11,NA,3,0,6,NA
cell_128,0,3,23,2,2,NA,0,2,4,2,11,2,3,NA,NA,3
cell_129,2,3,NA,2,2,5,3,5,NA,0,11,NA,3,NA,6,64
cell_130,2,3,2,2,2,5,3,5,NA,0,11,NA,3,NA,6,64
cell_131,NA,3,2,2,NA,5,NA,5,2,NA,11,2,3,2,6,64
cell_132,2,3,2,2,2,5,3,5,2,0,11,NA,NA,NA,6,64
cell_133,2,3,2,2,2,5,NA,5,2,2,11,2,3,2,6,NA
cell_134,2,3,2,2,NA,5,0,5,2,2,11,2,3,2,6,64
cell_135,2,3,2,2,2,5,16,5,2,2,11,2,3,2,6,64
cell_136,2,NA,2,2,2,NA,0,5,2,2,11,2,3,NA,6,64
cell_137,NA,3,2,2,NA,5,NA,5,NA,0,NA,2,3,2,NA,64
cell_138,0,3,2,2,NA,5,NA,5,2,0,11,2,3,NA,6,64
cell_139,NA,NA,2,2,2,5,0,5,2,0,11,NA,3,2,6,64
cell_140,0,3,2,2,2,5,NA,5,NA,0,11,2,3,0,NA,64
cell_141,2,3,0,2,2,NA,0,5,2,0,NA,2,3,NA,NA,64
cell_142,0,3,NA,2,2,5,NA,5,NA,0,11,2,3,0,6,64
cell_143,0,3,NA,2,2,5,8,5,2,NA,NA,2,3,NA,NA,64
cell_144,3,3,NA,2,2,5,0,5,2,2,11,2,3,0,NA,64
