cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_1	0	-	-	3	-	2	5	-	3	2	4	2
cell_2	0	2	3	3	2	2	5	4	3	2	4	2
cell_3	2	2	-	3	2	-	5	4	3	2	4	-
cell_4	2	2	3	-	-	2	5	4	3	2	-	2
cell_5	3	2	3	3	-	2	5	4	-	-	4	-
cell_6	3	2	3	-	2	2	5	-	3	2	-	2
cell_7	3	2	-	-	2	2	5	4	3	2	4	-
cell_8	3	-	3	3	2	2	-	4	-	2	4	-
cell_9	2	2	3	3	2	2	5	4	3	2	4	2
cell_10	-	-	3	-	2	2	5	4	3	2	4	-
cell_11	-	2	3	3	2	2	5	4	3	2	-	2
cell_12	0	2	3	3	2	2	5	-	-	2	-	2
cell_13	8	2	3	3	2	2	-	-	3	2	4	2
cell_14	-	-	3	-	2	2	5	4	3	2	-	-
cell_15	0	2	3	3	2	2	-	-	3	-	4	2
cell_16	0	2	3	-	2	2	-	4	3	2	4	2
cell_17	2	2	3	3	-	2	5	4	3	-	4	2
cell_18	-	2	3	3	2	-	5	-	-	2	4	2
cell_19	2	2	3	3	-	2	5	-	3	2	4	2
cell_20	2	2	3	3	-	-	-	4	3	2	4	2
cell_21	2	2	3	-	2	-	5	4	3	10	-	2
cell_22	2	2	3	3	2	2	5	4	3	10	4	2
cell_23	2	2	3	3	2	2	5	4	3	10	4	2
cell_24	2	2	3	-	2	2	-	4	3	10	4	-
cell_25	-	2	-	3	2	2	5	4	3	-	-	2
cell_26	-	-	-	3	2	2	-	-	3	2	4	2
cell_27	2	2	3	3	2	-	5	4	3	0	4	2
cell_28	2	2	3	3	2	2	5	4	3	5	4	2
cell_29	-	2	3	-	2	2	5	-	-	5	4	-
cell_30	0	2	3	3	2	2	5	4	3	5	4	-
cell_31	-	2	3	3	2	2	5	4	3	0	-	2
cell_32	2	2	3	-	2	2	5	4	-	2	4	2
cell_33	2	2	3	3	2	2	-	4	3	5	-	-
cell_34	2	-	3	3	2	2	-	4	-	5	4	-
cell_35	-	-	-	3	2	2	5	-	3	-	4	2
cell_36	2	2	-	3	2	2	5	-	3	5	4	2
cell_37	2	-	3	-	2	2	5	-	3	5	4	-
cell_38	-	2	-	3	2	2	5	4	3	-	4	-
cell_39	2	2	3	3	2	2	5	4	3	5	4	2
cell_40	-	2	3	3	2	-	5	4	-	-	4	2
cell_41	2	2	3	3	2	2	5	-	3	5	-	-
cell_42	2	2	3	3	2	2	5	4	3	5	4	2
cell_43	2	2	3	-	2	-	-	4	3	-	4	-
cell_44	2	2	-	3	2	2	5	4	3	5	4	2
cell_45	2	2	3	3	-	-	5	4	-	5	4	2
cell_46	2	2	3	3	-	-	5	4	3	-	4	2
cell_47	2	2	3	3	-	2	5	4	-	5	4	2
cell_48	-	2	-	3	2	2	5	4	3	5	-	-
cell_49	2	2	3	3	2	2	5	4	-	5	4	2
cell_50	2	2	-	3	2	2	5	4	3	5	-	-
cell_51	-	2	-	3	2	2	5	4	3	-	4	2
cell_52	2	2	3	3	-	2	5	4	-	5	4	-
cell_53	2	2	3	3	2	2	5	4	3	5	4	2
cell_54	2	2	3	3	2	2	5	-	3	5	4	2
cell_55	2	-	3	-	2	2	5	4	-	5	4	2
cell_56	2	2	3	3	2	2	-	4	3	5	4	2
cell_57	-	-	3	3	2	-	5	4	-	-	4	2
cell_58	-	2	3	-	2	-	5	4	-	5	4	2
cell_59	2	2	3	-	2	-	5	4	3	5	4	2
cell_60	2	2	3	3	-	2	5	4	-	5	4	-
cell_61	2	2	3	3	2	2	-	4	3	-	4	2
cell_62	2	2	-	3	-	2	-	4	3	5	4	2
cell_63	-	2	3	3	2	2	5	4	-	5	-	2
cell_64	2	2	3	3	2	-	5	4	3	-	4	2
cell_65	2	2	3	-	2	5	5	4	-	4	4	-
cell_66	2	2	3	-	2	5	5	4	3	4	4	2
cell_67	-	2	3	3	2	5	5	4	3	4	4	2
cell_68	2	2	3	3	2	5	-	4	3	4	4	-
cell_69	2	2	3	-	-	-	-	4	3	4	-	2
cell_70	-	2	3	3	2	5	5	4	-	4	4	2
cell_71	2	2	3	-	2	5	5	4	3	4	4	2
cell_72	2	2	3	3	2	5	5	4	3	4	4	2
cell_73	2	2	-	3	2	5	5	4	-	4	4	2
cell_74	2	2	-	3	2	-	5	4	3	4	4	2
cell_75	2	2	3	-	2	5	5	-	3	4	4	2
cell_76	2	2	3	3	2	-	5	4	3	4	4	2
cell_77	2	2	-	3	-	5	-	-	3	4	4	2
cell_78	2	2	3	3	2	5	-	4	3	4	4	2
cell_79	2	-	3	3	2	5	5	4	3	4	4	2
cell_80	-	2	-	-	2	5	5	4	3	4	-	2
cell_81	2	2	3	-	2	5	5	-	3	-	4	2
cell_82	2	-	-	3	2	5	5	4	3	-	4	2
cell_83	2	2	-	3	2	5	5	4	3	4	-	2
cell_84	2	2	3	3	2	5	-	-	-	4	4	-
cell_85	3	2	3	3	2	5	-	4	3	4	4	2
cell_86	-	-	3	-	2	-	5	4	-	4	4	2
cell_87	3	2	3	3	2	5	5	4	-	4	-	2
cell_88	3	-	-	3	2	5	5	4	3	4	4	2
cell_89	8	2	3	3	2	-	5	4	3	4	4	-
cell_90	8	2	3	-	2	5	-	4	3	4	-	2
cell_91	-	2	-	3	2	5	5	4	3	-	-	2
cell_92	2	2	-	3	2	5	5	4	-	4	4	2
cell_93	2	2	-	3	2	5	5	4	3	4	4	2
cell_94	2	2	3	3	2	5	5	4	3	-	4	2
cell_95	-	2	3	3	-	5	5	4	3	-	4	-
cell_96	2	-	3	3	2	5	5	4	3	4	4	-
cell_97	0	2	3	3	2	-	-	4	3	4	4	20
cell_98	0	2	3	-	2	5	-	4	3	4	4	0
cell_99	2	2	-	3	2	5	5	-	3	-	4	5
cell_100	0	2	3	3	2	5	5	4	3	4	4	4
cell_101	0	2	3	3	-	5	-	4	-	-	4	2
cell_102	0	2	-	3	-	5	-	4	3	-	4	0
cell_103	2	2	-	-	2	-	5	4	3	4	4	0
cell_104	0	2	-	3	2	5	5	4	3	4	4	0
cell_105	0	2	3	3	2	5	5	4	-	4	4	2
cell_106	2	2	3	3	2	5	5	4	3	4	4	2
cell_107	0	2	3	3	2	5	5	4	3	4	4	2
cell_108	0	2	3	3	2	5	5	4	3	4	4	2
cell_109	20	2	3	3	2	-	5	4	3	4	4	3
cell_110	-	-	-	-	-	5	5	-	-	4	4	3
cell_111	-	2	3	3	2	5	5	4	3	-	-	12
cell_112	20	2	3	3	2	5	5	4	3	4	4	-
cell_113	2	2	-	3	2	5	5	4	3	-	4	2
cell_114	2	2	3	3	-	5	5	-	3	4	4	2
