,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,9,3,NA,2,93,2,2,2,2,2,5,5
cell_2,9,3,3,NA,93,2,2,2,2,2,5,NA
cell_3,9,NA,3,NA,93,2,2,2,NA,2,5,5
cell_4,9,NA,3,2,NA,2,2,2,2,2,5,NA
cell_5,9,3,NA,2,93,2,NA,2,2,NA,5,5
cell_6,NA,3,NA,2,93,2,2,2,NA,2,5,5
cell_7,9,NA,3,NA,NA,NA,2,2,2,NA,5,5
cell_8,NA,3,NA,2,NA,2,2,2,2,NA,5,5
cell_9,9,3,3,2,93,2,2,NA,2,2,5,NA
cell_10,9,3,3,2,NA,2,NA,2,2,NA,5,5
cell_11,9,3,3,2,NA,2,NA,2,2,2,5,5
cell_12,9,3,3,2,93,2,2,2,2,2,5,5
cell_13,9,3,3,2,93,2,2,2,2,NA,NA,NA
cell_14,NA,3,3,NA,NA,2,2,2,2,2,NA,5
cell_15,9,NA,3,2,NA,2,2,NA,2,2,NA,5
cell_16,9,3,NA,2,93,2,2,2,2,2,5,5
cell_17,9,3,0,2,0,2,2,2,2,NA,5,5
cell_18,NA,3,0,2,0,2,2,NA,NA,2,5,5
cell_19,NA,3,0,2,0,2,2,2,2,NA,NA,5
cell_20,9,3,0,NA,0,2,2,2,2,2,NA,NA
cell_21,NA,3,3,2,4,2,2,2,2,2,5,5
cell_22,NA,3,0,2,4,2,2,NA,NA,2,5,5
cell_23,9,NA,0,2,4,2,NA,NA,2,2,5,5
cell_24,9,3,0,2,4,NA,2,2,2,2,5,5
cell_25,9,3,0,2,2,2,2,2,2,2,5,5
cell_26,NA,3,0,2,NA,2,2,2,2,2,5,5
cell_27,9,NA,0,2,2,NA,2,2,NA,2,5,5
cell_28,9,3,2,NA,2,2,2,2,2,2,5,5
cell_29,9,3,0,NA,2,NA,NA,2,2,2,5,NA
cell_30,9,3,0,2,2,2,NA,2,2,NA,5,5
cell_31,9,3,0,2,NA,2,2,2,2,2,5,5
cell_32,9,3,0,2,2,2,2,2,2,2,NA,5
cell_33,9,3,2,2,2,2,2,NA,2,2,5,0
cell_34,9,3,2,2,2,2,2,2,NA,2,5,0
cell_35,9,3,2,2,2,2,2,2,2,2,5,0
cell_36,9,NA,2,NA,2,2,2,2,2,2,5,0
cell_37,9,NA,2,2,NA,2,NA,2,2,2,5,5
cell_38,NA,NA,2,2,2,NA,2,2,2,2,5,NA
cell_39,9,3,2,2,2,NA,2,2,2,2,5,NA
cell_40,9,3,2,NA,2,2,2,2,2,NA,NA,5
cell_41,9,3,2,NA,2,2,2,2,2,2,5,NA
cell_42,9,3,NA,NA,2,NA,2,NA,2,2,5,2
cell_43,9,3,2,2,2,2,2,2,2,2,NA,2
cell_44,9,3,2,2,2,NA,2,2,NA,NA,5,2
cell_45,9,3,NA,2,2,2,NA,2,2,2,5,NA
cell_46,9,3,2,2,2,2,2,2,2,2,5,2
cell_47,9,3,2,NA,2,NA,NA,2,NA,NA,5,2
cell_48,9,3,2,2,2,2,2,NA,2,NA,5,2
cell_49,9,3,2,2,2,2,2,2,2,2,NA,2
cell_50,9,3,2,2,2,2,2,2,2,2,5,2
cell_51,9,3,2,2,2,2,2,2,2,2,NA,2
cell_52,9,3,2,2,2,2,NA,2,2,2,NA,2
cell_53,NA,3,2,2,2,2,2,2,2,NA,5,2
cell_54,9,3,2,2,2,NA,2,2,NA,NA,NA,2
cell_55,9,NA,NA,2,NA,NA,2,2,2,2,5,2
cell_56,9,NA,2,NA,2,NA,2,2,2,2,5,2
cell_57,9,3,2,2,2,2,2,2,2,2,5,2
cell_58,NA,3,2,2,2,2,2,NA,2,NA,NA,2
cell_59,9,NA,NA,2,2,2,2,2,NA,2,5,2
cell_60,9,NA,2,NA,2,2,2,2,NA,2,5,2
cell_61,9,3,NA,2,2,2,2,2,2,2,5,2
cell_62,NA,3,2,2,2,2,2,2,2,2,NA,2
cell_63,9,3,2,2,2,2,2,2,2,2,5,2
cell_64,9,NA,2,2,2,NA,2,2,NA,2,5,2
cell_65,9,3,NA,2,0,2,NA,NA,NA,NA,NA,NA
cell_66,9,3,NA,2,0,2,NA,NA,NA,NA,NA,2
cell_67,9,3,5,2,0,NA,NA,NA,NA,NA,5,NA
cell_68,9,3,NA,2,2,2,NA,NA,NA,NA,5,0
cell_69,9,3,5,2,2,2,NA,NA,NA,NA,NA,0
cell_70,9,3,5,2,2,NA,NA,NA,NA,NA,5,0
cell_71,9,3,5,2,0,NA,NA,NA,NA,NA,5,NA
cell_72,9,NA,5,NA,0,2,NA,NA,NA,NA,5,NA
cell_73,9,NA,NA,2,2,2,NA,NA,NA,NA,NA,0
cell_74,9,3,5,2,2,2,NA,NA,NA,NA,5,0
cell_75,9,NA,5,2,2,2,NA,NA,NA,NA,NA,NA
cell_76,9,3,5,2,2,2,NA,NA,NA,NA,5,NA
cell_77,NA,3,5,2,0,2,NA,NA,NA,NA,NA,NA
cell_78,NA,3,5,2,0,2,NA,NA,NA,NA,NA,5
cell_79,9,3,5,NA,3,2,NA,NA,NA,NA,5,5
cell_80,NA,3,5,2,3,2,NA,NA,NA,NA,NA,5
cell_81,9,3,2,2,NA,2,NA,NA,NA,NA,5,NA
cell_82,9,3,2,2,5,NA,NA,NA,NA,NA,5,25
cell_83,NA,3,2,2,5,2,NA,NA,NA,NA,5,25
cell_84,9,3,2,2,5,2,NA,NA,NA,NA,5,25
cell_85,9,3,2,2,5,2,NA,NA,NA,NA,5,25
cell_86,9,3,2,2,NA,2,NA,NA,NA,NA,5,25
