cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_109	2	0	5	0	0	2	2	0	2	0	0	0
cell_110	2	0	5	2	0	2	2	0	2	0	0	0
cell_111	2	0	5	0	0	2	2	0	2	0	0	0
cell_112	2	0	5	0	0	2	2	0	2	0	0	9
cell_113	2	4	5	0	0	2	0	2	2	0	2	0
cell_114	2	4	5	0	0	2	0	2	2	0	0	0
cell_115	2	0	5	0	0	2	0	2	2	0	0	0
cell_116	2	0	5	0	0	2	0	2	2	0	0	0
cell_117	2	2	5	3	0	2	0	0	2	0	0	0
cell_118	2	2	5	0	0	2	0	0	2	0	0	0
cell_119	2	0	5	0	0	2	3	0	2	0	0	0
cell_120	2	0	5	5	0	2	3	0	2	0	0	0
cell_121	2	0	5	0	0	2	0	0	2	0	0	2
cell_122	2	0	5	0	0	2	3	0	2	0	0	2
cell_123	2	0	5	0	0	2	0	3	2	0	0	0
cell_124	2	0	5	0	0	2	0	3	2	0	0	0
cell_125	2	0	5	0	2	2	0	0	2	0	11	0
cell_126	2	0	5	0	2	2	0	0	2	0	11	0
cell_127	2	0	5	0	2	2	2	0	2	0	0	0
cell_128	2	5	5	0	2	2	2	0	2	0	0	0
cell_129	0	0	5	0	0	2	0	2	2	0	0	0
cell_130	0	0	5	0	0	2	0	2	2	0	0	0
cell_131	0	0	5	0	0	2	0	2	2	0	0	0
cell_132	0	0	5	0	0	2	0	2	2	0	0	0
cell_133	5	0	5	27	0	2	2	15	2	0	0	0
cell_134	5	0	5	27	0	2	2	15	2	0	0	0
cell_135	5	0	5	27	0	2	2	15	2	0	0	0
cell_136	5	0	5	27	0	2	2	15	2	0	0	0
cell_137	0	0	5	0	0	2	0	0	2	0	2	0
cell_138	0	0	5	0	2	2	0	0	2	0	0	0
cell_139	0	0	5	0	0	2	0	0	2	0	2	0
cell_140	0	0	5	0	0	2	0	0	2	0	2	0
cell_141	3	0	5	0	0	2	0	0	2	0	0	0
cell_142	0	0	5	0	0	2	0	0	2	0	0	0
cell_143	0	0	5	0	0	2	0	0	2	2	0	0
cell_144	0	0	5	0	0	2	0	0	2	2	0	0
cell_145	0	0	5	0	0	2	2	0	2	0	0	19
cell_146	0	0	5	0	0	2	2	0	2	0	0	19
cell_147	0	0	5	0	0	2	0	0	2	0	0	19
cell_148	0	0	5	0	0	2	0	0	2	5	0	19
cell_149	0	0	5	0	0	2	0	0	2	0	0	0
cell_150	0	0	5	0	0	2	0	0	2	0	0	0
cell_151	0	0	5	0	2	2	0	0	2	0	0	0
cell_152	2	0	5	0	0	2	0	0	2	0	0	0
cell_153	2	2	5	0	0	2	0	0	2	0	2	3
cell_154	2	0	5	0	0	2	0	0	2	0	2	0
cell_155	2	0	5	0	0	2	0	3	2	0	0	0
cell_156	2	0	5	0	0	2	0	0	2	0	0	0
cell_157	2	0	5	0	0	2	0	0	2	0	70	0
cell_158	2	0	5	0	0	2	0	0	2	0	70	0
cell_159	2	0	5	0	0	2	3	0	2	0	70	0
cell_160	2	0	5	0	0	2	3	0	2	0	70	0
cell_161	0	0	5	5	0	2	0	0	2	0	0	0
cell_162	0	0	5	5	0	2	0	0	2	0	0	0
cell_163	0	0	5	5	0	2	0	0	2	0	0	0
cell_164	0	0	5	5	0	2	0	2	2	0	0	0
cell_165	0	0	5	5	0	2	0	2	2	0	0	0
cell_166	0	0	5	5	0	2	0	0	2	0	0	0
cell_167	0	0	5	5	0	2	0	0	2	0	0	0
cell_168	0	0	5	5	0	2	0	0	2	0	0	0
cell_169	0	0	5	5	0	2	0	0	2	0	0	2
cell_170	0	0	5	5	0	2	0	3	2	3	0	2
cell_171	0	0	5	5	0	2	0	3	2	0	0	2
cell_172	0	0	5	5	0	2	0	3	2	0	0	2
cell_173	0	0	5	5	2	2	0	0	2	0	2	2
cell_174	0	0	5	5	2	2	0	0	2	0	0	2
cell_175	14	2	5	5	2	2	0	0	2	0	0	0
cell_176	0	2	5	5	2	2	0	0	2	0	0	0
cell_177	0	2	5	0	0	2	0	0	2	4	0	0
cell_178	0	0	5	0	0	2	0	0	2	0	0	0
cell_179	0	0	5	2	0	2	0	0	2	0	4	0
cell_180	2	0	5	3	0	2	0	0	2	0	0	0
cell_181	0	3	5	0	0	2	0	0	2	2	3	2
cell_182	0	3	5	0	0	2	0	0	2	0	3	2
cell_183	0	0	5	0	0	2	0	0	2	0	3	0
cell_184	0	0	5	0	0	2	0	0	2	0	3	0
cell_185	0	0	5	0	2	2	0	2	2	0	0	0
cell_186	0	0	5	0	2	2	0	2	2	0	0	0
cell_187	0	2	5	2	2	2	0	2	2	4	0	0
cell_188	0	2	5	0	2	2	0	2	2	0	0	0
cell_189	0	0	5	0	2	2	0	2	2	0	0	0
cell_190	0	0	5	0	2	2	0	2	2	0	0	0
cell_191	0	0	5	0	2	2	0	2	2	0	0	0
cell_192	3	0	5	0	2	2	0	2	2	0	0	0
cell_193	0	0	5	0	0	2	0	0	2	11	0	0
cell_194	0	0	5	0	0	2	0	0	2	11	0	0
cell_195	0	0	5	0	0	2	0	0	2	11	0	0
cell_196	0	0	5	2	0	2	0	0	2	11	0	0
cell_197	0	0	5	0	0	2	0	4	2	11	0	0
cell_198	0	0	5	0	0	2	0	0	2	11	0	0
cell_199	0	2	5	0	0	2	0	0	2	11	0	0
cell_200	0	2	5	0	0	2	0	0	2	11	0	0
cell_201	0	0	5	0	0	2	0	0	2	11	0	2
cell_202	0	0	5	0	0	2	0	0	2	11	0	2
cell_203	0	0	5	0	0	2	0	0	2	11	0	2
cell_204	0	0	5	0	0	2	0	0	2	11	0	2
cell_205	27	4	5	5	0	2	0	2	2	11	0	0
cell_206	27	4	5	5	0	2	0	2	2	11	0	0
cell_207	27	0	5	0	0	2	0	0	2	11	0	2
cell_208	27	0	5	0	0	2	0	0	2	11	0	0
cell_209	0	2	5	0	0	2	0	0	2	11	2	0
cell_210	0	2	5	0	0	2	0	0	2	11	2	0
cell_211	0	2	5	2	0	2	0	0	2	11	2	2
cell_212	0	2	5	2	0	2	0	0	2	11	2	2
cell_213	5	2	5	0	3	2	0	0	2	11	2	0
cell_214	5	2	5	0	3	2	0	0	2	11	2	0
cell_215	0	2	5	0	3	2	0	0	2	11	2	0
cell_216	0	2	5	0	3	2	0	0	2	11	2	0
cell_217	0	0	5	0	0	2	0	0	2	11	2	2
cell_218	0	0	5	0	0	2	0	0	2	11	2	2
cell_219	0	12	5	2	2	2	0	0	2	11	2	2
cell_220	0	12	5	2	0	2	0	0	2	11	2	2
cell_221	0	19	5	0	0	2	0	2	2	11	2	0
cell_222	0	0	5	0	0	2	0	2	2	11	2	0
cell_223	2	2	5	2	0	2	0	0	2	11	2	0
cell_224	2	2	5	0	0	2	0	0	2	11	2	0
cell_225	10	0	5	0	0	2	0	0	2	11	0	0
cell_226	10	0	5	0	0	2	0	0	2	11	0	0
cell_227	10	0	5	0	0	2	0	22	2	11	0	0
cell_228	10	0	5	0	0	2	0	22	2	11	0	3
cell_229	10	0	5	0	2	2	0	0	2	11	0	3
cell_230	10	0	5	0	2	2	0	0	2	11	0	3
cell_231	10	0	5	0	2	2	0	2	2	11	0	0
cell_232	10	0	5	0	2	2	0	0	2	11	0	0
cell_233	0	20	5	0	2	2	0	0	2	11	0	6
cell_234	3	20	5	0	0	2	0	0	2	11	2	6
cell_235	0	20	5	15	0	2	0	0	2	11	6	6
cell_236	0	20	5	0	0	2	0	0	2	11	6	6
cell_237	0	0	5	0	0	2	0	0	2	11	0	6
cell_238	0	0	5	0	0	2	0	0	2	11	0	6
cell_239	0	0	5	0	0	2	0	0	2	11	0	6
cell_240	0	0	5	0	0	2	0	2	2	11	0	6
cell_241	2	0	5	0	0	2	0	0	2	11	0	0
cell_242	2	0	5	0	0	2	0	0	2	11	0	0
cell_243	0	3	5	0	0	2	0	0	2	11	2	0
