cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_109,3,-,21,2,-,3,2,3,2,15,11,2
cell_110,3,2,21,2,-,3,2,-,2,15,11,2
cell_111,3,-,21,2,11,3,0,3,2,15,-,2
cell_112,3,2,21,2,11,3,0,3,2,15,11,2
cell_113,-,2,21,2,11,-,3,3,-,15,11,2
cell_114,3,2,21,2,11,3,3,3,2,15,11,2
cell_115,3,2,21,2,11,3,3,3,2,-,11,2
cell_116,3,-,21,2,11,3,3,3,2,-,-,2
cell_117,3,2,21,2,11,3,-,3,2,15,-,2
cell_118,-,-,-,2,11,3,3,-,2,-,11,2
cell_119,3,2,21,2,-,3,-,-,-,-,11,2
cell_120,3,2,21,-,11,3,3,3,-,15,11,-
cell_121,3,2,21,2,11,3,-,3,2,15,11,2
cell_122,3,2,21,2,11,3,3,3,2,15,11,2
cell_123,3,2,21,2,-,3,3,3,2,-,-,2
cell_124,3,-,21,2,11,3,-,3,2,15,11,2
cell_125,-,2,21,2,11,3,3,3,2,15,-,2
cell_126,3,2,21,-,11,3,-,-,2,15,11,2
cell_127,3,-,21,2,11,3,3,-,2,15,11,2
cell_128,3,2,21,2,-,3,3,3,2,15,11,-
cell_129,-,2,0,2,-,-,2,2,2,15,11,-
cell_130,3,2,0,2,11,3,2,2,2,15,-,2
cell_131,3,2,0,2,11,3,2,2,2,15,11,8
cell_132,3,-,0,2,11,3,2,2,2,15,11,8
cell_133,3,2,2,2,11,3,2,2,-,15,-,2
cell_134,3,-,2,2,11,-,2,-,2,-,11,2
cell_135,3,2,-,2,11,3,2,2,2,15,11,2
cell_136,3,2,2,2,11,3,2,2,2,15,11,2
cell_137,3,2,2,2,11,3,2,2,-,15,11,0
cell_138,3,2,2,2,11,3,2,2,2,15,11,-
cell_139,3,-,0,2,11,3,-,2,-,15,11,0
cell_140,3,2,0,-,11,-,2,2,2,15,11,0
cell_141,3,2,2,2,-,-,-,2,2,-,11,0
cell_142,-,2,2,2,11,3,2,2,2,15,11,0
cell_143,3,2,0,2,11,-,2,-,2,15,11,3
cell_144,3,2,0,-,11,3,2,2,-,-,11,3
cell_145,-,2,2,2,11,3,2,2,2,15,-,2
cell_146,-,2,2,2,11,3,2,2,2,-,11,2
cell_147,3,-,2,-,11,3,2,2,-,15,11,2
cell_148,-,-,2,-,11,3,2,2,2,15,11,2
cell_149,3,2,-,2,-,3,2,-,2,15,11,-
cell_150,-,2,2,-,11,3,-,-,2,15,11,0
cell_151,3,2,2,2,11,3,-,-,-,-,11,-
cell_152,3,2,2,2,11,3,2,2,2,15,11,0
cell_153,3,2,2,2,11,3,2,2,2,15,11,0
cell_154,3,2,2,-,11,3,2,2,2,15,11,0
cell_155,3,2,2,2,11,3,2,2,2,15,11,-
cell_156,3,-,2,-,11,-,2,2,-,15,-,0
cell_157,3,-,2,2,11,3,2,2,2,15,11,0
cell_158,3,2,2,2,11,3,2,2,2,15,11,-
cell_159,3,2,2,2,-,3,2,2,2,-,11,0
cell_160,3,2,2,2,11,3,2,2,-,15,-,0
cell_161,3,-,2,2,11,3,2,2,2,15,11,2
cell_162,3,2,2,2,11,-,2,0,2,15,-,2
cell_163,3,2,-,2,11,3,2,0,-,-,11,2
cell_164,3,-,2,2,11,3,2,-,2,-,11,2
cell_165,-,-,-,2,11,3,2,0,-,15,-,2
cell_166,3,2,4,-,11,3,2,0,2,15,11,2
cell_167,3,2,0,2,11,3,2,2,2,15,11,-
cell_168,3,2,-,2,11,3,2,2,2,15,11,2
cell_169,3,-,-,2,11,3,-,6,2,15,-,2
cell_170,3,2,4,2,11,3,2,6,2,15,11,2
cell_171,3,2,0,2,11,3,2,-,2,15,11,0
cell_172,3,2,2,-,11,3,2,-,2,15,11,0
cell_173,3,-,4,2,11,3,-,3,-,15,11,0
cell_174,3,2,-,-,11,3,2,3,2,15,-,0
cell_175,3,-,4,-,11,-,2,-,2,15,11,0
cell_176,-,2,4,2,11,3,2,5,2,15,11,-
cell_177,3,-,5,2,11,-,-,0,-,15,11,-
cell_178,3,-,5,2,11,3,-,-,2,15,11,0
cell_179,3,-,5,2,11,3,2,0,-,15,11,0
cell_180,3,2,5,2,11,3,-,0,2,15,11,-
cell_181,3,2,5,2,11,3,2,2,2,15,11,0
cell_182,-,2,5,2,11,3,-,0,2,-,11,0
cell_183,3,2,5,2,11,3,2,0,-,15,11,0
cell_184,-,2,5,2,11,3,2,0,2,-,11,0
cell_185,3,2,0,2,11,3,2,27,-,15,11,0
cell_186,-,2,0,2,11,-,2,-,2,15,11,0
cell_187,3,2,0,2,11,-,-,0,2,15,11,0
cell_188,3,2,-,2,11,3,2,0,2,15,-,3
cell_189,3,-,-,-,11,3,-,0,2,-,-,0
cell_190,3,2,0,2,11,3,2,-,-,15,11,0
cell_191,3,2,0,2,11,-,2,0,2,15,11,0
cell_192,3,-,0,2,11,3,2,0,2,15,11,0
cell_193,3,2,-,-,11,3,-,5,2,15,11,0
cell_194,-,-,19,2,-,3,2,5,2,-,11,0
cell_195,3,2,19,2,11,3,-,5,-,15,-,2
cell_196,3,2,19,2,11,3,2,5,2,15,11,2
cell_197,3,2,19,2,11,3,2,-,2,15,11,2
cell_198,3,2,19,-,11,3,2,5,2,15,11,-
cell_199,3,2,19,2,11,3,2,5,2,15,11,2
cell_200,3,-,-,2,11,3,2,-,2,15,-,2
cell_201,3,2,2,2,11,3,2,5,-,15,11,0
cell_202,3,-,-,2,-,3,-,5,2,-,-,2
cell_203,3,2,2,2,11,3,-,5,2,15,11,0
cell_204,3,2,2,2,-,-,2,-,-,15,11,0
cell_205,3,-,-,-,11,3,2,5,2,15,-,2
cell_206,3,-,2,2,11,3,2,5,2,15,-,0
cell_207,3,2,-,2,-,3,2,5,2,15,11,0
cell_208,3,2,-,-,11,3,2,-,2,15,11,5
cell_209,3,2,-,2,-,3,2,5,2,15,11,-
cell_210,3,2,2,-,11,-,2,5,2,-,11,0
cell_211,3,2,2,2,11,-,2,5,2,15,11,0
cell_212,3,2,-,2,11,3,2,-,2,-,-,0
cell_213,3,2,2,-,11,3,2,5,2,15,11,-
cell_214,3,-,2,2,-,3,2,5,2,15,-,0
cell_215,3,2,-,2,11,3,2,5,2,-,11,0
cell_216,3,-,-,-,-,3,2,5,2,15,11,0
cell_217,-,2,2,2,-,3,2,-,-,-,11,0
cell_218,3,2,2,-,11,3,2,5,2,15,-,0
cell_219,3,2,-,2,11,3,2,5,2,15,11,3
cell_220,3,2,2,2,11,3,2,-,2,15,11,3
cell_221,3,-,2,2,11,3,2,5,-,15,11,0
cell_222,3,2,2,2,11,3,-,5,2,15,11,2
cell_223,3,2,2,2,11,-,2,5,2,15,11,0
cell_224,-,2,2,2,11,3,2,5,2,15,11,0
cell_225,-,-,-,2,11,3,2,0,-,15,11,2
cell_226,3,2,5,2,-,3,2,-,2,15,11,2
cell_227,3,2,5,2,11,3,2,2,-,-,-,2
cell_228,-,2,5,2,11,3,2,0,2,15,11,2
cell_229,3,2,5,2,11,-,2,0,2,-,11,-
cell_230,-,2,5,2,11,3,2,0,-,15,11,0
cell_231,3,2,5,2,11,3,2,0,2,15,11,0
cell_232,3,2,5,2,11,3,2,0,2,15,11,0
cell_233,3,2,0,2,11,3,2,0,2,15,11,2
cell_234,3,2,0,2,11,3,2,0,-,-,11,2
cell_235,3,2,0,-,11,-,2,0,-,15,11,-
cell_236,3,-,0,-,-,3,2,3,2,15,11,2
cell_237,-,2,0,2,11,3,2,0,2,-,11,2
cell_238,3,-,0,2,11,3,2,-,2,15,-,2
cell_239,3,2,-,-,11,3,2,0,2,-,11,2
cell_240,3,-,2,-,11,-,2,11,2,15,11,2
cell_241,3,2,2,2,11,-,2,2,2,15,11,0
cell_242,-,2,2,-,-,3,2,2,2,15,11,-
cell_243,3,2,2,2,11,3,2,2,2,-,11,0
cell_244,-,2,2,2,11,3,2,2,-,15,11,0
cell_245,-,2,2,2,11,-,-,2,2,-,11,0
cell_246,3,2,-,2,11,3,2,2,2,15,11,0
