,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,0,NA,3,5,2,NA,3,2,2,11,4,3
cell_2,0,0,NA,5,NA,3,3,2,NA,11,4,3
cell_3,0,0,0,NA,2,NA,3,2,3,11,NA,NA
cell_4,2,0,NA,5,2,3,3,2,NA,NA,NA,3
cell_5,0,NA,NA,5,2,NA,3,2,2,11,NA,3
cell_6,0,0,NA,5,NA,3,NA,2,0,11,NA,3
cell_7,NA,0,0,5,2,3,NA,2,NA,11,4,3
cell_8,NA,0,NA,NA,NA,NA,NA,2,0,NA,4,3
cell_9,0,0,0,NA,NA,3,3,NA,NA,11,NA,0
cell_10,0,0,0,5,2,NA,NA,NA,0,NA,NA,0
cell_11,0,0,NA,5,2,3,NA,2,NA,11,0,0
cell_12,0,3,0,NA,2,NA,NA,2,0,11,2,NA
cell_13,NA,0,0,NA,NA,3,NA,NA,NA,11,0,NA
cell_14,0,NA,0,NA,2,3,3,2,0,NA,NA,0
cell_15,0,0,0,NA,2,3,3,2,0,11,2,0
cell_16,0,NA,0,5,2,3,3,2,0,11,0,NA
cell_17,0,5,NA,5,2,3,3,2,NA,11,0,0
cell_18,NA,5,NA,NA,2,NA,3,2,NA,NA,0,0
cell_19,2,5,9,5,NA,NA,NA,2,NA,11,NA,0
cell_20,2,NA,9,5,NA,NA,3,2,0,11,NA,0
cell_21,0,NA,NA,5,2,3,NA,NA,0,11,0,NA
cell_22,NA,NA,9,NA,2,3,NA,2,2,NA,0,0
cell_23,0,NA,9,NA,NA,3,3,2,NA,11,NA,2
cell_24,0,NA,9,5,NA,3,3,2,NA,NA,0,0
cell_25,0,2,NA,5,NA,3,3,2,4,11,12,0
cell_26,0,NA,5,5,NA,3,NA,2,4,11,12,3
cell_27,0,2,0,5,2,3,3,2,0,11,NA,5
cell_28,NA,2,0,5,2,3,NA,NA,0,NA,12,5
cell_29,0,0,NA,5,NA,NA,NA,2,0,11,8,13
cell_30,NA,0,NA,5,NA,3,3,2,0,11,8,13
cell_31,5,0,5,NA,2,3,3,2,0,NA,8,2
cell_32,5,0,5,NA,2,3,3,2,0,NA,8,2
cell_33,0,0,0,5,2,3,3,NA,NA,11,0,2
cell_34,0,3,0,5,NA,3,NA,2,0,NA,0,2
cell_35,NA,0,5,5,2,3,3,NA,NA,11,0,2
cell_36,0,NA,NA,5,2,3,NA,NA,NA,11,NA,NA
cell_37,33,0,0,NA,2,3,NA,2,NA,NA,0,NA
cell_38,33,NA,0,NA,NA,3,3,2,0,11,NA,NA
cell_39,2,0,0,5,NA,3,3,2,0,NA,NA,0
cell_40,0,NA,0,5,2,3,NA,2,0,11,0,0
cell_41,7,NA,4,NA,2,3,NA,2,0,NA,0,0
cell_42,0,2,4,5,2,3,3,2,NA,11,0,0
cell_43,2,NA,NA,5,2,NA,NA,2,0,11,NA,0
cell_44,2,0,4,NA,NA,3,3,2,0,11,0,NA
cell_45,0,0,NA,5,2,3,3,2,NA,11,0,0
cell_46,0,0,4,5,NA,NA,3,2,3,11,0,NA
cell_47,NA,0,4,5,2,NA,NA,2,0,NA,0,0
cell_48,0,NA,NA,5,NA,3,3,2,0,NA,0,0
cell_49,0,0,0,5,NA,NA,3,2,0,11,0,2
cell_50,NA,NA,0,NA,2,3,3,2,5,11,0,NA
cell_51,4,9,0,5,2,3,3,2,NA,11,0,NA
cell_52,NA,NA,0,5,2,3,3,2,NA,NA,NA,NA
cell_53,NA,2,0,5,2,3,NA,2,2,11,0,2
cell_54,0,2,5,5,NA,NA,3,NA,2,NA,2,2
cell_55,0,2,0,5,NA,3,3,NA,2,11,0,NA
cell_56,0,NA,0,5,NA,3,NA,NA,2,11,0,NA
cell_57,NA,13,0,5,2,3,NA,NA,NA,11,NA,NA
cell_58,0,13,0,5,2,3,3,2,0,11,0,2
cell_59,NA,13,0,5,NA,NA,3,2,0,11,0,NA
cell_60,2,13,0,NA,2,3,3,2,NA,NA,0,2
cell_61,NA,NA,2,NA,NA,3,NA,2,0,NA,0,NA
