cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,2,-,2,2,2,0,3,2,-,-,3,3
cell_2,2,2,2,-,-,2,-,2,2,5,3,3
cell_3,2,2,-,2,2,0,3,2,-,5,3,3
cell_4,-,2,2,2,2,0,3,2,2,5,3,3
cell_5,0,-,0,2,2,110,3,2,2,5,3,-
cell_6,0,2,-,2,2,110,-,2,2,5,-,-
cell_7,0,-,0,2,2,110,3,2,-,5,3,3
cell_8,-,2,3,2,2,110,3,-,-,5,-,-
cell_9,3,-,0,-,2,0,3,-,2,5,-,-
cell_10,3,2,-,2,-,-,3,2,0,5,3,3
cell_11,3,2,0,2,-,0,3,2,-,5,3,-
cell_12,3,2,-,-,2,-,3,2,0,5,-,3
cell_13,0,-,-,-,-,-,3,2,0,-,-,3
cell_14,0,2,3,2,-,2,-,2,2,5,3,-
cell_15,0,2,0,2,2,2,3,2,11,-,3,-
cell_16,0,-,0,2,-,2,3,2,11,5,-,3
cell_17,12,2,0,2,2,0,3,2,-,5,3,3
cell_18,12,2,-,-,2,-,3,-,-,5,-,3
cell_19,-,2,5,2,2,-,3,2,2,-,3,3
cell_20,5,2,5,-,2,-,3,2,-,5,-,3
cell_21,0,2,2,2,2,-,3,2,3,5,-,3
cell_22,0,-,3,2,2,2,3,2,3,5,3,3
cell_23,0,-,0,2,2,-,-,2,-,5,-,-
cell_24,-,2,0,-,2,4,3,2,3,5,-,-
cell_25,0,2,0,2,2,-,3,2,-,-,3,3
cell_26,2,2,0,-,2,-,3,2,-,5,-,3
cell_27,0,-,0,2,2,2,3,2,2,5,3,3
cell_28,0,2,0,2,-,-,-,-,2,-,3,3
cell_29,-,-,0,2,2,-,-,2,2,-,3,3
cell_30,-,-,0,2,-,-,3,2,2,-,-,3
cell_31,3,2,-,2,2,-,-,-,-,-,3,-
cell_32,-,-,0,2,-,0,3,2,2,5,-,3
cell_33,5,4,2,2,2,-,3,2,0,5,3,3
cell_34,5,-,0,2,2,30,3,-,-,-,3,3
cell_35,-,4,2,2,2,30,3,2,-,5,-,-
cell_36,-,-,2,2,2,30,-,2,-,5,-,-
cell_37,5,4,0,2,2,0,3,2,8,5,3,3
cell_38,5,4,0,-,2,0,3,-,8,5,-,-
cell_39,-,4,2,2,-,-,-,2,8,5,3,3
cell_40,-,4,4,2,2,5,3,-,8,5,-,-
cell_41,-,0,2,2,0,0,3,2,-,5,3,3
cell_42,5,2,2,-,-,0,3,2,5,-,3,-
cell_43,5,0,2,-,0,0,3,2,-,5,3,3
cell_44,-,6,2,2,0,0,3,2,2,5,-,3
cell_45,5,0,0,2,2,0,3,2,-,5,-,3
cell_46,-,0,0,2,2,-,3,2,-,5,3,-
cell_47,5,-,0,2,2,2,-,2,2,-,3,3
cell_48,-,-,-,-,-,2,3,2,2,5,3,3
cell_49,5,3,-,-,0,-,-,-,-,5,-,-
cell_50,5,-,0,-,2,-,-,-,-,-,3,-
cell_51,5,0,-,2,0,-,-,-,-,5,-,3
cell_52,-,0,0,-,0,-,-,-,-,-,3,-
cell_53,-,2,21,2,0,0,3,-,0,5,3,3
cell_54,5,-,21,-,2,-,3,2,0,5,3,-
cell_55,5,2,-,2,-,-,3,-,2,5,-,3
cell_56,-,2,-,2,0,0,3,2,-,5,-,3
cell_57,-,2,-,-,-,-,3,2,8,5,-,3
cell_58,5,2,-,-,-,0,3,2,-,5,-,-
cell_59,5,2,0,2,0,2,3,-,-,5,3,3
cell_60,5,2,0,2,0,-,3,2,0,5,-,3
cell_61,5,2,-,2,-,0,3,2,0,5,3,3
cell_62,5,2,-,2,0,-,3,2,0,-,3,3
cell_63,-,2,0,2,-,-,3,2,0,5,3,3
cell_64,5,2,0,2,2,0,3,2,0,-,3,3
cell_65,5,9,5,-,-,100,3,2,3,-,0,3
cell_66,-,9,-,2,0,100,3,2,-,5,0,3
cell_67,-,-,5,-,0,100,3,-,0,5,0,-
cell_68,5,9,5,2,-,100,3,-,0,-,0,3
cell_69,-,2,5,-,-,100,3,-,3,-,0,3
cell_70,5,0,5,-,-,-,3,-,-,5,-,3
cell_71,0,0,5,-,0,100,3,2,-,-,0,-
cell_72,-,0,-,2,-,100,3,-,0,-,-,-
cell_73,2,10,5,2,0,-,3,2,-,5,0,3
cell_74,2,0,-,-,-,-,3,2,3,5,0,3
cell_75,0,-,-,2,2,0,3,2,3,5,0,3
cell_76,-,0,-,2,2,0,3,-,-,-,0,3
cell_77,0,0,-,2,5,0,3,2,0,5,0,-
cell_78,0,-,5,-,-,-,3,-,0,5,-,3
cell_79,-,0,-,-,0,0,3,2,0,5,-,-
cell_80,0,-,-,2,0,-,3,2,0,5,2,-
cell_81,2,2,5,2,0,4,-,2,-,5,0,3
cell_82,2,2,-,2,0,4,3,-,4,5,0,3
cell_83,0,2,5,2,2,4,3,2,4,5,0,3
cell_84,0,2,5,2,0,4,3,-,4,-,0,3
cell_85,2,0,5,-,0,4,3,2,5,5,0,3
cell_86,2,0,5,2,0,4,-,2,-,5,0,3
cell_87,-,-,-,2,2,4,-,2,-,-,5,-
cell_88,2,0,5,2,2,4,-,2,5,5,0,3
cell_89,2,0,-,2,-,4,-,2,3,-,12,-
cell_90,2,0,5,-,3,4,-,2,3,5,-,-
cell_91,-,0,5,2,3,4,3,-,-,5,5,3
cell_92,-,0,-,2,-,4,3,2,3,5,-,3
cell_93,0,-,-,-,5,4,3,2,5,5,2,3
cell_94,-,-,5,-,-,4,3,2,5,5,2,3
cell_95,-,0,5,-,-,4,3,-,-,5,2,3
cell_96,-,-,5,2,0,4,3,2,5,5,2,-
cell_97,-,2,-,2,3,5,3,2,-,5,-,3
cell_98,-,2,-,2,-,5,3,-,6,5,-,-
cell_99,3,-,5,2,3,5,3,2,-,5,0,3
cell_100,-,-,5,-,-,5,3,-,6,5,0,3
cell_101,0,-,-,-,-,5,3,2,2,5,-,3
cell_102,0,2,5,2,3,-,3,2,2,5,0,-
cell_103,21,2,-,2,-,5,3,2,4,5,-,-
cell_104,-,-,5,-,3,5,3,2,-,5,0,3
cell_105,2,3,5,2,0,5,3,2,0,5,0,-
cell_106,2,3,5,-,-,-,3,2,-,-,0,-
cell_107,-,3,5,2,-,-,-,-,-,5,-,3
cell_108,-,3,5,-,3,-,3,-,0,5,3,3
cell_109,-,5,5,2,4,5,3,2,0,5,0,3
cell_110,-,5,-,2,-,5,-,-,0,-,-,3
cell_111,-,5,-,2,2,-,3,2,-,5,2,-
cell_112,-,-,5,-,-,5,3,2,-,-,0,3
cell_113,-,2,-,-,5,5,3,2,-,5,2,-
cell_114,-,2,5,2,-,-,3,2,4,5,2,3
cell_115,-,-,5,2,5,5,-,2,4,5,2,-
cell_116,0,2,5,2,-,5,-,-,4,-,2,3
cell_117,0,2,5,2,2,5,3,-,4,5,-,-
cell_118,0,2,5,2,2,-,-,2,4,5,-,3
cell_119,0,2,5,-,2,5,3,2,4,5,-,3
cell_120,-,-,5,-,-,-,-,2,4,5,2,3
cell_121,-,-,5,2,0,5,3,2,0,-,2,-
cell_122,0,2,-,2,0,5,3,2,-,5,-,3
cell_123,-,-,-,2,-,5,3,2,0,5,-,3
cell_124,0,-,5,-,-,5,-,-,3,-,2,3
cell_125,-,2,5,2,-,5,3,-,2,5,2,-
cell_126,5,2,5,-,-,-,3,2,2,5,2,3
cell_127,-,2,5,2,-,5,3,2,0,5,2,3
cell_128,0,-,5,-,2,5,3,2,2,5,2,-
cell_129,-,2,0,-,0,-,5,-,5,2,5,3
cell_130,2,-,-,-,-,-,-,-,5,2,5,3
cell_131,-,2,0,5,0,16,5,-,-,2,5,3
cell_132,2,2,0,-,-,-,5,2,5,2,5,-
cell_133,2,-,2,0,2,-,5,2,5,-,5,3
cell_134,-,-,-,0,-,-,5,2,5,2,5,3
cell_135,2,-,-,0,0,-,5,2,5,2,5,3
cell_136,2,2,-,0,0,16,5,2,-,-,5,3
cell_137,2,2,12,-,0,16,5,2,5,0,5,3
cell_138,-,2,12,0,0,-,-,2,5,0,5,3
