cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_1,3,3,0,2,2,4,2,5,-,2,2,-,2,0,42,25
cell_2,-,-,4,2,2,4,2,5,-,2,2,-,2,0,-,25
cell_3,2,3,2,-,2,4,2,5,-,2,2,13,2,2,42,25
cell_4,2,3,2,-,2,4,2,5,-,-,-,13,-,-,-,25
cell_5,0,3,2,2,2,4,2,-,-,2,2,5,2,0,42,25
cell_6,0,3,2,2,-,4,2,2,2,2,-,5,2,0,-,25
cell_7,0,3,0,2,2,-,2,2,2,2,-,0,2,5,42,-
cell_8,0,3,2,2,-,4,2,2,2,-,2,0,2,0,42,-
cell_9,8,3,2,-,2,4,0,-,2,2,2,0,2,2,0,25
cell_10,-,3,2,-,2,4,0,2,-,2,2,13,2,2,-,25
cell_11,-,3,0,2,2,-,2,2,2,-,-,-,2,2,0,25
cell_12,0,3,0,2,2,4,2,2,2,-,2,-,2,-,2,-
cell_13,10,3,0,2,-,4,-,0,2,2,2,0,-,0,-,25
cell_14,10,3,0,2,2,4,2,-,2,-,2,-,-,0,-,-
cell_15,10,-,0,2,2,4,11,0,2,2,2,0,2,0,7,-
cell_16,10,-,0,2,2,4,11,4,-,2,-,0,2,2,-,25
cell_17,-,3,0,2,2,-,2,0,2,2,-,2,2,0,3,25
cell_18,-,3,0,2,2,4,2,0,2,-,-,2,2,0,2,25
cell_19,-,3,5,2,2,4,-,3,2,-,2,2,2,3,0,25
cell_20,2,3,-,2,2,4,2,3,2,2,2,2,-,3,0,-
cell_21,2,-,-,-,-,4,2,0,2,-,2,2,2,2,9,25
cell_22,2,3,0,-,2,4,2,-,-,-,-,-,-,-,9,25
cell_23,2,3,-,2,2,4,2,5,2,0,2,2,2,-,0,25
cell_24,2,3,-,2,2,4,2,-,2,-,2,-,2,0,0,25
cell_25,3,3,2,-,2,4,2,-,-,2,2,2,2,-,0,25
cell_26,3,3,0,2,-,4,2,2,-,0,2,2,2,0,0,25
cell_27,3,3,0,-,2,4,2,2,2,-,2,2,2,5,-,25
cell_28,3,-,0,2,2,4,2,-,-,0,2,2,-,0,0,25
cell_29,5,3,0,-,2,4,2,2,2,0,2,2,2,-,7,25
cell_30,5,3,2,2,2,4,-,2,2,3,2,2,2,0,0,-
cell_31,0,3,5,-,2,4,2,2,2,2,2,-,2,0,0,25
cell_32,0,3,5,2,2,-,2,2,2,2,2,2,2,0,0,-
cell_33,5,4,-,-,2,4,-,-,2,2,2,2,2,-,4,25
cell_34,5,4,0,2,2,4,-,-,2,-,2,2,-,2,-,25
cell_35,5,4,0,2,2,-,-,-,2,2,2,2,2,-,4,25
cell_36,5,4,0,-,2,4,-,-,-,2,2,2,2,2,4,25
