,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,2,2,2,2,11,3,0,8,5,NA,3,NA
cell_2,2,2,2,2,11,3,0,8,5,2,3,2
cell_3,2,2,2,2,11,3,NA,8,5,2,3,NA
cell_4,2,2,2,NA,11,3,0,8,5,2,3,2
cell_5,2,2,2,2,NA,3,3,8,5,2,NA,2
cell_6,NA,2,2,2,11,NA,NA,8,5,2,3,2
cell_7,2,2,NA,NA,11,NA,2,8,5,2,3,2
cell_8,2,NA,NA,2,11,3,2,8,5,NA,3,2
cell_9,2,2,2,NA,11,3,NA,8,5,2,3,2
cell_10,NA,NA,NA,2,11,3,0,NA,5,NA,3,NA
cell_11,2,2,NA,NA,11,3,3,8,5,2,3,2
cell_12,2,2,NA,NA,11,3,NA,NA,5,2,NA,2
cell_13,2,2,2,NA,11,3,3,8,5,NA,3,2
cell_14,2,NA,2,2,NA,3,3,8,5,2,3,2
cell_15,2,2,2,2,NA,3,0,8,5,2,3,2
cell_16,2,NA,2,2,11,3,5,8,5,2,3,2
cell_17,2,2,2,2,11,NA,NA,NA,5,NA,3,NA
cell_18,2,2,2,2,11,NA,2,8,5,2,3,2
cell_19,2,NA,NA,2,11,3,2,8,5,NA,3,2
cell_20,2,2,2,2,11,3,2,8,5,2,3,2
cell_21,2,2,NA,2,11,3,2,8,5,2,3,2
cell_22,NA,NA,2,NA,11,NA,2,8,5,NA,3,2
cell_23,2,2,2,2,11,3,2,8,5,2,3,2
cell_24,2,2,NA,2,11,3,2,8,5,2,3,2
cell_25,2,2,2,NA,NA,3,NA,NA,5,NA,3,2
cell_26,2,2,2,NA,11,3,2,8,5,NA,NA,NA
cell_27,NA,NA,2,NA,11,3,2,NA,5,2,3,NA
cell_28,2,NA,2,2,11,3,2,8,5,2,3,2
cell_29,2,2,2,NA,11,3,NA,8,5,2,3,2
cell_30,2,NA,2,2,11,3,2,8,5,2,3,2
cell_31,2,NA,2,2,11,3,NA,NA,NA,NA,NA,2
cell_32,NA,2,NA,2,11,3,2,8,5,2,3,NA
cell_33,2,NA,2,2,11,3,NA,8,5,NA,NA,2
cell_34,2,2,2,NA,11,3,NA,8,5,2,3,2
cell_35,2,2,2,2,11,NA,4,8,5,NA,NA,2
cell_36,2,NA,2,2,11,3,4,8,5,2,3,2
cell_37,2,2,NA,2,11,NA,0,8,NA,2,3,2
cell_38,2,2,2,2,11,3,0,8,5,NA,3,2
cell_39,2,2,2,2,11,3,0,8,5,2,3,2
cell_40,2,2,NA,2,11,3,0,8,5,NA,3,2
cell_41,2,5,NA,2,11,3,5,NA,5,2,3,NA
cell_42,NA,2,NA,2,NA,3,5,NA,5,2,NA,2
cell_43,2,NA,2,NA,NA,3,NA,8,NA,2,3,2
cell_44,2,0,2,NA,11,3,5,8,5,2,3,2
cell_45,2,0,2,NA,11,3,0,8,5,2,NA,NA
cell_46,2,NA,2,2,NA,3,0,8,5,2,3,2
cell_47,2,0,NA,2,11,3,NA,NA,5,NA,NA,2
cell_48,2,NA,2,2,NA,3,NA,8,5,2,NA,NA
cell_49,2,0,2,2,11,NA,2,8,5,2,NA,2
cell_50,NA,0,2,2,11,3,NA,8,5,2,NA,NA
cell_51,NA,0,2,2,11,3,NA,8,5,2,3,2
cell_52,NA,0,2,2,11,3,2,NA,NA,2,3,2
cell_53,2,2,2,NA,11,3,2,8,5,2,3,2
cell_54,2,0,2,NA,11,NA,2,8,5,2,3,2
cell_55,2,0,NA,2,NA,NA,2,8,NA,2,3,2
cell_56,2,NA,2,2,11,3,2,8,NA,2,3,2
cell_57,2,2,2,NA,NA,NA,2,8,5,2,3,2
cell_58,NA,2,2,2,11,3,2,NA,5,2,3,NA
cell_59,2,NA,2,2,NA,3,2,NA,5,2,3,NA
cell_60,NA,2,2,2,11,3,NA,8,NA,2,NA,2
cell_61,2,2,2,2,11,3,2,8,NA,2,3,2
cell_62,NA,NA,2,2,11,3,NA,8,5,NA,3,2
cell_63,2,2,NA,2,11,3,2,8,5,2,3,2
cell_64,2,NA,2,2,11,3,2,8,5,NA,3,NA
cell_65,2,NA,2,2,11,3,5,8,5,0,3,2
cell_66,2,4,2,2,11,3,5,8,5,9,NA,2
cell_67,2,4,2,NA,11,3,NA,8,5,8,3,2
cell_68,2,4,2,2,11,3,5,8,5,0,3,2
cell_69,2,4,2,2,11,3,5,8,NA,NA,NA,2
cell_70,2,4,2,NA,NA,3,5,NA,5,2,3,NA
cell_71,2,4,2,2,NA,3,5,8,5,0,3,2
cell_72,2,4,2,2,11,3,5,8,5,0,3,2
cell_73,NA,3,2,NA,NA,NA,NA,8,5,8,3,2
cell_74,2,3,2,2,11,3,6,8,5,8,3,2
cell_75,NA,3,2,2,NA,3,6,8,NA,8,3,2
cell_76,NA,3,2,2,11,3,6,8,5,8,3,2
cell_77,2,3,2,2,11,3,0,8,5,8,NA,2
cell_78,2,NA,2,2,11,3,NA,8,5,8,3,NA
cell_79,NA,3,2,NA,11,3,NA,8,NA,8,3,2
cell_80,2,3,2,2,11,3,3,8,5,NA,3,NA
cell_81,2,NA,2,NA,11,3,0,8,5,3,3,2
cell_82,2,3,2,2,11,NA,0,8,5,3,3,2
cell_83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cell_84,NA,6,2,2,11,NA,0,8,5,0,3,NA
cell_85,2,0,2,2,11,3,0,8,5,0,NA,2
cell_86,2,NA,2,NA,11,3,0,NA,5,0,3,2
cell_87,2,0,2,NA,NA,NA,6,8,NA,2,NA,NA
cell_88,2,2,2,2,11,NA,6,8,5,2,3,2
cell_89,NA,2,2,2,11,3,0,8,5,0,3,2
cell_90,2,2,2,NA,11,3,0,8,5,NA,3,2
cell_91,2,NA,2,2,NA,3,0,8,5,3,NA,2
cell_92,2,2,NA,2,11,3,0,8,5,2,3,2
cell_93,2,2,2,2,11,NA,8,8,5,NA,3,NA
cell_94,2,2,2,2,11,3,NA,NA,5,9,3,2
cell_95,NA,2,2,NA,11,3,0,8,5,0,NA,2
cell_96,2,2,2,2,11,3,NA,8,5,4,3,2
cell_97,2,2,2,NA,11,3,8,8,5,NA,3,2
cell_98,2,2,2,NA,11,NA,NA,8,5,0,NA,2
cell_99,2,NA,2,NA,NA,3,8,8,NA,42,3,2
cell_100,2,2,NA,2,NA,3,8,8,NA,0,3,2
cell_101,2,2,NA,2,11,3,8,8,5,5,3,2
cell_102,2,2,2,2,11,3,8,8,5,5,3,2
cell_103,2,2,2,NA,NA,3,8,NA,5,NA,3,2
cell_104,2,2,2,NA,NA,3,8,8,5,4,NA,NA
cell_105,2,NA,NA,NA,NA,3,2,8,5,2,3,NA
cell_106,2,2,2,2,NA,3,2,NA,5,NA,NA,2
cell_107,2,2,2,2,NA,3,2,8,5,NA,3,2
cell_108,2,NA,2,NA,11,3,2,8,5,2,3,2
cell_109,2,2,2,NA,11,3,2,8,NA,NA,3,2
cell_110,2,2,2,NA,11,3,2,NA,5,0,3,2
cell_111,2,2,2,2,11,3,2,8,5,0,3,2
cell_112,2,2,2,2,11,3,2,NA,5,0,3,2
cell_113,2,4,2,2,11,3,3,8,5,2,3,NA
cell_114,2,NA,2,2,11,NA,NA,8,5,2,NA,2
cell_115,2,4,2,2,NA,NA,3,8,5,4,3,2
cell_116,NA,4,2,2,11,3,3,8,5,4,3,2
cell_117,2,4,2,2,NA,3,3,8,5,0,3,NA
cell_118,2,4,2,2,NA,NA,NA,8,5,NA,3,2
cell_119,2,4,2,NA,11,3,3,8,5,NA,3,2
cell_120,NA,4,2,NA,11,3,3,NA,NA,0,3,2
cell_121,NA,NA,NA,2,11,NA,3,8,NA,3,3,2
cell_122,NA,0,2,2,11,3,3,8,5,NA,3,2
cell_123,NA,0,2,NA,11,3,3,8,5,3,3,2
cell_124,NA,0,NA,NA,NA,NA,3,8,5,3,3,2
cell_125,NA,0,2,2,11,3,3,8,5,NA,3,NA
cell_126,NA,2,2,NA,11,3,3,NA,5,3,3,2
cell_127,2,0,2,NA,NA,3,NA,8,5,NA,3,2
cell_128,NA,NA,2,2,11,NA,3,NA,NA,3,3,2
cell_129,2,2,2,NA,5,3,2,8,2,2,3,NA
cell_130,2,0,2,2,5,3,2,8,2,2,NA,2
cell_131,2,4,2,2,NA,3,2,8,NA,2,3,2
cell_132,2,0,2,2,5,3,2,8,2,2,3,2
cell_133,NA,2,NA,2,5,3,2,NA,9,NA,3,2
cell_134,2,2,2,2,5,3,2,8,NA,2,NA,2
cell_135,NA,2,2,NA,5,3,2,8,9,2,NA,2
cell_136,NA,2,2,NA,5,3,2,8,9,2,3,2
cell_137,2,0,2,2,NA,3,NA,NA,2,2,3,2
cell_138,2,0,2,2,5,3,NA,NA,0,2,NA,2
cell_139,2,NA,2,2,5,NA,2,NA,8,2,3,NA
cell_140,NA,NA,2,2,5,3,NA,8,8,2,3,2
cell_141,NA,NA,2,2,5,3,2,8,2,2,NA,2
cell_142,2,0,2,2,5,3,2,8,2,2,NA,2
cell_143,2,NA,2,2,5,3,2,8,2,NA,3,NA
cell_144,2,0,2,2,5,NA,2,NA,2,2,3,2
cell_145,2,NA,2,2,NA,3,2,8,NA,2,3,2
cell_146,2,2,2,2,5,3,2,8,NA,2,3,2
cell_147,2,NA,2,NA,NA,3,2,8,5,2,3,NA
cell_148,2,2,2,2,5,3,2,8,5,2,NA,2
cell_149,2,0,2,2,5,3,NA,8,5,2,3,NA
cell_150,2,NA,2,2,5,3,NA,NA,5,2,3,2
cell_151,2,0,NA,NA,NA,NA,2,NA,5,2,NA,NA
cell_152,2,0,2,2,NA,NA,NA,8,5,2,3,2
cell_153,2,0,2,2,5,3,NA,8,5,2,3,2
cell_154,2,0,2,2,NA,3,2,8,NA,2,3,2
cell_155,NA,2,2,2,NA,3,2,NA,NA,2,NA,2
cell_156,2,2,2,2,NA,3,2,8,5,2,3,2
cell_157,2,0,2,2,5,3,2,NA,5,2,NA,NA
cell_158,2,3,2,2,5,3,2,NA,5,2,3,2
cell_159,NA,NA,2,2,5,3,2,NA,5,NA,3,2
cell_160,2,0,NA,NA,5,3,2,NA,5,2,3,2
cell_161,2,2,NA,2,NA,3,2,NA,3,2,3,2
cell_162,2,2,2,2,5,3,2,8,3,NA,3,2
cell_163,2,0,NA,NA,NA,NA,NA,8,3,NA,3,2
cell_164,2,0,NA,NA,5,3,NA,8,3,NA,3,2
cell_165,2,10,NA,NA,5,3,2,8,NA,2,NA,2
cell_166,2,NA,NA,2,5,3,2,NA,NA,2,3,2
cell_167,2,0,NA,NA,NA,3,2,NA,3,2,3,NA
cell_168,NA,NA,2,NA,NA,3,2,8,3,2,3,2
cell_169,2,0,NA,2,5,3,NA,8,0,2,3,2
cell_170,NA,0,2,2,NA,3,2,8,5,2,3,2
cell_171,2,NA,2,2,5,3,2,8,3,NA,3,2
cell_172,2,NA,2,2,5,3,2,NA,3,2,NA,NA
cell_173,2,8,2,2,5,3,2,8,2,2,3,NA
cell_174,NA,8,2,2,5,NA,2,8,2,2,NA,2
cell_175,2,8,2,2,5,3,NA,8,2,2,3,2
cell_176,NA,8,2,2,NA,3,2,8,0,2,NA,2
cell_177,2,2,NA,2,5,NA,NA,8,2,2,NA,2
cell_178,NA,2,2,2,5,3,2,8,NA,2,3,NA
cell_179,2,NA,2,2,5,3,2,8,NA,2,3,2
