cell_id,state_label,state_type,state_depth,ted_parent_state,ted_cluster,ted_depth,ted_cellID
cell_1,6,internal_or_root,2,5,6,1,1
cell_2,8,internal_or_root,4,7,8,3,2
cell_3,8,internal_or_root,4,7,8,3,3
cell_4,1,terminal,6,9,1,6,4
cell_5,13,internal_or_root,5,12,13,4,5
cell_6,3,terminal,6,13,3,6,6
cell_7,3,terminal,6,13,3,6,7
cell_8,3,terminal,6,13,3,6,8
cell_9,12,internal_or_root,4,11,12,3,9
cell_10,3,terminal,6,13,3,6,10
cell_11,3,terminal,6,13,3,6,11
cell_12,3,terminal,6,13,3,6,12
cell_13,3,terminal,6,13,3,6,13
cell_14,3,terminal,6,13,3,6,14
cell_15,12,internal_or_root,4,11,12,3,15
cell_16,12,internal_or_root,4,11,12,3,16
cell_17,12,internal_or_root,4,11,12,3,17
cell_18,13,internal_or_root,5,12,13,4,18
cell_19,12,internal_or_root,4,11,12,3,19
cell_20,3,terminal,6,13,3,5,20
cell_21,3,terminal,6,13,3,6,21
cell_22,3,terminal,6,13,3,6,22
cell_23,12,internal_or_root,4,11,12,3,23
cell_24,13,internal_or_root,5,12,13,4,24
cell_25,3,terminal,6,13,3,6,25
cell_26,3,terminal,6,13,3,6,26
cell_27,3,terminal,6,13,3,5,27
cell_28,3,terminal,6,13,3,5,28
cell_29,3,terminal,6,13,3,5,29
cell_30,3,terminal,6,13,3,6,30
cell_31,3,terminal,6,13,3,6,31
cell_32,3,terminal,6,13,3,6,32
cell_33,2,terminal,6,10,2,6,33
cell_34,2,terminal,6,10,2,6,34
cell_35,2,terminal,6,10,2,6,35
cell_36,2,terminal,6,10,2,6,36
cell_37,2,terminal,6,10,2,6,37
cell_38,2,terminal,6,10,2,6,38
cell_39,2,terminal,6,10,2,6,39
cell_40,2,terminal,6,10,2,6,40
cell_41,2,terminal,6,10,2,6,41
cell_42,2,terminal,6,10,2,6,42
cell_43,2,terminal,6,10,2,6,43
cell_44,2,terminal,6,10,2,6,44
cell_45,2,terminal,6,10,2,6,45
cell_46,2,terminal,6,10,2,6,46
cell_47,2,terminal,6,10,2,6,47
cell_48,2,terminal,6,10,2,6,48
cell_49,2,terminal,6,10,2,6,49
cell_50,2,terminal,6,10,2,6,50
cell_51,2,terminal,6,10,2,6,51
cell_52,2,terminal,6,10,2,6,52
cell_53,2,terminal,6,10,2,6,53
cell_54,2,terminal,6,10,2,6,54
cell_55,2,terminal,6,10,2,6,55
cell_56,2,terminal,6,10,2,6,56
cell_57,8,internal_or_root,4,7,8,3,57
cell_58,2,terminal,6,10,2,5,58
cell_59,9,internal_or_root,5,8,9,4,59
cell_60,1,terminal,6,9,1,6,60
cell_61,2,terminal,6,10,2,6,61
cell_62,2,terminal,6,10,2,6,62
cell_63,2,terminal,6,10,2,6,63
cell_64,2,terminal,6,10,2,6,64
cell_65,1,terminal,6,9,1,6,65
cell_66,1,terminal,6,9,1,6,66
cell_67,1,terminal,6,9,1,6,67
cell_68,1,terminal,6,9,1,6,68
cell_69,1,terminal,6,9,1,6,69
cell_70,1,terminal,6,9,1,6,70
cell_71,1,terminal,6,9,1,6,71
cell_72,1,terminal,6,9,1,6,72
cell_73,1,terminal,6,9,1,6,73
cell_74,1,terminal,6,9,1,6,74
cell_75,1,terminal,6,9,1,6,75
cell_76,1,terminal,6,9,1,6,76
cell_77,1,terminal,6,9,1,6,77
cell_78,1,terminal,6,9,1,6,78
cell_79,1,terminal,6,9,1,6,79
cell_80,1,terminal,6,9,1,6,80
cell_81,1,terminal,6,9,1,6,81
cell_82,1,terminal,6,9,1,6,82
cell_83,1,terminal,6,9,1,6,83
cell_84,1,terminal,6,9,1,6,84
cell_85,1,terminal,6,9,1,6,85
cell_86,1,terminal,6,9,1,6,86
cell_87,1,terminal,6,9,1,6,87
cell_88,1,terminal,6,9,1,6,88
cell_89,9,internal_or_root,5,8,9,4,89
cell_90,9,internal_or_root,5,8,9,4,90
cell_91,9,internal_or_root,5,8,9,4,91
cell_92,1,terminal,6,9,1,5,92
cell_93,9,internal_or_root,5,8,9,4,93
cell_94,1,terminal,6,9,1,6,94
cell_95,1,terminal,6,9,1,6,95
cell_96,9,internal_or_root,5,8,9,4,96
cell_97,1,terminal,6,9,1,6,97
cell_98,1,terminal,6,9,1,6,98
cell_99,1,terminal,6,9,1,6,99
cell_100,1,terminal,6,9,1,6,100
cell_101,1,terminal,6,9,1,6,101
cell_102,1,terminal,6,9,1,6,102
cell_103,1,terminal,6,9,1,6,103
cell_104,1,terminal,6,9,1,6,104
cell_105,1,terminal,6,9,1,6,105
cell_106,1,terminal,6,9,1,6,106
cell_107,1,terminal,6,9,1,6,107
cell_108,1,terminal,6,9,1,6,108
cell_109,1,terminal,6,9,1,6,109
cell_110,1,terminal,6,9,1,6,110
cell_111,1,terminal,6,9,1,6,111
cell_112,1,terminal,6,9,1,6,112
cell_113,1,terminal,6,9,1,6,113
cell_114,1,terminal,6,9,1,6,114
cell_115,1,terminal,6,9,1,6,115
cell_116,1,terminal,6,9,1,6,116
cell_117,1,terminal,6,9,1,6,117
cell_118,1,terminal,6,9,1,6,118
cell_119,1,terminal,6,9,1,6,119
cell_120,1,terminal,6,9,1,6,120
cell_121,1,terminal,6,9,1,6,121
