cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_1,-,4,2,2,2,-,0,2,0,5,5,2,2,4,2,5
cell_2,10,4,2,2,-,2,0,2,0,5,5,-,2,-,2,5
cell_3,10,4,2,2,-,2,-,-,0,-,5,2,-,4,-,-
cell_4,10,4,2,2,2,2,0,-,-,-,5,2,2,-,0,5
cell_5,10,4,2,2,2,2,0,2,0,5,5,2,2,4,0,5
cell_6,10,4,2,-,2,-,0,-,0,-,-,2,-,-,2,5
cell_7,10,4,2,2,2,2,3,2,0,5,5,2,2,-,2,5
cell_8,10,4,2,2,2,2,3,-,0,5,5,-,2,4,-,5
cell_9,10,4,2,2,-,2,0,2,2,5,5,2,-,4,0,5
cell_10,10,4,2,2,2,2,0,2,2,5,5,2,2,4,-,5
cell_11,10,4,-,-,2,2,4,2,-,5,5,-,2,4,12,5
cell_12,-,4,2,2,2,2,4,2,0,-,-,2,-,4,12,5
cell_13,10,4,0,2,2,2,3,-,0,5,5,2,-,4,9,5
cell_14,10,-,2,2,2,2,3,2,0,5,5,2,-,4,-,5
cell_15,-,4,56,2,2,2,0,2,-,5,5,2,2,4,2,5
cell_16,-,4,0,2,2,2,0,2,-,5,5,2,2,4,-,5
cell_17,-,4,0,2,2,2,3,2,0,5,5,2,2,4,2,5
cell_18,10,4,0,2,2,2,2,-,0,5,5,2,-,4,-,-
cell_19,10,-,0,-,2,2,-,-,-,5,5,2,-,4,2,-
cell_20,10,4,0,2,2,2,0,2,0,5,5,2,-,4,2,5
cell_21,10,4,0,-,2,-,0,-,-,-,5,2,-,4,2,5
cell_22,10,4,0,2,2,2,-,2,2,5,5,-,2,4,2,5
cell_23,10,4,0,-,2,2,5,2,-,5,5,2,2,4,-,5
cell_24,10,4,0,-,2,2,0,2,2,5,5,2,2,4,2,5
cell_25,10,4,0,2,2,2,4,2,0,5,5,2,-,4,-,5
cell_26,10,-,-,2,-,2,4,2,0,5,5,2,-,4,2,5
cell_27,10,4,-,2,2,2,4,2,0,5,5,2,-,-,2,-
cell_28,10,4,0,2,2,-,4,2,-,5,5,2,2,-,2,5
cell_29,-,-,0,2,2,2,4,2,2,5,-,2,2,4,2,-
cell_30,10,4,0,-,2,2,4,2,0,5,5,2,2,-,2,5
cell_31,-,-,0,-,-,2,-,2,0,5,5,2,2,4,2,5
cell_32,10,4,0,2,-,2,4,2,0,5,-,-,2,4,2,-
cell_33,10,4,3,2,-,-,0,2,-,5,5,2,2,4,0,-
cell_34,10,4,3,2,10,-,-,-,0,5,-,-,2,-,0,-
cell_35,-,4,3,2,10,2,0,-,0,5,5,2,2,4,0,5
cell_36,10,4,3,2,-,2,0,2,0,5,-,2,2,4,0,5
cell_37,-,4,2,2,-,2,0,2,3,-,5,2,2,4,0,-
cell_38,10,4,2,2,10,-,0,2,-,5,5,2,2,-,0,5
cell_39,10,4,-,-,10,2,0,2,-,5,5,2,-,4,3,5
cell_40,10,4,0,2,10,2,0,2,3,5,5,2,2,4,73,5
cell_41,10,4,-,2,10,2,0,2,0,5,5,2,2,4,-,5
cell_42,10,4,0,2,10,2,0,2,0,-,5,2,2,-,10,5
cell_43,10,4,0,2,10,2,0,2,2,-,-,2,2,-,-,5
cell_44,10,-,-,2,10,2,0,-,2,5,5,2,2,4,10,5
cell_45,10,4,-,-,-,-,-,-,-,5,5,2,-,4,3,5
cell_46,10,4,-,-,-,-,-,-,-,5,-,2,2,4,-,5
cell_47,10,4,0,-,10,-,5,2,0,5,-,2,-,4,0,-
cell_48,-,4,0,2,10,2,5,2,-,5,-,2,-,4,-,5
cell_49,10,4,0,2,10,-,4,2,-,5,5,2,2,4,0,5
cell_50,-,-,0,2,10,2,-,2,2,5,-,2,2,4,0,5
cell_51,10,4,0,2,10,2,4,2,2,5,5,2,-,4,0,5
cell_52,10,4,-,2,10,2,4,2,2,5,5,2,2,4,0,-
cell_53,10,4,0,2,10,-,4,2,-,-,5,2,2,4,-,5
cell_54,10,4,0,-,10,-,4,2,-,5,5,2,2,4,3,5
cell_55,10,-,-,2,10,-,4,2,-,5,5,2,2,-,3,5
cell_56,10,-,0,-,-,-,4,2,2,-,5,2,-,4,3,5
cell_57,10,-,-,2,10,2,4,2,2,5,-,2,2,4,5,-
cell_58,-,4,0,2,10,2,4,-,2,5,5,2,2,4,-,5
cell_59,10,4,-,2,10,-,4,-,2,5,-,-,-,-,5,5
cell_60,10,4,0,2,10,2,4,-,2,5,5,2,2,4,5,-
cell_61,10,4,-,2,-,2,4,2,2,5,5,2,2,4,5,5
cell_62,-,4,-,2,10,2,4,2,2,-,-,2,2,4,5,5
cell_63,10,4,0,2,10,2,-,-,-,5,5,2,2,-,5,5
cell_64,10,4,0,2,10,2,4,-,2,5,-,2,2,4,-,5
cell_65,10,4,2,2,0,2,-,2,2,5,5,2,21,2,-,5
cell_66,10,4,2,-,0,2,2,2,2,5,5,-,-,2,-,5
cell_67,10,4,-,-,0,2,2,2,0,5,5,2,21,2,2,-
cell_68,10,4,-,0,-,2,2,2,2,-,-,2,-,-,2,5
cell_69,-,4,2,0,0,-,2,2,-,5,5,2,21,-,-,5
cell_70,10,4,2,0,0,2,2,2,0,5,5,2,21,2,0,5
cell_71,10,4,-,5,2,2,2,2,0,-,-,2,21,-,2,5
cell_72,-,4,-,0,4,2,-,2,0,5,5,-,-,2,0,-
cell_73,10,-,2,0,0,2,2,2,8,5,-,2,21,-,2,5
cell_74,10,-,2,0,0,2,2,2,8,-,5,2,21,-,2,5
cell_75,10,-,2,2,0,2,-,2,0,5,5,-,-,2,2,5
cell_76,-,-,2,-,-,2,-,2,0,5,5,2,21,-,2,5
cell_77,10,4,-,-,0,-,2,-,0,5,5,-,21,2,2,5
cell_78,10,4,2,2,0,2,-,2,0,5,5,2,21,2,2,5
cell_79,10,-,2,2,0,2,2,2,0,5,-,2,21,2,-,5
cell_80,-,4,2,2,0,2,2,-,0,5,5,2,21,2,2,5
cell_81,10,4,-,-,5,-,2,2,0,-,5,2,21,-,10,5
cell_82,10,4,-,-,5,2,2,2,0,5,5,2,21,2,10,5
cell_83,10,4,2,0,-,2,2,2,-,5,5,2,21,2,10,5
cell_84,10,4,0,0,5,-,2,-,-,5,5,2,21,2,10,5
cell_85,10,4,-,0,2,-,2,2,-,-,-,2,21,-,2,-
cell_86,10,4,0,0,2,-,2,-,59,5,-,2,21,2,2,-
cell_87,10,-,0,2,0,2,-,2,0,-,5,2,21,2,-,5
cell_88,-,4,0,2,0,-,2,2,0,5,5,2,21,2,2,5
cell_89,10,-,2,0,0,-,2,2,4,5,5,2,21,2,12,5
cell_90,10,4,2,0,0,2,2,2,4,-,5,-,21,2,12,5
cell_91,10,4,2,0,0,2,2,2,-,5,5,2,21,-,-,5
cell_92,10,4,2,0,0,2,2,2,4,5,5,2,-,2,-,5
cell_93,10,4,0,0,-,2,2,-,-,5,-,2,21,2,5,5
cell_94,10,4,0,0,2,2,2,2,4,5,5,-,21,2,0,5
cell_95,10,-,-,-,0,2,2,2,4,5,5,2,21,2,0,5
cell_96,-,-,0,0,0,-,2,2,-,-,5,2,21,2,-,-
cell_97,10,2,3,-,5,-,-,2,-,-,5,2,-,2,0,5
cell_98,10,2,-,3,5,2,-,2,2,5,5,2,21,2,0,5
cell_99,10,2,3,3,5,2,2,2,2,5,-,2,-,2,0,5
cell_100,10,0,3,3,5,2,2,2,2,5,-,2,21,2,0,5
cell_101,10,2,3,-,5,2,2,2,2,-,5,2,21,2,0,5
cell_102,10,2,-,3,5,2,2,2,2,5,5,-,21,2,0,5
cell_103,10,0,3,3,5,2,2,-,0,5,5,2,21,2,0,5
cell_104,10,-,3,3,5,-,2,2,0,5,5,2,21,2,2,-
cell_105,10,3,-,-,-,2,-,2,0,5,5,2,21,2,2,5
cell_106,10,-,3,3,3,-,2,2,-,5,5,2,21,2,2,5
cell_107,10,9,-,3,-,2,2,2,0,5,5,2,21,2,2,5
cell_108,10,0,3,3,3,2,2,-,-,5,5,2,-,2,2,5
cell_109,10,0,3,3,0,2,-,2,-,5,5,2,21,2,2,5
cell_110,10,0,3,3,-,2,-,2,0,5,5,2,21,2,2,5
cell_111,-,0,3,3,2,2,2,2,-,5,5,2,21,2,-,-
cell_112,10,-,-,3,-,2,2,2,0,5,-,2,21,2,2,5
cell_113,10,2,3,3,4,2,2,-,16,5,5,2,21,2,-,5
cell_114,10,2,3,3,4,-,2,2,-,5,5,2,21,-,2,5
cell_115,10,2,3,3,4,2,2,2,16,5,-,2,21,-,-,5
cell_116,10,2,3,3,4,2,-,2,-,5,5,2,21,2,2,5
cell_117,10,4,3,3,2,2,-,2,-,5,-,2,21,2,2,5
cell_118,10,4,3,3,-,-,2,2,16,5,5,2,21,2,2,5
cell_119,10,4,3,3,2,-,2,2,16,5,5,-,21,2,2,5
cell_120,10,4,3,3,0,2,-,2,-,5,5,2,21,2,2,5
cell_121,10,4,3,3,-,2,2,-,16,5,5,2,21,-,0,5
cell_122,10,0,3,3,0,-,2,2,16,-,5,2,21,-,0,-
cell_123,10,-,-,-,0,-,2,2,16,5,5,2,21,2,0,5
cell_124,-,0,3,3,2,2,-,2,16,-,5,2,-,-,2,5
cell_125,10,0,-,3,5,-,-,2,16,5,-,2,21,2,0,5
cell_126,-,0,3,3,0,2,2,-,16,5,5,2,-,2,0,-
cell_127,10,0,-,-,0,2,2,2,16,5,5,2,21,2,-,5
cell_128,10,2,3,3,0,-,2,2,16,5,-,2,21,2,0,-
cell_129,10,8,3,2,-,-,4,-,2,5,5,2,20,2,8,5
cell_130,10,8,3,2,2,2,4,0,0,5,5,-,20,2,-,5
cell_131,10,8,-,2,2,-,4,-,-,5,5,2,20,2,8,5
cell_132,10,-,3,2,2,2,4,0,0,5,5,2,-,2,8,-
cell_133,10,8,3,0,2,2,4,2,-,5,-,2,20,-,8,5
cell_134,10,8,3,-,-,2,4,2,-,-,5,2,20,-,8,5
cell_135,10,8,3,2,-,2,4,2,-,-,5,2,20,2,8,5
cell_136,10,8,3,0,2,2,-,2,0,5,5,2,20,2,8,5
cell_137,10,-,3,3,2,2,4,3,2,5,5,2,20,2,-,5
cell_138,-,8,3,3,2,2,4,3,2,5,5,2,20,2,8,5
cell_139,10,8,3,3,2,2,4,3,2,5,-,2,-,2,8,5
cell_140,10,8,3,3,2,2,4,3,2,5,5,2,20,2,-,-
cell_141,-,8,3,0,-,-,4,-,2,5,5,2,20,-,-,5
cell_142,10,8,3,0,2,2,4,2,2,5,-,-,-,2,-,5
cell_143,10,8,3,9,2,2,4,2,2,5,5,2,-,2,-,5
cell_144,10,8,3,9,2,2,4,2,2,5,5,2,20,2,8,5
cell_145,10,3,0,-,2,2,4,2,2,5,5,2,20,2,-,-
cell_146,10,3,0,3,-,2,4,2,2,5,5,2,20,2,8,5
cell_147,10,3,2,3,2,-,4,2,-,5,5,2,20,2,8,5
cell_148,10,-,0,3,2,2,4,2,0,5,5,2,20,2,8,5
cell_149,10,3,0,5,2,2,-,0,2,5,-,2,-,-,-,5
cell_150,-,-,4,5,2,2,-,0,-,5,5,2,20,2,8,-
cell_151,-,-,2,2,2,-,-,0,-,5,5,2,20,2,-,5
cell_152,10,-,-,2,2,2,4,0,9,5,-,2,-,2,8,5
cell_153,10,3,0,-,2,2,-,27,2,-,5,2,-,2,8,5
cell_154,10,3,8,-,-,2,-,27,2,5,5,-,20,2,8,5
cell_155,10,3,2,4,2,2,-,27,2,-,5,2,20,2,-,5
cell_156,-,3,0,4,2,2,4,27,2,5,5,2,20,2,8,5
cell_157,10,3,0,9,-,-,4,-,2,5,5,-,20,2,8,5
cell_158,10,3,0,9,2,2,-,3,2,-,5,2,20,2,8,5
cell_159,-,3,0,0,2,2,4,3,2,5,5,2,20,2,8,5
cell_160,10,3,3,2,2,2,4,-,2,5,5,2,20,2,8,5
cell_161,10,2,5,0,0,2,2,10,2,5,5,2,20,-,8,5
cell_162,10,2,5,0,0,2,2,10,-,-,5,2,20,2,8,5
cell_163,10,2,0,0,0,2,2,10,2,-,5,2,20,-,8,5
cell_164,10,2,3,2,0,2,2,10,2,-,5,2,20,2,-,-
cell_165,10,2,0,0,3,2,2,10,2,5,5,2,-,2,-,5
cell_166,10,2,0,-,0,2,2,-,2,-,5,2,20,2,8,5
cell_167,-,2,0,0,0,2,2,10,-,-,5,2,20,-,8,5
cell_168,10,2,0,-,3,2,-,10,2,-,5,2,-,2,8,-
cell_169,10,2,2,10,2,2,2,10,2,-,-,2,20,2,8,5
cell_170,-,2,-,10,2,2,2,-,2,5,5,2,-,2,-,5
cell_171,10,2,2,0,0,2,-,10,2,5,5,2,20,2,8,5
cell_172,-,2,2,0,0,2,2,10,2,-,-,-,-,2,8,-
cell_173,10,2,2,0,-,2,2,10,2,-,-,2,20,2,8,-
cell_174,-,2,2,0,0,2,2,10,2,5,-,2,20,2,8,5
cell_175,10,2,2,2,2,2,2,10,-,5,5,2,-,2,8,5
cell_176,10,2,2,2,10,2,2,-,2,5,5,2,20,2,8,5
cell_177,-,2,2,2,-,2,0,10,-,-,5,2,-,2,-,5
cell_178,10,2,2,0,0,-,0,10,0,-,5,2,20,2,8,5
cell_179,10,2,2,0,-,2,2,10,-,-,5,2,20,2,8,5
cell_180,10,2,2,2,0,2,-,10,-,5,-,2,20,2,8,5
cell_181,10,2,2,-,2,-,-,-,-,5,5,2,-,2,-,5
cell_182,10,-,2,-,-,2,0,10,2,5,5,2,20,-,8,-
cell_183,10,2,2,0,2,2,2,10,-,5,5,2,20,-,8,5
cell_184,-,-,2,0,2,-,-,10,-,5,-,-,-,-,-,5
cell_185,10,2,-,3,2,-,5,10,2,5,5,-,20,-,8,5
cell_186,10,2,-,3,2,2,5,10,2,5,5,2,20,2,-,5
cell_187,10,2,-,3,2,-,0,10,2,5,5,-,20,2,8,5
cell_188,10,-,3,3,2,-,-,10,2,5,5,2,20,2,-,5
cell_189,10,2,3,-,2,-,-,10,2,5,5,-,20,2,-,-
cell_190,10,2,-,3,2,2,-,10,2,-,-,2,20,2,8,5
cell_191,10,2,3,-,2,2,0,10,2,5,5,2,20,2,8,-
cell_192,-,2,3,3,2,-,0,10,2,5,5,2,-,2,8,-
cell_193,10,2,2,-,3,-,2,2,4,5,5,-,2,3,0,-
cell_194,10,2,-,0,3,2,-,2,4,5,-,2,2,-,0,-
cell_195,10,2,2,0,-,2,2,2,-,5,5,2,-,-,0,5
cell_196,10,-,2,0,-,2,2,2,4,5,-,-,2,-,4,5
cell_197,10,0,2,0,3,2,-,4,4,5,5,-,2,3,-,5
cell_198,-,4,2,2,3,2,2,4,4,5,5,2,2,3,-,-
cell_199,10,-,-,-,-,-,-,-,4,5,5,2,2,3,-,5
cell_200,10,-,-,-,-,-,-,-,4,-,5,-,2,3,2,5
cell_201,10,8,0,-,0,2,2,2,4,-,5,-,2,3,0,-
cell_202,10,8,-,0,0,2,2,-,4,5,5,-,2,3,40,5
cell_203,10,-,-,0,0,2,2,2,4,5,5,2,2,3,0,5
cell_204,10,8,0,0,0,2,2,2,-,5,5,-,2,3,0,5
cell_205,-,8,0,0,5,2,2,2,4,5,-,2,2,3,-,5
cell_206,10,-,0,0,5,2,2,2,4,5,5,2,2,-,4,5
cell_207,10,8,8,0,-,2,2,-,4,-,-,2,2,3,-,-
cell_208,-,-,0,0,-,2,2,2,-,5,5,2,2,3,-,5
cell_209,10,5,-,-,-,2,2,5,4,-,5,2,0,-,-,5
cell_210,10,5,0,2,5,2,2,0,4,5,5,2,2,0,3,5
cell_211,10,-,0,-,0,-,-,14,4,5,5,2,0,-,-,5
cell_212,10,-,0,2,0,2,2,0,4,5,5,-,0,4,3,5
cell_213,10,5,3,2,2,2,2,0,-,5,5,2,-,2,3,5
cell_214,10,5,3,2,-,2,-,-,4,5,5,2,3,0,-,5
cell_215,10,-,3,2,2,2,2,0,4,5,5,2,0,0,3,-
cell_216,-,-,3,2,2,2,2,0,4,5,5,2,0,0,3,5
cell_217,10,5,-,4,2,-,-,2,4,-,5,2,6,5,-,5
cell_218,-,5,2,-,2,2,-,-,4,-,5,2,0,5,0,5
cell_219,10,5,0,-,-,2,-,2,-,5,5,2,2,5,0,5
cell_220,10,5,0,4,-,2,3,2,4,5,5,2,2,5,0,5
cell_221,10,5,3,-,2,2,0,5,4,5,-,-,2,5,-,5
cell_222,10,5,3,4,2,2,0,5,4,5,5,2,2,5,2,5
cell_223,-,-,-,-,2,-,2,-,-,5,5,2,2,5,2,5
cell_224,10,5,3,4,2,2,2,0,4,5,5,-,2,5,2,5
cell_225,10,2,2,5,0,-,-,2,7,5,5,2,2,-,2,5
cell_226,10,-,-,5,0,2,2,2,7,5,-,-,2,2,2,5
cell_227,10,0,0,-,5,2,2,-,7,5,5,2,2,0,2,5
cell_228,-,0,0,5,5,-,-,2,7,5,5,-,2,0,2,5
cell_229,-,-,-,0,2,-,3,-,7,5,5,2,5,0,0,5
cell_230,10,-,5,2,2,-,0,0,7,5,-,2,5,5,0,5
cell_231,10,0,5,2,0,2,0,4,7,5,5,2,5,0,0,5
cell_232,10,-,5,0,0,2,0,4,7,-,5,2,5,2,-,5
cell_233,10,5,0,2,2,2,-,0,-,5,5,-,-,2,-,-
cell_234,10,-,0,-,-,2,0,-,7,5,5,-,0,2,2,5
cell_235,10,0,-,2,4,-,0,0,7,5,5,2,0,2,0,5
cell_236,10,0,-,2,-,-,0,0,-,-,5,2,-,-,-,5
cell_237,-,-,4,0,0,2,2,2,-,-,5,2,0,0,-,5
cell_238,10,0,0,0,2,2,2,-,-,5,5,2,0,0,2,5
cell_239,10,-,0,0,-,2,2,2,-,5,5,2,0,8,2,5
cell_240,-,2,5,0,2,2,0,-,7,5,5,2,2,0,-,5
cell_241,10,0,-,-,2,2,3,-,7,5,5,2,2,0,0,5
cell_242,10,0,2,3,2,2,3,13,7,-,5,-,2,0,0,5
cell_243,10,0,-,3,2,2,3,13,7,5,5,2,-,2,0,5
cell_244,10,0,-,3,-,2,-,13,-,5,5,2,-,2,0,5
cell_245,10,-,-,-,-,2,3,13,7,-,5,2,0,4,-,-
cell_246,10,21,2,3,2,2,3,13,7,-,5,-,2,4,0,5
cell_247,10,21,0,-,2,2,3,13,7,-,5,-,0,4,0,-
cell_248,10,21,-,3,2,2,-,13,7,5,5,2,-,4,0,5
cell_249,10,2,0,2,-,-,5,13,-,5,5,2,-,-,-,5
cell_250,10,2,0,2,2,2,0,13,7,5,5,2,2,-,-,5
cell_251,10,2,4,2,2,2,0,13,7,5,5,2,0,64,2,-
cell_252,10,2,2,2,-,2,0,13,-,5,5,2,0,-,-,5
cell_253,10,0,0,2,2,2,0,13,7,5,-,2,3,-,2,5
cell_254,10,108,2,0,-,2,0,13,7,5,-,-,3,-,0,5
cell_255,10,0,0,-,-,-,0,13,7,5,5,2,3,36,0,5
cell_256,10,0,0,0,2,2,0,13,7,5,-,2,-,-,2,5
cell_257,10,3,-,5,5,2,4,3,11,5,5,2,5,2,-,0
cell_258,10,3,0,-,5,2,4,3,-,5,5,2,-,-,4,0
cell_259,10,-,-,5,5,2,4,3,11,5,5,2,0,2,4,0
cell_260,-,3,2,5,5,2,4,3,11,5,5,2,0,2,4,2
cell_261,10,3,2,5,5,2,4,3,11,5,5,2,-,8,4,2
cell_262,10,3,-,5,5,2,4,3,11,-,5,2,0,8,4,-
cell_263,10,3,-,5,5,2,4,3,11,5,-,2,0,8,4,2
cell_264,-,3,-,5,5,2,4,-,11,5,-,2,0,8,-,2
cell_265,10,3,0,5,5,-,4,3,-,-,-,2,2,0,4,5
cell_266,10,3,3,5,5,2,4,3,-,5,5,2,2,0,4,5
cell_267,10,3,5,5,5,-,4,3,-,5,-,2,2,3,4,0
cell_268,10,3,5,5,-,2,4,3,-,5,-,2,2,-,4,-
cell_269,10,3,5,5,5,2,4,3,11,-,5,-,2,2,4,0
cell_270,10,3,5,-,-,2,4,3,-,5,5,2,2,-,4,0
