,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_1,2,5,2,4,2,3,2,2,NA,NA,2,0,3,2,3,3
cell_2,NA,5,2,4,2,3,2,2,2,2,2,4,3,2,3,3
cell_3,2,5,2,4,NA,3,2,2,NA,2,2,2,3,2,3,NA
cell_4,2,NA,NA,4,2,3,2,2,2,2,NA,0,3,NA,NA,3
cell_5,2,5,2,4,2,3,NA,2,2,0,2,5,3,2,3,NA
cell_6,2,5,2,4,2,3,2,2,2,0,2,5,3,2,3,3
cell_7,NA,5,2,4,2,3,2,2,2,0,NA,NA,3,2,NA,3
cell_8,2,5,2,4,2,NA,2,2,2,0,NA,NA,NA,2,3,3
cell_9,2,5,2,4,NA,3,2,NA,2,0,2,NA,3,2,0,3
cell_10,NA,5,NA,4,2,3,2,2,2,0,2,2,3,2,NA,3
cell_11,2,NA,2,4,NA,3,NA,2,NA,NA,NA,0,3,2,NA,3
cell_12,NA,5,NA,NA,2,3,2,2,2,5,2,NA,3,2,0,3
cell_13,2,5,2,4,NA,3,2,2,2,2,2,2,3,2,2,3
cell_14,2,5,2,NA,2,3,2,NA,2,2,2,2,3,2,NA,3
cell_15,2,5,2,4,2,NA,2,2,2,0,2,2,3,2,2,3
cell_16,2,5,2,4,NA,3,2,2,NA,0,2,2,3,2,2,NA
cell_17,2,5,2,NA,2,3,2,2,2,2,6,2,0,2,3,3
cell_18,2,5,2,4,2,3,2,2,NA,2,NA,2,0,2,NA,3
cell_19,NA,5,NA,4,2,3,2,NA,NA,2,6,2,3,2,3,NA
cell_20,NA,NA,2,4,2,3,2,2,2,NA,6,2,NA,NA,NA,3
cell_21,2,5,2,4,2,3,2,2,NA,2,6,2,NA,2,NA,3
cell_22,2,5,NA,4,2,3,NA,2,NA,NA,6,2,0,2,2,3
cell_23,2,5,2,4,2,3,NA,2,2,2,6,2,NA,2,0,3
cell_24,2,5,2,NA,2,3,2,2,2,2,6,NA,NA,NA,NA,3
cell_25,NA,NA,2,NA,2,3,NA,2,2,2,6,2,3,2,0,3
cell_26,2,5,2,NA,2,3,2,2,2,2,6,2,3,2,2,3
cell_27,2,NA,2,4,2,3,2,2,2,2,6,2,3,NA,0,NA
cell_28,2,NA,2,NA,2,3,2,2,2,2,6,NA,3,2,NA,3
cell_29,2,5,2,4,NA,3,NA,2,2,2,6,2,3,NA,0,NA
cell_30,NA,5,2,4,NA,3,2,2,2,2,6,2,3,2,0,3
cell_31,2,5,2,4,2,NA,2,2,2,2,6,2,3,2,0,3
cell_32,2,5,2,4,2,3,2,2,NA,2,NA,2,3,2,0,NA
cell_33,2,5,2,2,2,3,4,2,2,0,2,56,0,2,6,3
cell_34,2,5,2,NA,2,3,4,2,2,0,2,56,2,2,6,3
cell_35,2,5,2,2,2,3,4,2,NA,4,NA,56,NA,NA,6,NA
cell_36,2,5,2,2,2,3,4,2,NA,4,2,56,0,2,6,NA
cell_37,2,5,2,2,2,NA,NA,2,NA,3,NA,NA,0,2,6,3
cell_38,2,NA,2,2,2,NA,4,2,2,3,2,NA,0,2,6,3
cell_39,NA,5,NA,2,2,3,4,2,2,3,2,56,0,NA,6,3
cell_40,NA,5,2,2,2,3,NA,2,2,3,2,56,NA,2,6,3
cell_41,2,5,2,2,2,3,4,2,2,NA,2,56,3,2,NA,3
cell_42,2,5,2,2,2,3,4,2,2,2,2,NA,NA,2,6,3
cell_43,2,5,2,2,2,3,4,NA,2,2,3,56,3,NA,6,3
cell_44,2,5,2,2,NA,3,4,2,NA,2,NA,56,3,2,6,3
cell_45,2,5,2,2,2,3,4,2,2,2,0,NA,NA,2,6,3
cell_46,2,5,2,2,NA,NA,4,2,2,2,0,56,10,NA,6,3
cell_47,2,5,2,2,NA,3,4,NA,2,0,NA,56,NA,2,NA,3
cell_48,2,5,2,2,2,3,4,2,2,NA,0,56,NA,2,6,3
cell_49,2,5,2,5,2,3,3,2,2,3,0,NA,12,2,NA,3
cell_50,NA,5,2,NA,2,3,3,2,2,NA,0,0,12,NA,6,3
cell_51,2,5,NA,5,NA,3,3,2,NA,0,2,0,12,2,NA,3
cell_52,NA,5,NA,5,NA,3,3,2,2,NA,0,0,12,NA,6,3
cell_53,2,NA,2,5,2,3,3,2,2,0,58,0,12,2,6,3
cell_54,2,5,2,5,NA,3,3,NA,2,2,58,0,12,2,6,3
cell_55,2,5,2,5,NA,3,3,2,2,0,58,6,12,2,6,NA
cell_56,2,NA,2,5,2,3,NA,NA,2,0,58,0,12,2,6,3
cell_57,2,NA,2,NA,NA,NA,NA,NA,2,0,NA,NA,NA,2,6,NA
cell_58,2,NA,2,NA,NA,NA,NA,2,2,0,0,2,2,2,6,NA
cell_59,2,5,NA,0,2,NA,NA,2,2,NA,4,2,2,2,6,3
cell_60,2,5,2,0,2,NA,0,2,2,0,4,2,2,2,NA,3
cell_61,2,5,2,NA,2,3,0,2,2,49,NA,2,2,2,6,3
cell_62,2,NA,NA,0,2,3,0,2,NA,NA,NA,NA,2,2,NA,3
cell_63,2,5,2,10,2,3,0,2,2,49,2,2,2,2,6,3
cell_64,2,5,2,11,2,3,0,2,NA,NA,2,2,2,2,6,3
cell_65,3,17,2,0,2,3,2,3,2,2,2,NA,NA,2,3,3
cell_66,3,17,2,10,2,3,2,NA,2,2,NA,2,3,NA,3,3
cell_67,3,17,2,2,2,3,NA,3,2,2,2,2,3,NA,3,NA
cell_68,3,17,2,NA,2,3,2,3,2,2,2,2,3,2,3,NA
cell_69,3,NA,2,4,2,3,2,3,2,2,NA,2,3,2,3,3
cell_70,3,0,NA,4,2,3,2,3,2,2,2,2,3,NA,3,NA
cell_71,3,0,2,4,2,3,2,3,2,2,2,2,3,NA,3,3
cell_72,3,0,2,4,2,3,2,3,2,NA,2,2,NA,2,3,3
cell_73,NA,5,2,2,2,3,NA,3,2,NA,5,2,3,2,3,NA
cell_74,3,5,2,0,2,3,2,3,2,2,NA,2,3,NA,3,3
cell_75,3,NA,NA,2,2,3,2,3,2,0,NA,2,3,2,3,3
cell_76,3,21,NA,NA,2,3,2,3,2,0,5,2,3,NA,3,3
cell_77,NA,NA,2,NA,2,3,2,3,NA,2,5,2,3,NA,3,3
cell_78,NA,2,2,0,2,3,2,3,2,2,5,2,NA,2,3,3
cell_79,3,NA,2,0,NA,3,2,NA,2,0,5,NA,3,2,3,NA
cell_80,3,0,2,0,2,3,2,3,2,0,5,2,3,2,3,3
cell_81,3,0,2,2,2,3,2,3,2,2,0,2,NA,NA,2,3
cell_82,3,NA,2,2,2,3,2,3,NA,2,0,2,NA,2,2,NA
cell_83,3,0,2,2,2,NA,2,3,2,2,0,2,0,2,0,3
cell_84,3,NA,2,2,2,3,2,3,NA,NA,2,2,0,2,2,3
cell_85,3,NA,2,2,2,3,2,NA,2,2,0,2,0,2,2,3
cell_86,3,NA,2,2,2,3,NA,NA,2,2,0,2,3,2,2,3
cell_87,NA,2,2,2,2,3,NA,3,2,2,4,2,0,2,2,3
cell_88,3,2,2,NA,2,3,2,3,2,NA,4,NA,0,2,NA,3
cell_89,3,2,NA,2,2,3,2,3,2,2,2,2,0,2,5,NA
cell_90,3,2,2,2,2,NA,2,3,2,2,2,NA,0,NA,5,3
cell_91,NA,0,2,2,2,3,2,3,2,2,2,2,2,2,NA,NA
cell_92,3,0,2,2,2,3,2,NA,NA,2,2,2,2,2,5,NA
cell_93,3,2,2,2,2,3,NA,3,2,2,2,NA,0,2,5,NA
cell_94,3,2,NA,2,NA,3,2,3,2,2,NA,NA,2,2,NA,3
cell_95,3,2,2,2,2,3,2,NA,NA,2,2,2,0,2,5,3
cell_96,3,2,2,NA,2,3,2,3,NA,NA,NA,2,0,2,5,NA
cell_97,3,5,NA,2,NA,3,2,3,NA,2,5,2,2,2,0,3
cell_98,3,5,NA,2,2,3,2,3,2,2,NA,NA,2,2,NA,3
cell_99,3,NA,2,2,2,3,2,3,NA,2,5,2,2,2,0,3
cell_100,3,NA,2,2,2,3,2,3,NA,2,NA,2,2,2,0,NA
cell_101,NA,5,2,2,2,3,2,3,NA,2,5,2,2,NA,2,NA
cell_102,3,NA,2,NA,2,3,NA,3,2,2,5,2,2,2,2,3
cell_103,3,5,2,2,2,NA,2,3,2,2,NA,2,2,2,2,3
cell_104,3,5,2,NA,2,3,2,3,2,2,5,2,2,2,2,NA
cell_105,3,5,NA,2,2,NA,NA,3,2,NA,5,NA,2,2,0,3
cell_106,NA,5,2,2,2,3,2,3,2,2,5,2,2,2,0,NA
cell_107,3,5,NA,2,2,3,NA,NA,2,NA,5,2,2,2,2,3
cell_108,3,5,NA,2,2,3,2,3,2,2,5,NA,2,2,2,3
cell_109,3,NA,2,2,NA,3,2,3,2,2,5,NA,2,NA,0,NA
cell_110,3,NA,NA,NA,2,3,NA,NA,NA,2,NA,2,2,2,0,3
cell_111,NA,5,2,2,2,NA,2,3,2,2,NA,2,2,NA,0,3
cell_112,3,5,2,2,2,3,2,3,2,NA,5,2,2,2,0,3
cell_113,3,5,2,2,2,3,2,NA,2,2,5,2,NA,2,NA,3
cell_114,3,5,NA,2,NA,3,2,3,2,2,5,2,8,NA,2,NA
cell_115,3,5,2,2,2,3,2,3,2,NA,5,2,NA,2,2,3
cell_116,3,5,2,2,2,NA,2,NA,2,2,5,2,NA,2,2,3
cell_117,3,5,2,2,2,NA,2,3,2,NA,5,2,11,NA,2,3
cell_118,3,5,2,2,2,3,NA,3,2,2,NA,2,11,2,NA,3
cell_119,3,5,NA,2,2,3,2,NA,NA,2,NA,2,2,2,NA,3
cell_120,3,5,NA,2,2,3,2,3,2,2,NA,2,NA,2,2,3
cell_121,3,5,2,NA,NA,NA,2,3,2,2,5,2,NA,2,NA,3
cell_122,3,5,2,NA,NA,3,2,3,2,2,5,2,3,2,NA,3
cell_123,3,5,NA,NA,2,3,2,3,NA,2,NA,2,3,2,NA,NA
cell_124,NA,5,2,NA,2,3,2,3,2,2,5,2,3,2,2,NA
cell_125,3,5,2,2,2,3,2,3,2,NA,5,2,0,2,0,3
cell_126,3,5,2,2,2,3,2,3,2,2,5,2,NA,2,0,3
cell_127,3,NA,2,2,2,3,2,3,2,NA,5,2,2,2,2,3
cell_128,3,5,2,2,NA,3,NA,3,2,2,5,2,0,2,NA,NA
cell_129,2,2,2,3,2,2,2,NA,0,2,4,NA,NA,2,2,12
cell_130,2,NA,2,5,NA,2,2,0,0,NA,0,31,2,2,NA,12
cell_131,2,2,2,2,2,2,NA,0,NA,2,2,0,2,NA,2,12
cell_132,2,2,2,2,2,2,2,NA,NA,2,3,NA,2,2,2,12
cell_133,4,2,NA,0,2,2,2,2,2,2,2,NA,2,NA,NA,12
cell_134,4,2,2,0,2,2,2,NA,2,2,2,0,2,2,NA,12
cell_135,4,2,2,NA,2,2,NA,5,0,2,2,0,2,2,2,12
cell_136,4,2,2,NA,2,2,2,NA,0,2,2,NA,2,2,2,NA
cell_137,0,9,2,0,2,NA,2,NA,NA,NA,NA,NA,2,2,2,12
cell_138,0,9,NA,0,2,2,2,NA,NA,NA,NA,NA,NA,2,2,12
cell_139,0,9,2,0,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,12
cell_140,NA,9,2,0,2,2,2,NA,NA,NA,NA,NA,2,2,NA,12
cell_141,2,9,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,2,12
cell_142,2,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,2,2,2,NA
cell_143,2,9,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA
cell_144,2,9,2,2,NA,2,2,NA,NA,NA,NA,NA,2,2,2,12
