,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_1,NA,2,2,NA,NA,NA,2,3,2,3,2,2,4,2,NA,NA
cell_2,2,2,2,0,NA,4,2,3,2,3,2,2,4,0,0,2
cell_3,2,2,NA,NA,4,4,2,NA,2,0,2,2,4,NA,0,2
cell_4,2,2,2,2,4,4,2,3,2,0,2,2,4,0,0,2
cell_5,2,2,2,0,NA,4,2,3,NA,0,2,2,NA,NA,0,NA
cell_6,2,2,2,NA,4,4,2,NA,2,0,2,2,4,3,0,2
cell_7,2,2,2,2,4,4,2,NA,2,0,NA,2,NA,0,0,2
cell_8,2,2,2,2,4,4,2,3,2,0,2,2,NA,11,0,NA
cell_9,2,2,2,0,4,4,2,3,2,0,NA,2,4,NA,0,2
cell_10,2,2,2,8,4,4,2,3,2,0,0,NA,4,4,0,2
cell_11,NA,2,2,2,4,4,2,3,2,2,NA,2,4,4,5,2
cell_12,NA,2,2,NA,4,NA,2,NA,2,0,0,2,4,4,0,2
cell_13,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
cell_14,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
cell_15,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
cell_16,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
cell_17,2,2,2,5,4,4,2,3,2,6,0,2,4,0,2,2
cell_18,2,2,NA,5,4,NA,2,3,2,6,NA,2,4,0,2,2
cell_19,2,2,2,5,NA,4,NA,3,2,0,NA,2,4,NA,2,2
cell_20,2,2,2,5,NA,NA,2,3,NA,0,NA,2,4,2,2,2
cell_21,2,2,2,5,4,4,2,3,2,0,0,2,NA,0,NA,NA
cell_22,2,2,2,5,4,4,2,3,2,0,2,2,4,0,2,2
cell_23,NA,2,2,5,NA,4,NA,NA,2,0,4,NA,4,NA,2,2
cell_24,NA,2,2,5,NA,4,2,3,NA,0,4,NA,4,2,2,2
cell_25,2,NA,2,5,4,4,NA,3,2,NA,5,2,4,0,NA,2
cell_26,2,NA,2,5,4,4,2,NA,2,0,0,2,4,12,2,2
cell_27,2,NA,2,5,4,4,2,NA,NA,0,0,NA,4,0,2,2
cell_28,2,2,2,5,4,4,NA,3,2,0,9,2,4,0,2,2
cell_29,NA,NA,2,5,4,4,NA,3,NA,0,2,2,4,3,2,2
cell_30,2,2,2,5,4,NA,2,3,2,NA,2,2,4,3,2,2
cell_31,2,NA,2,5,4,4,2,3,2,NA,2,2,4,3,2,NA
cell_32,2,2,2,5,NA,4,NA,3,NA,0,2,2,4,3,2,2
cell_33,2,2,3,0,NA,4,2,NA,2,3,5,2,NA,2,2,70
cell_34,2,2,0,0,4,NA,2,NA,2,3,NA,NA,4,0,2,70
cell_35,2,2,0,0,4,4,2,NA,0,3,5,2,4,0,2,70
cell_36,NA,2,NA,0,4,4,2,NA,0,3,5,2,4,NA,NA,70
cell_37,2,2,0,0,4,NA,2,3,0,3,0,2,4,0,2,70
cell_38,NA,NA,0,0,NA,4,2,3,3,3,4,2,4,0,2,NA
cell_39,NA,2,NA,2,4,4,2,3,NA,3,0,2,NA,0,2,NA
cell_40,2,NA,0,NA,NA,4,2,3,0,3,0,2,4,4,2,70
cell_41,2,2,0,3,4,4,2,3,5,NA,5,2,4,NA,NA,2
cell_42,2,2,0,3,NA,4,2,3,NA,3,5,2,4,2,NA,2
cell_43,NA,2,NA,3,4,4,2,3,NA,3,5,NA,NA,2,NA,2
cell_44,2,2,NA,3,4,4,NA,3,NA,3,5,2,NA,2,2,0
