,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_1,NA,4,2,2,2,NA,0,2,0,5,5,2,2,4,2,5
cell_2,10,4,2,2,NA,2,0,2,0,5,5,NA,2,NA,2,5
cell_3,10,4,2,2,NA,2,NA,NA,0,NA,5,2,NA,4,NA,NA
cell_4,10,4,2,2,2,2,0,NA,NA,NA,5,2,2,NA,0,5
cell_5,10,4,2,2,2,2,0,2,0,5,5,2,2,4,0,5
cell_6,10,4,2,NA,2,NA,0,NA,0,NA,NA,2,NA,NA,2,5
cell_7,10,4,2,2,2,2,3,2,0,5,5,2,2,NA,2,5
cell_8,10,4,2,2,2,2,3,NA,0,5,5,NA,2,4,NA,5
cell_9,10,4,2,2,NA,2,0,2,2,5,5,2,NA,4,0,5
cell_10,10,4,2,2,2,2,0,2,2,5,5,2,2,4,NA,5
cell_11,10,4,NA,NA,2,2,4,2,NA,5,5,NA,2,4,12,5
cell_12,NA,4,2,2,2,2,4,2,0,NA,NA,2,NA,4,12,5
cell_13,10,4,0,2,2,2,3,NA,0,5,5,2,NA,4,9,5
cell_14,10,NA,2,2,2,2,3,2,0,5,5,2,NA,4,NA,5
cell_15,NA,4,56,2,2,2,0,2,NA,5,5,2,2,4,2,5
cell_16,NA,4,0,2,2,2,0,2,NA,5,5,2,2,4,NA,5
cell_17,NA,4,0,2,2,2,3,2,0,5,5,2,2,4,2,5
cell_18,10,4,0,2,2,2,2,NA,0,5,5,2,NA,4,NA,NA
cell_19,10,NA,0,NA,2,2,NA,NA,NA,5,5,2,NA,4,2,NA
cell_20,10,4,0,2,2,2,0,2,0,5,5,2,NA,4,2,5
cell_21,10,4,0,NA,2,NA,0,NA,NA,NA,5,2,NA,4,2,5
cell_22,10,4,0,2,2,2,NA,2,2,5,5,NA,2,4,2,5
cell_23,10,4,0,NA,2,2,5,2,NA,5,5,2,2,4,NA,5
cell_24,10,4,0,NA,2,2,0,2,2,5,5,2,2,4,2,5
cell_25,10,4,0,2,2,2,4,2,0,5,5,2,NA,4,NA,5
cell_26,10,NA,NA,2,NA,2,4,2,0,5,5,2,NA,4,2,5
cell_27,10,4,NA,2,2,2,4,2,0,5,5,2,NA,NA,2,NA
cell_28,10,4,0,2,2,NA,4,2,NA,5,5,2,2,NA,2,5
cell_29,NA,NA,0,2,2,2,4,2,2,5,NA,2,2,4,2,NA
cell_30,10,4,0,NA,2,2,4,2,0,5,5,2,2,NA,2,5
