,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_96,0,2,0,0,0,0,0,0,2,40,0,5
cell_97,0,0,0,0,0,0,0,0,2,0,0,0
cell_98,0,0,0,0,0,0,0,0,2,0,2,0
cell_99,0,0,0,0,0,0,0,0,2,0,0,0
cell_100,0,0,0,0,0,0,0,3,2,0,0,0
cell_101,0,0,4,0,0,0,0,0,2,0,0,4
cell_102,0,0,4,0,0,0,0,0,2,0,0,4
cell_103,0,0,0,5,0,0,0,0,2,0,0,2
cell_104,0,4,0,0,0,0,0,0,2,0,0,0
cell_105,0,0,0,0,0,0,0,39,2,0,0,0
cell_106,0,0,0,0,0,0,0,39,2,0,0,0
cell_107,0,0,0,0,0,0,0,0,2,0,2,0
cell_108,0,0,15,0,0,0,0,0,2,0,2,0
cell_109,0,0,0,0,0,0,2,0,2,0,0,0
cell_110,0,0,0,0,0,0,2,2,2,0,0,0
cell_111,0,0,0,0,0,0,0,0,2,0,0,2
cell_112,0,0,0,2,0,0,0,0,2,0,0,0
cell_113,2,0,0,2,0,0,0,0,2,0,0,0
cell_114,2,0,0,2,0,0,0,6,2,0,0,0
cell_115,2,0,0,2,0,0,0,0,2,0,0,0
cell_116,2,0,0,2,0,0,0,0,2,0,0,0
cell_117,2,0,0,0,0,0,2,2,2,5,0,0
cell_118,2,0,0,0,0,0,0,2,2,0,0,0
cell_119,2,0,0,0,0,0,0,0,2,0,0,0
cell_120,2,0,0,2,0,0,0,0,2,0,0,0
cell_121,0,5,0,0,0,0,0,0,2,0,0,0
cell_122,0,5,0,0,0,0,0,0,2,0,0,5
cell_123,0,0,0,0,0,0,0,0,2,0,0,0
cell_124,0,0,0,0,0,0,0,0,2,2,0,0
cell_125,0,0,0,0,0,0,0,0,2,0,0,0
cell_126,0,0,0,0,0,0,0,0,2,0,0,0
cell_127,0,0,0,0,0,0,0,0,2,0,0,0
cell_128,0,0,0,0,0,0,0,0,2,0,0,2
cell_129,0,2,0,0,3,0,4,2,0,9,0,0
cell_130,0,2,0,0,3,0,4,2,0,9,0,0
cell_131,0,2,0,0,3,0,4,2,0,9,0,0
cell_132,0,2,0,0,3,0,4,2,0,9,0,0
cell_133,0,2,0,0,3,0,4,2,0,9,2,0
cell_134,0,2,0,0,3,0,4,2,0,9,0,0
cell_135,8,2,0,0,3,0,4,2,0,9,0,0
cell_136,8,2,0,0,3,0,4,2,0,9,0,0
cell_137,6,0,0,0,3,0,4,2,0,0,0,0
cell_138,6,0,0,0,3,0,4,2,0,0,3,0
cell_139,6,0,0,0,3,2,0,2,0,0,0,0
cell_140,6,0,0,0,3,0,0,2,0,0,0,0
cell_141,6,0,0,0,3,2,0,2,0,0,0,68
cell_142,6,0,0,0,3,2,0,2,0,0,0,68
cell_143,6,0,0,0,3,0,0,2,0,0,0,68
cell_144,6,0,0,0,3,0,0,2,0,0,5,68
cell_145,0,0,0,0,3,0,2,2,0,60,0,0
cell_146,0,0,0,0,3,0,2,2,0,60,0,0
cell_147,5,0,0,0,0,2,2,2,0,60,0,5
cell_148,0,0,0,0,0,0,2,2,0,60,3,5
cell_149,0,0,0,4,5,3,2,2,5,2,0,0
cell_150,0,0,0,4,5,3,2,2,5,2,0,0
cell_151,0,0,3,0,5,0,2,2,5,2,0,0
cell_152,0,0,0,0,5,0,2,2,5,2,0,0
cell_153,2,0,2,0,0,0,0,2,0,0,0,0
cell_154,2,0,0,0,0,0,0,2,0,0,4,0
cell_155,2,0,0,0,0,0,0,2,0,13,0,0
cell_156,2,0,0,0,2,0,0,2,0,0,0,0
cell_157,2,0,0,0,0,0,0,2,0,0,0,0
cell_158,2,0,0,0,0,0,0,2,0,0,0,0
cell_159,2,0,0,0,0,0,0,2,0,0,0,0
cell_160,2,0,0,0,0,0,0,2,0,0,0,0
cell_161,0,0,0,0,0,0,2,2,2,0,0,0
cell_162,0,0,0,0,0,0,2,2,2,0,0,0
cell_163,0,0,0,0,2,0,2,2,2,0,0,0
cell_164,0,0,0,0,2,0,2,2,2,60,0,0
cell_165,0,0,0,0,0,2,2,2,2,0,0,0
cell_166,0,0,0,0,0,2,2,2,2,0,2,9
cell_167,0,0,2,0,0,0,2,2,2,0,0,0
cell_168,0,0,2,0,0,0,2,2,2,0,0,0
cell_169,0,0,0,2,0,0,2,2,2,0,0,0
cell_170,0,0,0,2,0,0,2,2,2,0,0,0
cell_171,0,0,0,2,0,0,2,2,0,0,0,0
cell_172,0,0,0,2,0,0,2,2,2,0,0,0
cell_173,0,3,0,0,0,0,2,2,0,0,2,0
cell_174,0,3,0,0,0,0,2,2,0,0,2,0
cell_175,0,3,0,0,0,0,2,2,0,0,0,0
cell_176,0,3,0,0,0,0,2,2,0,0,0,0
cell_177,0,0,0,0,0,0,2,2,0,0,0,2
cell_178,0,0,0,0,0,5,2,2,0,0,0,2
cell_179,0,0,0,0,0,0,2,2,0,0,0,0
cell_180,2,0,0,0,0,0,2,2,0,0,0,0
cell_181,0,2,0,12,0,0,2,2,0,0,12,0
cell_182,0,2,2,12,0,0,2,2,0,0,0,0
cell_183,0,2,0,12,0,0,2,2,0,0,2,0
cell_184,0,2,8,12,0,0,2,2,0,0,2,0
cell_185,5,0,0,2,0,2,2,2,0,0,0,0
cell_186,0,0,0,0,0,2,2,2,0,3,0,0
cell_187,0,0,0,0,0,2,2,2,0,5,0,0
cell_188,0,0,0,0,0,2,2,2,0,5,0,0
cell_189,0,0,0,0,0,0,2,2,0,2,0,0
cell_190,0,0,0,0,0,0,2,2,0,2,0,0
cell_191,0,2,0,0,0,0,2,2,0,2,0,5
cell_192,0,0,0,0,0,0,2,2,0,2,0,5
cell_193,0,0,0,0,4,2,0,0,2,0,0,0
cell_194,0,0,0,0,4,2,0,0,2,0,0,0
cell_195,0,0,2,0,0,2,0,0,2,0,0,0
cell_196,2,0,0,0,0,2,0,0,2,0,0,0
cell_197,0,0,0,0,0,2,0,2,2,0,0,5
cell_198,0,0,0,0,0,2,0,2,2,0,0,5
cell_199,0,0,0,0,0,2,0,0,2,0,0,0
cell_200,0,0,4,0,0,2,0,0,2,0,0,0
cell_201,0,0,2,0,0,2,0,0,2,5,0,0
cell_202,0,0,2,0,0,2,3,0,2,5,0,0
cell_203,0,0,2,0,0,2,0,2,2,0,2,0
cell_204,0,0,2,0,0,2,0,0,2,0,3,0
cell_205,0,0,0,0,0,2,0,0,2,0,0,2
cell_206,0,0,0,0,0,2,0,5,2,0,0,0
cell_207,0,0,0,0,0,2,0,0,2,0,0,0
cell_208,0,0,0,0,0,2,0,0,2,0,0,0
cell_209,0,0,0,0,0,0,0,0,0,0,0,0
cell_210,0,0,2,0,0,0,0,0,0,0,0,0
cell_211,0,0,2,0,0,0,0,0,0,0,0,0
cell_212,0,0,2,0,0,0,0,0,0,0,0,0
cell_213,0,0,0,0,0,0,0,0,7,0,0,0
cell_214,0,0,0,0,0,0,0,0,0,0,0,0
cell_215,0,0,0,0,0,0,0,0,2,0,2,0
cell_216,0,0,0,0,0,0,0,0,2,0,2,0
cell_217,0,2,0,0,0,0,0,0,0,2,0,0
cell_218,0,2,0,0,0,0,0,0,0,2,0,0
